PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,AR,,IAA,"MANINI STRATTA, Guido",,144,3,IAA
CABILDO ABIERTO,AR,,IAA,"MANINI STRATTA, Guido",,321,1,IAA
CABILDO ABIERTO,AR,,IAA,"MANINI STRATTA, Guido",,1292,3,IAA
CABILDO ABIERTO,AR,,IAA,"MANINI STRATTA, Guido",,1820,4,IAA
FRENTE AMPLIO,AR,,IAA,"COSSE GARRIDO, Ana Carolina",,1001,1,IAA
FRENTE AMPLIO,AR,,IAA,"LIMA PROSERPIO, Andrés Pablo",,1933,1,IAA
FRENTE AMPLIO,AR,,IAA,"ORSI MARTINEZ, Yamandu Ramon",,69,1,IAA
FRENTE AMPLIO,AR,,IAA,"ORSI MARTINEZ, Yamandu Ramon",,609,3,IAA
PARTIDO COLORADO,AR,,IAA,"GURMENDEZ ARMAND UGON, Gabriel",,229,2,IAA
PARTIDO COLORADO,AR,,IAA,"OJEDA SPITZ, Andres",,225,2,IAA
PARTIDO COLORADO,AR,,IAA,"VIERA DUARTE, Tabare",,3152000,6,IAA
PARTIDO NACIONAL,AR,,IAA,"DELGADO CERETTA, Alvaro Luis",,2525,29,IAA
PARTIDO NACIONAL,AR,,IAA,"RAFFO DEGEROMINI, Maria Laura",,71,2,IAA
PARTIDO NACIONAL,AR,,IAA,"RAFFO DEGEROMINI, Maria Laura",,2004,9,IAA
CABILDO ABIERTO,AR,,IAA,"MANINI STRATTA, Guido",,144,1,IAA
CABILDO ABIERTO,AR,,IAA,"MANINI STRATTA, Guido",,1820,2,IAA
FRENTE AMPLIO,AR,,IAA,"COSSE GARRIDO, Ana Carolina",,866,1,IAA
FRENTE AMPLIO,AR,,IAA,"LIMA PROSERPIO, Andrés Pablo",,319,1,IAA
FRENTE AMPLIO,AR,,IAA,"ORSI MARTINEZ, Yamandu Ramon",,69,1,IAA
FRENTE AMPLIO,AR,,IAA,"ORSI MARTINEZ, Yamandu Ramon",,76,1,IAA
FRENTE AMPLIO,AR,,IAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,1,IAA
PARTIDO COLORADO,AR,,IAA,"GURMENDEZ ARMAND UGON, Gabriel",,229,1,IAA
PARTIDO COLORADO,AR,,IAA,"OJEDA SPITZ, Andres",,225,1,IAA
PARTIDO COLORADO,AR,,IAA,"VIERA DUARTE, Tabare",,3152000,3,IAA
PARTIDO NACIONAL,AR,,IAA,"DELGADO CERETTA, Alvaro Luis",,2525,41,IAA
PARTIDO NACIONAL,AR,,IAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,1,IAA
PARTIDO NACIONAL,AR,,IAA,"RAFFO DEGEROMINI, Maria Laura",,71,2,IAA
PARTIDO NACIONAL,AR,,IAA,"RAFFO DEGEROMINI, Maria Laura",,2004,3,IAA
CABILDO ABIERTO,AR,,IAA,"MANINI STRATTA, Guido",,144,1,IAA
CABILDO ABIERTO,AR,,IAA,"MANINI STRATTA, Guido",,1292,2,IAA
CABILDO ABIERTO,AR,,IAA,"MANINI STRATTA, Guido",,1820,4,IAA
FRENTE AMPLIO,AR,,IAA,"COSSE GARRIDO, Ana Carolina",,1001,1,IAA
FRENTE AMPLIO,AR,,IAA,"LIMA PROSERPIO, Andrés Pablo",,1933,2,IAA
FRENTE AMPLIO,AR,,IAA,"ORSI MARTINEZ, Yamandu Ramon",,76,1,IAA
FRENTE AMPLIO,AR,,IAA,"ORSI MARTINEZ, Yamandu Ramon",,95,2,IAA
FRENTE AMPLIO,AR,,IAA,"ORSI MARTINEZ, Yamandu Ramon",,609,1,IAA
FRENTE AMPLIO,AR,,IAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,1,IAA
