PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
FRENTE AMPLIO,CA,,CAA,No aplica,,777,1,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1363,1,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1379,1,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1441,1,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1609,6,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1939,1,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1949,2,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,2121,4,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,10001,1,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,11815,1,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,9056750053311,2,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,1415,3,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,2003,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,2091,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,2100,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,3015,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,10025,8,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,10919,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,14600,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,29129,3,CAA
PARTIDO CONSTITUCIONAL AMBIENTALISTA,CA,,CAA,No aplica,,187,1,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,300,1,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,322,1,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,333,2,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,407,1,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,410,2,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,434,10,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,605,2,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,640,1,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,840,3,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,903,1,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,1404,1,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,4440,1,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,5055,4,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,40200,1,CAA
CABILDO ABIERTO,CA,,CAA,No aplica,,1510,1,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1363,1,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1379,2,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1441,1,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1609,15,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1939,2,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1949,2,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,2121,14,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,10001,4,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,9056750053311,3,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,1415,4,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,2007,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,2100,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,2615,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,7009,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,10025,5,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,14600,2,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,29129,2,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,35600,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,61600,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,550600,1,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,333,8,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,407,1,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,434,20,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,605,4,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,755,1,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,840,8,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,1404,3,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,2050,4,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,5055,1,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,40200,5,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,192004,1,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,176,3,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,777,3,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1363,4,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1441,4,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1609,23,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1939,2,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,1949,4,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,2121,14,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,3600,2,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,10001,11,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,11815,1,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,22040,1,CAA
FRENTE AMPLIO,CA,,CAA,No aplica,,9056750053311,6,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,1415,4,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,2003,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,2031,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,7009,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,10025,3,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,14600,4,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,21600,1,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,29129,2,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,61600,2,CAA
PARTIDO COLORADO,CA,,CAA,No aplica,,715600,1,CAA
PARTIDO IDENTIDAD SOBERANA,CA,,CAA,No aplica,,18011,1,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,331,1,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,333,6,CAA
PARTIDO NACIONAL,CA,,CAA,No aplica,,404,2,CAA
