PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
FRENTE AMPLIO,CA,,CAA,"COSSE GARRIDO, Ana Carolina",,90,2,CAA
FRENTE AMPLIO,CA,,CAA,"COSSE GARRIDO, Ana Carolina",,1001,1,CAA
FRENTE AMPLIO,CA,,CAA,"COSSE GARRIDO, Ana Carolina",,3311,1,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,49,1,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,77,1,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,95,4,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,141,1,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,363,1,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,609,6,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,939,1,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,949,1,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,1,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,8811,1,CAA
PARTIDO COLORADO,CA,,CAA,"ACHE BATLLE, Carolina",,919,1,CAA
PARTIDO COLORADO,CA,,CAA,"GURMENDEZ ARMAND UGON, Gabriel",,15,1,CAA
PARTIDO COLORADO,CA,,CAA,"GURMENDEZ ARMAND UGON, Gabriel",,29029,2,CAA
PARTIDO COLORADO,CA,,CAA,"OJEDA SPITZ, Andres",,1025,9,CAA
PARTIDO COLORADO,CA,,CAA,"VIERA DUARTE, Tabare",,210,4,CAA
PARTIDO COLORADO,CA,,CAA,"VIERA DUARTE, Tabare",,415,3,CAA
PARTIDO CONSTITUCIONAL AMBIENTALISTA,CA,,CAA,"LUST HITTA, Eduardo Manuel",,1187,1,CAA
PARTIDO NACIONAL,CA,,CAA,"DELGADO CERETTA, Alvaro Luis",,5,7,CAA
PARTIDO NACIONAL,CA,,CAA,"DELGADO CERETTA, Alvaro Luis",,40,7,CAA
PARTIDO NACIONAL,CA,,CAA,"DELGADO CERETTA, Alvaro Luis",,400,16,CAA
PARTIDO NACIONAL,CA,,CAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250250,1,CAA
PARTIDO NACIONAL,CA,,CAA,"RAFFO DEGEROMINI, Maria Laura",,33,3,CAA
PARTIDO NACIONAL,CA,,CAA,"RAFFO DEGEROMINI, Maria Laura",,71,1,CAA
CABILDO ABIERTO,CA,,CAA,"MANINI STRATTA, Guido",,510,1,CAA
FRENTE AMPLIO,CA,,CAA,"COSSE GARRIDO, Ana Carolina",,90,3,CAA
FRENTE AMPLIO,CA,,CAA,"COSSE GARRIDO, Ana Carolina",,817,1,CAA
FRENTE AMPLIO,CA,,CAA,"COSSE GARRIDO, Ana Carolina",,1001,4,CAA
FRENTE AMPLIO,CA,,CAA,"COSSE GARRIDO, Ana Carolina",,1358,1,CAA
FRENTE AMPLIO,CA,,CAA,"COSSE GARRIDO, Ana Carolina",,2040,1,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,46,3,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,95,15,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,141,1,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,363,1,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,609,15,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,939,2,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,949,2,CAA
FRENTE AMPLIO,CA,,CAA,"ORSI MARTINEZ, Yamandu Ramon",,8811,2,CAA
PARTIDO COLORADO,CA,,CAA,"GURMENDEZ ARMAND UGON, Gabriel",,29029,2,CAA
PARTIDO COLORADO,CA,,CAA,"OJEDA SPITZ, Andres",,1025,7,CAA
PARTIDO COLORADO,CA,,CAA,"OJEDA SPITZ, Andres",,9007,2,CAA
PARTIDO COLORADO,CA,,CAA,"SILVA GARCIA, Robert",,600,5,CAA
PARTIDO COLORADO,CA,,CAA,"VIERA DUARTE, Tabare",,210,3,CAA
PARTIDO COLORADO,CA,,CAA,"VIERA DUARTE, Tabare",,415,4,CAA
PARTIDO NACIONAL,CA,,CAA,"DELGADO CERETTA, Alvaro Luis",,5,6,CAA
PARTIDO NACIONAL,CA,,CAA,"DELGADO CERETTA, Alvaro Luis",,40,12,CAA
PARTIDO NACIONAL,CA,,CAA,"DELGADO CERETTA, Alvaro Luis",,400,25,CAA
PARTIDO NACIONAL,CA,,CAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,1,CAA
