PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,CL,,GAA,No aplica,,111,1,GAA
CABILDO ABIERTO,CL,,GAA,No aplica,,11820,1,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,190,9,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,311,2,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,616,1,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,738,3,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,777,7,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,1609,9,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,2001,6,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,11828,4,GAA
PARTIDO COLORADO,CL,,GAA,No aplica,,225,1,GAA
PARTIDO COLORADO,CL,,GAA,No aplica,,2515,7,GAA
PARTIDO COLORADO,CL,,GAA,No aplica,,2600,3,GAA
PARTIDO COLORADO,CL,,GAA,No aplica,,7009,3,GAA
PARTIDO CONSTITUCIONAL AMBIENTALISTA,CL,,GAA,No aplica,,187,2,GAA
PARTIDO IDENTIDAD SOBERANA,CL,,GAA,No aplica,,18011,1,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,16,11,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,24,3,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,31,1,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,55,2,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,64,36,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,75,4,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,80,1,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,82,1,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,93,22,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,158,17,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,224,1,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,265,1,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,2003,3,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,3000,4,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,5404,1,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,7164,1,GAA
PARTIDO NACIONAL,CL,,GAA,No aplica,,400404,3,GAA
CABILDO ABIERTO,CL,,GAA,No aplica,,111,2,GAA
CABILDO ABIERTO,CL,,GAA,No aplica,,3258,1,GAA
CABILDO ABIERTO,CL,,GAA,No aplica,,11820,1,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,190,10,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,311,2,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,616,2,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,738,14,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,777,9,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,1609,5,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,1624,2,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,2001,4,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,11828,6,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,11968,1,GAA
FRENTE AMPLIO,CL,,GAA,No aplica,,20040,2,GAA
