PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,CL,,GAA,No aplica,,111,1,1
CABILDO ABIERTO,CL,,GAA,No aplica,,11820,1,1
FRENTE AMPLIO,CL,,GAA,No aplica,,190,9,1
FRENTE AMPLIO,CL,,GAA,No aplica,,311,2,1
FRENTE AMPLIO,CL,,GAA,No aplica,,616,1,1
FRENTE AMPLIO,CL,,GAA,No aplica,,738,3,1
FRENTE AMPLIO,CL,,GAA,No aplica,,777,7,1
FRENTE AMPLIO,CL,,GAA,No aplica,,1609,9,1
FRENTE AMPLIO,CL,,GAA,No aplica,,2001,6,1
FRENTE AMPLIO,CL,,GAA,No aplica,,11828,4,1
PARTIDO COLORADO,CL,,GAA,No aplica,,225,1,1
PARTIDO COLORADO,CL,,GAA,No aplica,,2515,7,1
PARTIDO COLORADO,CL,,GAA,No aplica,,2600,3,1
PARTIDO COLORADO,CL,,GAA,No aplica,,7009,3,1
PARTIDO CONSTITUCIONAL AMBIENTALISTA,CL,,GAA,No aplica,,187,2,1
PARTIDO IDENTIDAD SOBERANA,CL,,GAA,No aplica,,18011,1,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,16,11,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,24,3,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,31,1,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,55,2,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,64,36,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,75,4,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,80,1,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,82,1,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,93,22,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,158,17,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,224,1,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,265,1,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,2003,3,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,3000,4,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,5404,1,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,7164,1,1
PARTIDO NACIONAL,CL,,GAA,No aplica,,400404,3,1
CABILDO ABIERTO,CL,,GAA,No aplica,,111,2,2
CABILDO ABIERTO,CL,,GAA,No aplica,,3258,1,2
CABILDO ABIERTO,CL,,GAA,No aplica,,11820,1,2
FRENTE AMPLIO,CL,,GAA,No aplica,,190,10,2
FRENTE AMPLIO,CL,,GAA,No aplica,,311,2,2
FRENTE AMPLIO,CL,,GAA,No aplica,,616,2,2
FRENTE AMPLIO,CL,,GAA,No aplica,,738,14,2
FRENTE AMPLIO,CL,,GAA,No aplica,,777,9,2
FRENTE AMPLIO,CL,,GAA,No aplica,,1609,5,2
FRENTE AMPLIO,CL,,GAA,No aplica,,1624,2,2
FRENTE AMPLIO,CL,,GAA,No aplica,,2001,4,2
FRENTE AMPLIO,CL,,GAA,No aplica,,11828,6,2
FRENTE AMPLIO,CL,,GAA,No aplica,,11968,1,2
FRENTE AMPLIO,CL,,GAA,No aplica,,20040,2,2
FRENTE AMPLIO,CL,,GAA,No aplica,,199000,2,2
PARTIDO COLORADO,CL,,GAA,No aplica,,185,2,2
PARTIDO COLORADO,CL,,GAA,No aplica,,2515,5,2
PARTIDO COLORADO,CL,,GAA,No aplica,,2600,1,2
PARTIDO COLORADO,CL,,GAA,No aplica,,7009,2,2
PARTIDO IDENTIDAD SOBERANA,CL,,GAA,No aplica,,18011,2,2
PARTIDO INDEPENDIENTE,CL,,GAA,No aplica,,999,2,2
PARTIDO NACIONAL,CL,,GAA,No aplica,,16,5,2
PARTIDO NACIONAL,CL,,GAA,No aplica,,24,2,2
