PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,CL,,GAA,"MANINI STRATTA,"MANINI STRATTA, Guido",1820,1
FRENTE AMPLIO,CL,,GAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",90,1
FRENTE AMPLIO,CL,,GAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",1001,1
FRENTE AMPLIO,CL,,GAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",3311,1
FRENTE AMPLIO,CL,,GAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",99000,1
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",46,1
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",77,1
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",89,1
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",95,1
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",609,1
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",711,1
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",1828,1
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",1968,1
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",52000,1
PARTIDO COLORADO,CL,,GAA,"OJEDA SPITZ,"OJEDA SPITZ, Andres",15,1
PARTIDO COLORADO,CL,,GAA,"OJEDA SPITZ,"OJEDA SPITZ, Andres",25,1
PARTIDO COLORADO,CL,,GAA,"OJEDA SPITZ,"OJEDA SPITZ, Andres",9007,1
PARTIDO COLORADO,CL,,GAA,"SILVA GARCIA,"SILVA GARCIA, Robert",15600,1
PARTIDO CONSTITUCIONAL AMBIENTALISTA,CL,,GAA,"LUST HITTA,"LUST HITTA, Eduardo Manuel",1187,1
PARTIDO IDENTIDAD SOBERANA,CL,,GAA,"SALLE LORIER,"SALLE LORIER, Gustavo Alberto",18010,1
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",3,1
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",4,1
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",7,1
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",28,1
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",36,1
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",44,1
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",404,1
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",764,1
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",1064,1
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",1151,1
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",6462,1
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",7575,1
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",200358,1
PARTIDO NACIONAL,CL,,GAA,"GANDINI ASTESIANO,"GANDINI ASTESIANO, Jorge Osvaldo",250,1
PARTIDO NACIONAL,CL,,GAA,"RAFFO DEGEROMINI,"RAFFO DEGEROMINI, Maria Laura",34,1
PARTIDO NACIONAL,CL,,GAA,"RAFFO DEGEROMINI,"RAFFO DEGEROMINI, Maria Laura",40,1
PARTIDO NACIONAL,CL,,GAA,"RAFFO DEGEROMINI,"RAFFO DEGEROMINI, Maria Laura",171,1
PARTIDO NACIONAL,CL,,GAA,"RAFFO DEGEROMINI,"RAFFO DEGEROMINI, Maria Laura",555,1
PARTIDO NACIONAL,CL,,GAA,"RAFFO DEGEROMINI,"RAFFO DEGEROMINI, Maria Laura",2004,1
POR LOS CAMBIOS NECESARIOS (PCN),CL,,GAA,"FRANCHI SORIA,"FRANCHI SORIA, Guillermo Anibal",2018,1
CABILDO ABIERTO,CL,,GAA,"MANINI STRATTA,"MANINI STRATTA, Guido",1820,2
CABILDO ABIERTO,CL,,GAA,"MANINI STRATTA,"MANINI STRATTA, Guido",6111,2
CABILDO ABIERTO,CL,,GAA,"MANINI STRATTA,"MANINI STRATTA, Guido",23258,2
FRENTE AMPLIO,CL,,GAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",90,2
FRENTE AMPLIO,CL,,GAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",1001,2
FRENTE AMPLIO,CL,,GAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",2040,2
FRENTE AMPLIO,CL,,GAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",3311,2
FRENTE AMPLIO,CL,,GAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",8008,2
FRENTE AMPLIO,CL,,GAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",99000,2
FRENTE AMPLIO,CL,,GAA,"LIMA PROSERPIO,"LIMA PROSERPIO, Andrés Pablo",1813,2
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",46,2
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",77,2
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",89,2
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",95,2
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",609,2
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",624,2
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",1828,2
PARTIDO COLORADO,CL,,GAA,"OJEDA SPITZ,"OJEDA SPITZ, Andres",15,2
PARTIDO COLORADO,CL,,GAA,"OJEDA SPITZ,"OJEDA SPITZ, Andres",9007,2
PARTIDO COLORADO,CL,,GAA,"SILVA GARCIA,"SILVA GARCIA, Robert",15600,2
PARTIDO COLORADO,CL,,GAA,"SILVA GARCIA,"SILVA GARCIA, Robert",85600,2
PARTIDO IDENTIDAD SOBERANA,CL,,GAA,"SALLE LORIER,"SALLE LORIER, Gustavo Alberto",18010,2
PARTIDO INDEPENDIENTE,CL,,GAA,"MIERES GOMEZ,"MIERES GOMEZ, Pablo Andres",909,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",3,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",4,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",7,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",19,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",28,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",36,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",44,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",333,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",364,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",404,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",764,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",1064,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",6446,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",6462,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",7575,2
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",200358,2
PARTIDO NACIONAL,CL,,GAA,"GANDINI ASTESIANO,"GANDINI ASTESIANO, Jorge Osvaldo",250,2
PARTIDO NACIONAL,CL,,GAA,"GANDINI ASTESIANO,"GANDINI ASTESIANO, Jorge Osvaldo",2500,2
PARTIDO NACIONAL,CL,,GAA,"RAFFO DEGEROMINI,"RAFFO DEGEROMINI, Maria Laura",30,2
PARTIDO NACIONAL,CL,,GAA,"RAFFO DEGEROMINI,"RAFFO DEGEROMINI, Maria Laura",34,2
PARTIDO NACIONAL,CL,,GAA,"RAFFO DEGEROMINI,"RAFFO DEGEROMINI, Maria Laura",40,2
PARTIDO NACIONAL,CL,,GAA,"RAFFO DEGEROMINI,"RAFFO DEGEROMINI, Maria Laura",66,2
PARTIDO NACIONAL,CL,,GAA,"RAFFO DEGEROMINI,"RAFFO DEGEROMINI, Maria Laura",171,2
PARTIDO NACIONAL,CL,,GAA,"RAFFO DEGEROMINI,"RAFFO DEGEROMINI, Maria Laura",555,2
PARTIDO NACIONAL,CL,,GAA,"RAFFO DEGEROMINI,"RAFFO DEGEROMINI, Maria Laura",2004,2
