PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
FRENTE AMPLIO,CO,,NAA,No aplica,,190,1,NAA
FRENTE AMPLIO,CO,,NAA,No aplica,,195,1,NAA
FRENTE AMPLIO,CO,,NAA,No aplica,,311,2,NAA
FRENTE AMPLIO,CO,,NAA,No aplica,,1609,1,NAA
FRENTE AMPLIO,CO,,NAA,No aplica,,1711,1,NAA
FRENTE AMPLIO,CO,,NAA,No aplica,,11828,2,NAA
PARTIDO COLORADO,CO,,NAA,No aplica,,2225,4,NAA
PARTIDO COLORADO,CO,,NAA,No aplica,,15600,1,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,12,1,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,21,1,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,105,2,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,128,17,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,503,3,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,1971,1,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,2519,1,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,2828,3,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,3904,7,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,9904,6,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,19250,2,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,23404,4,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,25404,8,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,26404,2,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,27404,2,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,33904,1,NAA
FRENTE AMPLIO,CO,,NAA,No aplica,,152,1,NAA
FRENTE AMPLIO,CO,,NAA,No aplica,,311,6,NAA
FRENTE AMPLIO,CO,,NAA,No aplica,,1567,2,NAA
FRENTE AMPLIO,CO,,NAA,No aplica,,1711,2,NAA
FRENTE AMPLIO,CO,,NAA,No aplica,,11303,1,NAA
FRENTE AMPLIO,CO,,NAA,No aplica,,11828,2,NAA
PARTIDO COLORADO,CO,,NAA,No aplica,,2225,1,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,12,6,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,21,2,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,128,8,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,503,2,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,2519,2,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,2828,1,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,3904,5,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,9904,4,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,20404,1,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,25404,1,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,26404,1,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,29404,1,NAA
PARTIDO NACIONAL,CO,,NAA,No aplica,,33904,1,NAA
CABILDO ABIERTO,CO,,NAB,No aplica,,44,2,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,195,3,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,311,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,949,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,1567,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,1609,7,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,1624,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,1711,2,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,2001,2,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,2949,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,11303,2,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,998001,1,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,2000,1,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,2100,1,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,2225,4,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,7009,1,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,15600,2,NAB
PARTIDO INDEPENDIENTE,CO,,NAB,No aplica,,999,4,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,12,15,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,105,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,128,3,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,503,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,1971,3,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,2519,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,2828,3,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,3904,6,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,4904,5,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,5904,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,9904,6,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,19250,2,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,20404,2,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,23404,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,25404,4,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,26404,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,29404,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,33904,3,NAB
CABILDO ABIERTO,CO,,NAB,No aplica,,456,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,119,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,152,2,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,190,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,195,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,813,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,949,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,1567,3,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,1609,12,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,1624,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,2001,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,2949,2,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,11303,1,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,1515,2,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,2000,3,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,2100,1,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,2225,6,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,7009,3,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,15600,2,NAB
PARTIDO INDEPENDIENTE,CO,,NAB,No aplica,,999,3,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,12,20,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,32,2,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,105,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,128,12,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,338,2,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,503,3,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,1919,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,1971,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,2519,3,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,2828,6,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,3904,14,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,4904,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,5904,4,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,6904,4,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,9904,6,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,19250,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,20404,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,23404,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,25404,7,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,26404,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,29404,3,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,33904,4,NAB
CABILDO ABIERTO,CO,,NAB,No aplica,,44,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,190,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,195,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,813,2,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,949,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,1567,2,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,1609,12,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,1624,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,1711,3,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,11303,4,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,11828,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,998001,1,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,1425,1,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,1515,2,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,2000,1,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,2225,6,NAB
PARTIDO COLORADO,CO,,NAB,No aplica,,15600,4,NAB
PARTIDO INDEPENDIENTE,CO,,NAB,No aplica,,999,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,12,19,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,105,2,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,128,10,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,503,2,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,1919,2,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,1971,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,2519,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,2828,7,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,3904,20,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,4904,3,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,6904,2,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,9904,5,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,19250,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,25404,3,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,26404,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,29404,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,30404,1,NAB
PARTIDO NACIONAL,CO,,NAB,No aplica,,33904,5,NAB
ASAMBLEA POPULAR,CO,,NAB,No aplica,,1326,1,NAB
CABILDO ABIERTO,CO,,NAB,No aplica,,44,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,152,2,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,176,1,NAB
FRENTE AMPLIO,CO,,NAB,No aplica,,177,1,NAB
