PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
FRENTE AMPLIO,CO,,NAA,"COSSE GARRIDO, Ana Carolina",,90,1,NAA
FRENTE AMPLIO,CO,,NAA,"COSSE GARRIDO, Ana Carolina",,3311,2,NAA
FRENTE AMPLIO,CO,,NAA,"COSSE GARRIDO, Ana Carolina",,8008,1,NAA
FRENTE AMPLIO,CO,,NAA,"ORSI MARTINEZ, Yamandu Ramon",,141,1,NAA
FRENTE AMPLIO,CO,,NAA,"ORSI MARTINEZ, Yamandu Ramon",,609,1,NAA
PARTIDO COLORADO,CO,,NAA,"GURMENDEZ ARMAND UGON, Gabriel",,15,1,NAA
PARTIDO COLORADO,CO,,NAA,"OJEDA SPITZ, Andres",,25,3,NAA
PARTIDO COLORADO,CO,,NAA,"OJEDA SPITZ, Andres",,9007,1,NAA
PARTIDO COLORADO,CO,,NAA,"SILVA GARCIA, Robert",,600,2,NAA
PARTIDO NACIONAL,CO,,NAA,"DELGADO CERETTA, Alvaro Luis",,28,18,NAA
PARTIDO NACIONAL,CO,,NAA,"DELGADO CERETTA, Alvaro Luis",,40,2,NAA
PARTIDO NACIONAL,CO,,NAA,"DELGADO CERETTA, Alvaro Luis",,404,17,NAA
PARTIDO NACIONAL,CO,,NAA,"DELGADO CERETTA, Alvaro Luis",,604,2,NAA
PARTIDO NACIONAL,CO,,NAA,"DELGADO CERETTA, Alvaro Luis",,904,9,NAA
PARTIDO NACIONAL,CO,,NAA,"DELGADO CERETTA, Alvaro Luis",,12404,1,NAA
PARTIDO NACIONAL,CO,,NAA,"RAFFO DEGEROMINI, Maria Laura",,5,2,NAA
PARTIDO NACIONAL,CO,,NAA,"RAFFO DEGEROMINI, Maria Laura",,71,1,NAA
PARTIDO NACIONAL,CO,,NAA,"RAFFO DEGEROMINI, Maria Laura",,112,2,NAA
PARTIDO NACIONAL,CO,,NAA,"RAFFO DEGEROMINI, Maria Laura",,2004,2,NAA
PARTIDO NACIONAL,CO,,NAA,"RAFFO DEGEROMINI, Maria Laura",,71504,3,NAA
FRENTE AMPLIO,CO,,NAA,"COSSE GARRIDO, Ana Carolina",,567,2,NAA
FRENTE AMPLIO,CO,,NAA,"COSSE GARRIDO, Ana Carolina",,2040,1,NAA
FRENTE AMPLIO,CO,,NAA,"COSSE GARRIDO, Ana Carolina",,3311,4,NAA
FRENTE AMPLIO,CO,,NAA,"ORSI MARTINEZ, Yamandu Ramon",,46,2,NAA
FRENTE AMPLIO,CO,,NAA,"ORSI MARTINEZ, Yamandu Ramon",,52,1,NAA
FRENTE AMPLIO,CO,,NAA,"ORSI MARTINEZ, Yamandu Ramon",,711,1,NAA
FRENTE AMPLIO,CO,,NAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,1,NAA
PARTIDO COLORADO,CO,,NAA,"OJEDA SPITZ, Andres",,25,2,NAA
PARTIDO NACIONAL,CO,,NAA,"DELGADO CERETTA, Alvaro Luis",,28,12,NAA
PARTIDO NACIONAL,CO,,NAA,"DELGADO CERETTA, Alvaro Luis",,40,2,NAA
PARTIDO NACIONAL,CO,,NAA,"DELGADO CERETTA, Alvaro Luis",,404,6,NAA
PARTIDO NACIONAL,CO,,NAA,"DELGADO CERETTA, Alvaro Luis",,904,7,NAA
PARTIDO NACIONAL,CO,,NAA,"DELGADO CERETTA, Alvaro Luis",,12404,4,NAA
PARTIDO NACIONAL,CO,,NAA,"RAFFO DEGEROMINI, Maria Laura",,5,1,NAA
PARTIDO NACIONAL,CO,,NAA,"RAFFO DEGEROMINI, Maria Laura",,71504,3,NAA
CABILDO ABIERTO,CO,,NAB,"MANINI STRATTA, Guido",,4400,2,NAB
CABILDO ABIERTO,CO,,NAB,"MANINI STRATTA, Guido",,7001,2,NAB
FRENTE AMPLIO,CO,,NAB,"COSSE GARRIDO, Ana Carolina",,1001,4,NAB
FRENTE AMPLIO,CO,,NAB,"COSSE GARRIDO, Ana Carolina",,1303,1,NAB
FRENTE AMPLIO,CO,,NAB,"COSSE GARRIDO, Ana Carolina",,1358,2,NAB
FRENTE AMPLIO,CO,,NAB,"COSSE GARRIDO, Ana Carolina",,2040,1,NAB
FRENTE AMPLIO,CO,,NAB,"COSSE GARRIDO, Ana Carolina",,3311,1,NAB
FRENTE AMPLIO,CO,,NAB,"COSSE GARRIDO, Ana Carolina",,8008,1,NAB
FRENTE AMPLIO,CO,,NAB,"COSSE GARRIDO, Ana Carolina",,99000,1,NAB
FRENTE AMPLIO,CO,,NAB,"ORSI MARTINEZ, Yamandu Ramon",,46,3,NAB
FRENTE AMPLIO,CO,,NAB,"ORSI MARTINEZ, Yamandu Ramon",,95,3,NAB
FRENTE AMPLIO,CO,,NAB,"ORSI MARTINEZ, Yamandu Ramon",,609,2,NAB
FRENTE AMPLIO,CO,,NAB,"ORSI MARTINEZ, Yamandu Ramon",,624,1,NAB
FRENTE AMPLIO,CO,,NAB,"ORSI MARTINEZ, Yamandu Ramon",,711,2,NAB
FRENTE AMPLIO,CO,,NAB,"ORSI MARTINEZ, Yamandu Ramon",,9949,1,NAB
PARTIDO COLORADO,CO,,NAB,"OJEDA SPITZ, Andres",,25,4,NAB
PARTIDO COLORADO,CO,,NAB,"OJEDA SPITZ, Andres",,9007,1,NAB
PARTIDO COLORADO,CO,,NAB,"SILVA GARCIA, Robert",,600,2,NAB
PARTIDO COLORADO,CO,,NAB,"VIERA DUARTE, Tabare",,152000,1,NAB
PARTIDO INDEPENDIENTE,CO,,NAB,"MIERES GOMEZ, Pablo Andres",,909,4,NAB
PARTIDO NACIONAL,CO,,NAB,"DELGADO CERETTA, Alvaro Luis",,28,4,NAB
PARTIDO NACIONAL,CO,,NAB,"DELGADO CERETTA, Alvaro Luis",,40,3,NAB
PARTIDO NACIONAL,CO,,NAB,"DELGADO CERETTA, Alvaro Luis",,404,9,NAB
PARTIDO NACIONAL,CO,,NAB,"DELGADO CERETTA, Alvaro Luis",,604,1,NAB
PARTIDO NACIONAL,CO,,NAB,"DELGADO CERETTA, Alvaro Luis",,904,13,NAB
PARTIDO NACIONAL,CO,,NAB,"DELGADO CERETTA, Alvaro Luis",,12404,15,NAB
PARTIDO NACIONAL,CO,,NAB,"GANDINI ASTESIANO, Jorge Osvaldo",,6,1,NAB
PARTIDO NACIONAL,CO,,NAB,"GANDINI ASTESIANO, Jorge Osvaldo",,2024,1,NAB
PARTIDO NACIONAL,CO,,NAB,"RAFFO DEGEROMINI, Maria Laura",,5,2,NAB
PARTIDO NACIONAL,CO,,NAB,"RAFFO DEGEROMINI, Maria Laura",,36,5,NAB
PARTIDO NACIONAL,CO,,NAB,"RAFFO DEGEROMINI, Maria Laura",,38,1,NAB
PARTIDO NACIONAL,CO,,NAB,"RAFFO DEGEROMINI, Maria Laura",,71,3,NAB
PARTIDO NACIONAL,CO,,NAB,"RAFFO DEGEROMINI, Maria Laura",,2004,2,NAB
PARTIDO NACIONAL,CO,,NAB,"RAFFO DEGEROMINI, Maria Laura",,71028,1,NAB
CABILDO ABIERTO,CO,,NAB,"MANINI STRATTA, Guido",,1456,1,NAB
FRENTE AMPLIO,CO,,NAB,"COSSE GARRIDO, Ana Carolina",,90,2,NAB
FRENTE AMPLIO,CO,,NAB,"COSSE GARRIDO, Ana Carolina",,567,1,NAB
FRENTE AMPLIO,CO,,NAB,"COSSE GARRIDO, Ana Carolina",,1001,2,NAB
FRENTE AMPLIO,CO,,NAB,"COSSE GARRIDO, Ana Carolina",,1303,1,NAB
FRENTE AMPLIO,CO,,NAB,"COSSE GARRIDO, Ana Carolina",,1358,1,NAB
FRENTE AMPLIO,CO,,NAB,"COSSE GARRIDO, Ana Carolina",,2040,1,NAB
FRENTE AMPLIO,CO,,NAB,"COSSE GARRIDO, Ana Carolina",,99000,1,NAB
FRENTE AMPLIO,CO,,NAB,"ORSI MARTINEZ, Yamandu Ramon",,9,1,NAB
FRENTE AMPLIO,CO,,NAB,"ORSI MARTINEZ, Yamandu Ramon",,46,3,NAB
FRENTE AMPLIO,CO,,NAB,"ORSI MARTINEZ, Yamandu Ramon",,52,2,NAB
FRENTE AMPLIO,CO,,NAB,"ORSI MARTINEZ, Yamandu Ramon",,95,1,NAB
