PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,DU,,RAA,"MANINI STRATTA, Guido",,288,1,RAA
FRENTE AMPLIO,DU,,RAA,"COSSE GARRIDO, Ana Carolina",,90,2,RAA
FRENTE AMPLIO,DU,,RAA,"COSSE GARRIDO, Ana Carolina",,567,1,RAA
FRENTE AMPLIO,DU,,RAA,"COSSE GARRIDO, Ana Carolina",,1001,11,RAA
FRENTE AMPLIO,DU,,RAA,"COSSE GARRIDO, Ana Carolina",,3311,3,RAA
FRENTE AMPLIO,DU,,RAA,"COSSE GARRIDO, Ana Carolina",,20040,1,RAA
FRENTE AMPLIO,DU,,RAA,"LIMA PROSERPIO, Andrés Pablo",,1813,1,RAA
FRENTE AMPLIO,DU,,RAA,"ORSI MARTINEZ, Yamandu Ramon",,609,12,RAA
FRENTE AMPLIO,DU,,RAA,"ORSI MARTINEZ, Yamandu Ramon",,711,1,RAA
PARTIDO COLORADO,DU,,RAA,"GURMENDEZ ARMAND UGON, Gabriel",,15,1,RAA
PARTIDO COLORADO,DU,,RAA,"OJEDA SPITZ, Andres",,318,18,RAA
PARTIDO COLORADO,DU,,RAA,"OJEDA SPITZ, Andres",,9007,2,RAA
PARTIDO COLORADO,DU,,RAA,"SILVA GARCIA, Robert",,600,3,RAA
PARTIDO COLORADO,DU,,RAA,"VIERA DUARTE, Tabare",,2000,1,RAA
PARTIDO COLORADO,DU,,RAA,"VIERA DUARTE, Tabare",,2023,3,RAA
PARTIDO IDENTIDAD SOBERANA,DU,,RAA,"SALLE LORIER, Gustavo Alberto",,18010,1,RAA
PARTIDO INDEPENDIENTE,DU,,RAA,"MIERES GOMEZ, Pablo Andres",,909,2,RAA
PARTIDO NACIONAL,DU,,RAA,"DELGADO CERETTA, Alvaro Luis",,3,2,RAA
PARTIDO NACIONAL,DU,,RAA,"DELGADO CERETTA, Alvaro Luis",,5,4,RAA
PARTIDO NACIONAL,DU,,RAA,"DELGADO CERETTA, Alvaro Luis",,40,10,RAA
PARTIDO NACIONAL,DU,,RAA,"DELGADO CERETTA, Alvaro Luis",,51,13,RAA
PARTIDO NACIONAL,DU,,RAA,"DELGADO CERETTA, Alvaro Luis",,151,1,RAA
PARTIDO NACIONAL,DU,,RAA,"DELGADO CERETTA, Alvaro Luis",,404,29,RAA
PARTIDO NACIONAL,DU,,RAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,3,RAA
PARTIDO NACIONAL,DU,,RAA,"GANDINI ASTESIANO, Jorge Osvaldo",,420,2,RAA
PARTIDO NACIONAL,DU,,RAA,"GANDINI ASTESIANO, Jorge Osvaldo",,25250,3,RAA
PARTIDO NACIONAL,DU,,RAA,"RAFFO DEGEROMINI, Maria Laura",,30,7,RAA
PARTIDO NACIONAL,DU,,RAA,"RAFFO DEGEROMINI, Maria Laura",,75,4,RAA
PARTIDO NACIONAL,DU,,RAA,"RAFFO DEGEROMINI, Maria Laura",,136,9,RAA
PARTIDO NACIONAL,DU,,RAA,"RAFFO DEGEROMINI, Maria Laura",,171,4,RAA
