PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,FS,,PAA,No aplica,,211,1,PAA
CABILDO ABIERTO,FS,,PAA,No aplica,,333,2,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,177,3,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,190,1,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,810,2,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,971,1,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,1609,10,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,1939,5,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,18081,1,PAA
PARTIDO COLORADO,FS,,PAA,No aplica,,10,3,PAA
PARTIDO COLORADO,FS,,PAA,No aplica,,15,3,PAA
PARTIDO COLORADO,FS,,PAA,No aplica,,21,7,PAA
PARTIDO COLORADO,FS,,PAA,No aplica,,70,2,PAA
PARTIDO COLORADO,FS,,PAA,No aplica,,75,1,PAA
PARTIDO COLORADO,FS,,PAA,No aplica,,310,1,PAA
PARTIDO COLORADO,FS,,PAA,No aplica,,2025,4,PAA
PARTIDO COLORADO,FS,,PAA,No aplica,,7009,2,PAA
PARTIDO COLORADO,FS,,PAA,No aplica,,17600,6,PAA
PARTIDO INDEPENDIENTE,FS,,PAA,No aplica,,999,1,PAA
PARTIDO NACIONAL,FS,,PAA,No aplica,,1,1,PAA
PARTIDO NACIONAL,FS,,PAA,No aplica,,30,69,PAA
PARTIDO NACIONAL,FS,,PAA,No aplica,,50,27,PAA
PARTIDO NACIONAL,FS,,PAA,No aplica,,80,3,PAA
PARTIDO NACIONAL,FS,,PAA,No aplica,,530,4,PAA
PARTIDO NACIONAL,FS,,PAA,No aplica,,803,1,PAA
PARTIDO NACIONAL,FS,,PAA,No aplica,,903,1,PAA
PARTIDO NACIONAL,FS,,PAA,No aplica,,904,3,PAA
PARTIDO NACIONAL,FS,,PAA,No aplica,,1271,4,PAA
PARTIDO NACIONAL,FS,,PAA,No aplica,,5050,8,PAA
PARTIDO NACIONAL,FS,,PAA,No aplica,,7130,3,PAA
CABILDO ABIERTO,FS,,PAA,No aplica,,333,1,PAA
CABILDO ABIERTO,FS,,PAA,No aplica,,577,3,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,152,1,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,177,6,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,190,1,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,810,9,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,971,6,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,1609,11,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,1939,7,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,11968,1,PAA
FRENTE AMPLIO,FS,,PAA,No aplica,,18081,1,PAA
