PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
FRENTE AMPLIO,FD,,QAA,No aplica,,103,2,QAA
FRENTE AMPLIO,FD,,QAA,No aplica,,190,3,QAA
FRENTE AMPLIO,FD,,QAA,No aplica,,1502,1,QAA
FRENTE AMPLIO,FD,,QAA,No aplica,,1609,2,QAA
FRENTE AMPLIO,FD,,QAA,No aplica,,1949,2,QAA
FRENTE AMPLIO,FD,,QAA,No aplica,,2025,5,QAA
FRENTE AMPLIO,FD,,QAA,No aplica,,77424,9,QAA
PARTIDO COLORADO,FD,,QAA,No aplica,,222,5,QAA
PARTIDO COLORADO,FD,,QAA,No aplica,,225,5,QAA
PARTIDO COLORADO,FD,,QAA,No aplica,,6000,5,QAA
PARTIDO NACIONAL,FD,,QAA,No aplica,,30,3,QAA
PARTIDO NACIONAL,FD,,QAA,No aplica,,140,1,QAA
PARTIDO NACIONAL,FD,,QAA,No aplica,,488,1,QAA
PARTIDO NACIONAL,FD,,QAA,No aplica,,1250,2,QAA
PARTIDO NACIONAL,FD,,QAA,No aplica,,3404,2,QAA
PARTIDO NACIONAL,FD,,QAA,No aplica,,6250,1,QAA
PARTIDO NACIONAL,FD,,QAA,No aplica,,6262,28,QAA
CABILDO ABIERTO,FD,,QAA,No aplica,,1962,1,QAA
FRENTE AMPLIO,FD,,QAA,No aplica,,103,17,QAA
FRENTE AMPLIO,FD,,QAA,No aplica,,119,2,QAA
FRENTE AMPLIO,FD,,QAA,No aplica,,190,2,QAA
FRENTE AMPLIO,FD,,QAA,No aplica,,1609,4,QAA
FRENTE AMPLIO,FD,,QAA,No aplica,,1949,1,QAA
FRENTE AMPLIO,FD,,QAA,No aplica,,2001,2,QAA
FRENTE AMPLIO,FD,,QAA,No aplica,,2025,6,QAA
FRENTE AMPLIO,FD,,QAA,No aplica,,77424,16,QAA
PARTIDO COLORADO,FD,,QAA,No aplica,,222,10,QAA
PARTIDO COLORADO,FD,,QAA,No aplica,,225,8,QAA
PARTIDO COLORADO,FD,,QAA,No aplica,,6000,7,QAA
PARTIDO COLORADO,FD,,QAA,No aplica,,7009,1,QAA
PARTIDO INDEPENDIENTE,FD,,QAA,No aplica,,999,3,QAA
PARTIDO NACIONAL,FD,,QAA,No aplica,,30,2,QAA
PARTIDO NACIONAL,FD,,QAA,No aplica,,140,1,QAA
PARTIDO NACIONAL,FD,,QAA,No aplica,,488,7,QAA
PARTIDO NACIONAL,FD,,QAA,No aplica,,1150,2,QAA
