PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,AR,,IAA,No aplica,,44,3,IAA
CABILDO ABIERTO,AR,,IAA,No aplica,,337,1,IAA
CABILDO ABIERTO,AR,,IAA,No aplica,,820,4,IAA
CABILDO ABIERTO,AR,,IAA,No aplica,,2828,3,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,1609,2,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,1971,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,2001,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,18015,1,IAA
PARTIDO COLORADO,AR,,IAA,No aplica,,315,6,IAA
PARTIDO COLORADO,AR,,IAA,No aplica,,615,1,IAA
PARTIDO COLORADO,AR,,IAA,No aplica,,2225,1,IAA
PARTIDO COLORADO,AR,,IAA,No aplica,,141533,2,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,50,2,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,111,2,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,816,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,2014,8,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,12525,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,25025,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,52525,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,152525,2,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252503,5,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252506,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252515,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252519,2,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252525,9,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252552,4,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,312525,3,IAA
CABILDO ABIERTO,AR,,IAA,No aplica,,44,1,IAA
CABILDO ABIERTO,AR,,IAA,No aplica,,820,4,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,1711,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,1971,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,2001,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,11828,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,319000,1,IAA
PARTIDO COLORADO,AR,,IAA,No aplica,,315,3,IAA
PARTIDO COLORADO,AR,,IAA,No aplica,,2225,1,IAA
PARTIDO COLORADO,AR,,IAA,No aplica,,141533,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,8,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,50,2,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,111,6,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,816,2,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,931,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,2014,3,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,25025,2,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,52525,2,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,71104,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,152525,0,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252501,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252502,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252503,5,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252506,2,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252525,21,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252552,3,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,312525,1,IAA
CABILDO ABIERTO,AR,,IAA,No aplica,,44,1,IAA
CABILDO ABIERTO,AR,,IAA,No aplica,,820,4,IAA
CABILDO ABIERTO,AR,,IAA,No aplica,,2828,2,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,79,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,1609,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,2001,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,11828,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,18015,2,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,21212010,2,IAA
PARTIDO COLORADO,AR,,IAA,No aplica,,2529,2,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,8,2,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,50,5,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,111,4,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,525,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,816,2,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,2014,3,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,2555,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,25025,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,25825,2,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,52525,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252503,3,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252508,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252515,3,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252519,1,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252525,11,IAA
PARTIDO NACIONAL,AR,,IAA,No aplica,,252552,4,IAA
CABILDO ABIERTO,AR,,IAA,No aplica,,44,3,IAA
CABILDO ABIERTO,AR,,IAA,No aplica,,337,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,79,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,190,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,1441,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,1609,3,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,1939,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,1971,1,IAA
FRENTE AMPLIO,AR,,IAA,No aplica,,2001,1,IAA
