PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,CL,,GAA,"MANINI STRATTA, Guido",,1820,1,GAA
FRENTE AMPLIO,CL,,GAA,"COSSE GARRIDO, Ana Carolina",,90,8,GAA
FRENTE AMPLIO,CL,,GAA,"COSSE GARRIDO, Ana Carolina",,1001,6,GAA
FRENTE AMPLIO,CL,,GAA,"COSSE GARRIDO, Ana Carolina",,3311,2,GAA
FRENTE AMPLIO,CL,,GAA,"COSSE GARRIDO, Ana Carolina",,99000,1,GAA
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ, Yamandu Ramon",,46,1,GAA
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ, Yamandu Ramon",,77,7,GAA
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ, Yamandu Ramon",,89,2,GAA
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ, Yamandu Ramon",,95,2,GAA
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ, Yamandu Ramon",,609,8,GAA
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ, Yamandu Ramon",,711,1,GAA
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,4,GAA
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ, Yamandu Ramon",,1968,1,GAA
FRENTE AMPLIO,CL,,GAA,"ORSI MARTINEZ, Yamandu Ramon",,52000,1,GAA
PARTIDO COLORADO,CL,,GAA,"OJEDA SPITZ, Andres",,15,9,GAA
PARTIDO COLORADO,CL,,GAA,"OJEDA SPITZ, Andres",,25,1,GAA
PARTIDO COLORADO,CL,,GAA,"OJEDA SPITZ, Andres",,9007,3,GAA
PARTIDO COLORADO,CL,,GAA,"SILVA GARCIA, Robert",,15600,3,GAA
PARTIDO CONSTITUCIONAL AMBIENTALISTA,CL,,GAA,"LUST HITTA, Eduardo Manuel",,1187,2,GAA
PARTIDO IDENTIDAD SOBERANA,CL,,GAA,"SALLE LORIER, Gustavo Alberto",,18010,1,GAA
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA, Alvaro Luis",,3,27,GAA
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA, Alvaro Luis",,4,15,GAA
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA, Alvaro Luis",,7,1,GAA
PARTIDO NACIONAL,CL,,GAA,"DELGADO CERETTA, Alvaro Luis",,28,2,GAA
