PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,DU,,RAA,No aplica,,820,1,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,190,2,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,1609,9,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,1971,4,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,2001,12,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,3434,3,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,18,3,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,23,5,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,210,1,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,518,5,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,622,3,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,1515,1,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,1803,2,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,1821,3,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,1885,5,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,7009,2,RAA
PARTIDO INDEPENDIENTE,DU,,RAA,No aplica,,999,2,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,11,3,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,25,15,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,36,13,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,55,18,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,58,5,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,125,2,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,330,6,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,400,13,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,665,4,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,2541,2,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,4100,1,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,4110,7,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,4121,3,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,4141,7,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,5833,1,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,5841,1,RAA
CABILDO ABIERTO,DU,,RAA,No aplica,,820,2,RAA
CABILDO ABIERTO,DU,,RAA,No aplica,,1411,2,RAA
CABILDO ABIERTO,DU,,RAA,No aplica,,1820,1,RAA
CABILDO ABIERTO,DU,,RAA,No aplica,,1850,1,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,13,5,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,190,3,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,777,1,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,1609,6,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,1971,5,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,2001,20,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,2121,2,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,3434,12,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,18,2,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,23,11,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,83,1,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,210,1,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,518,6,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,622,6,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,1515,2,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,1541,1,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,1821,7,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,1842,4,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,7009,3,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,11,2,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,25,15,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,36,17,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,55,22,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,58,3,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,125,2,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,131,2,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,330,3,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,400,15,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,665,2,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,725,3,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,2541,1,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,4110,2,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,4121,2,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,4141,9,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,5833,1,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,5841,1,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,58404,1,RAA
ASAMBLEA POPULAR,DU,,RAA,No aplica,,1326,1,RAA
CABILDO ABIERTO,DU,,RAA,No aplica,,820,2,RAA
CABILDO ABIERTO,DU,,RAA,No aplica,,1850,1,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,13,2,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,190,6,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,1609,6,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,1971,4,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,2001,15,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,2121,2,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,3434,6,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,18,2,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,23,5,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,83,1,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,210,4,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,518,3,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,622,5,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,1803,4,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,1821,3,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,1842,2,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,1885,3,RAA
PARTIDO COLORADO,DU,,RAA,No aplica,,7009,2,RAA
PARTIDO INDEPENDIENTE,DU,,RAA,No aplica,,999,3,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,11,3,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,25,11,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,36,16,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,55,18,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,58,7,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,131,4,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,330,3,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,400,15,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,424,1,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,665,3,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,1880,2,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,2541,3,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,4110,10,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,4121,1,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,4141,9,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,5833,2,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,5841,1,RAA
PARTIDO NACIONAL,DU,,RAA,No aplica,,58404,2,RAA
ASAMBLEA POPULAR,DU,,RAA,No aplica,,1326,1,RAA
CABILDO ABIERTO,DU,,RAA,No aplica,,820,2,RAA
CABILDO ABIERTO,DU,,RAA,No aplica,,1411,1,RAA
CABILDO ABIERTO,DU,,RAA,No aplica,,1850,1,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,13,4,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,190,6,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,1609,8,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,1949,1,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,1971,3,RAA
FRENTE AMPLIO,DU,,RAA,No aplica,,2001,27,RAA
