PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,FS,,PAA,"MANINI STRATTA, Guido",,3333,1,PAA
CABILDO ABIERTO,FS,,PAA,"MANINI STRATTA, Guido",,4848,1,PAA
FRENTE AMPLIO,FS,,PAA,"COSSE GARRIDO, Ana Carolina",,90,1,PAA
FRENTE AMPLIO,FS,,PAA,"COSSE GARRIDO, Ana Carolina",,800,1,PAA
FRENTE AMPLIO,FS,,PAA,"COSSE GARRIDO, Ana Carolina",,1001,2,PAA
FRENTE AMPLIO,FS,,PAA,"COSSE GARRIDO, Ana Carolina",,1808,2,PAA
FRENTE AMPLIO,FS,,PAA,"ORSI MARTINEZ, Yamandu Ramon",,77,2,PAA
FRENTE AMPLIO,FS,,PAA,"ORSI MARTINEZ, Yamandu Ramon",,95,1,PAA
FRENTE AMPLIO,FS,,PAA,"ORSI MARTINEZ, Yamandu Ramon",,609,10,PAA
FRENTE AMPLIO,FS,,PAA,"ORSI MARTINEZ, Yamandu Ramon",,939,5,PAA
PARTIDO COLORADO,FS,,PAA,"GURMENDEZ ARMAND UGON, Gabriel",,20,3,PAA
PARTIDO COLORADO,FS,,PAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,2,PAA
PARTIDO COLORADO,FS,,PAA,"OJEDA SPITZ, Andres",,25,15,PAA
PARTIDO COLORADO,FS,,PAA,"OJEDA SPITZ, Andres",,3010,1,PAA
PARTIDO COLORADO,FS,,PAA,"OJEDA SPITZ, Andres",,9007,1,PAA
PARTIDO COLORADO,FS,,PAA,"SILVA GARCIA, Robert",,600,6,PAA
PARTIDO INDEPENDIENTE,FS,,PAA,"MIERES GOMEZ, Pablo Andres",,909,1,PAA
PARTIDO NACIONAL,FS,,PAA,"DELGADO CERETTA, Alvaro Luis",,8,28,PAA
PARTIDO NACIONAL,FS,,PAA,"DELGADO CERETTA, Alvaro Luis",,40,70,PAA
PARTIDO NACIONAL,FS,,PAA,"DELGADO CERETTA, Alvaro Luis",,400,13,PAA
PARTIDO NACIONAL,FS,,PAA,"DELGADO CERETTA, Alvaro Luis",,8880,3,PAA
PARTIDO NACIONAL,FS,,PAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,1,PAA
PARTIDO NACIONAL,FS,,PAA,"RAFFO DEGEROMINI, Maria Laura",,71,3,PAA
PARTIDO NACIONAL,FS,,PAA,"RAFFO DEGEROMINI, Maria Laura",,2004,5,PAA
