PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,LA,,SAA,"MANINI STRATTA, Guido",,125,2,SAA
FRENTE AMPLIO,LA,,SAA,"COSSE GARRIDO, Ana Carolina",,90,4,SAA
FRENTE AMPLIO,LA,,SAA,"COSSE GARRIDO, Ana Carolina",,1001,1,SAA
FRENTE AMPLIO,LA,,SAA,"COSSE GARRIDO, Ana Carolina",,3311,1,SAA
FRENTE AMPLIO,LA,,SAA,"ORSI MARTINEZ, Yamandu Ramon",,77,1,SAA
FRENTE AMPLIO,LA,,SAA,"ORSI MARTINEZ, Yamandu Ramon",,95,3,SAA
FRENTE AMPLIO,LA,,SAA,"ORSI MARTINEZ, Yamandu Ramon",,609,5,SAA
FRENTE AMPLIO,LA,,SAA,"ORSI MARTINEZ, Yamandu Ramon",,949,1,SAA
PARTIDO COLORADO,LA,,SAA,"GURMENDEZ ARMAND UGON, Gabriel",,220,2,SAA
PARTIDO COLORADO,LA,,SAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,SAA
PARTIDO COLORADO,LA,,SAA,"OJEDA SPITZ, Andres",,25,7,SAA
PARTIDO COLORADO,LA,,SAA,"SILVA GARCIA, Robert",,600,3,SAA
PARTIDO COLORADO,LA,,SAA,"VIERA DUARTE, Tabare",,2000,1,SAA
PARTIDO INDEPENDIENTE,LA,,SAA,"MIERES GOMEZ, Pablo Andres",,909,1,SAA
PARTIDO NACIONAL,LA,,SAA,"CORBRAN RIZZO, Roxana Lilián",,71,1,SAA
PARTIDO NACIONAL,LA,,SAA,"CORBRAN RIZZO, Roxana Lilián",,1007,1,SAA
PARTIDO NACIONAL,LA,,SAA,"DELGADO CERETTA, Alvaro Luis",,22,2,SAA
PARTIDO NACIONAL,LA,,SAA,"DELGADO CERETTA, Alvaro Luis",,40,1,SAA
PARTIDO NACIONAL,LA,,SAA,"DELGADO CERETTA, Alvaro Luis",,158,24,SAA
PARTIDO NACIONAL,LA,,SAA,"DELGADO CERETTA, Alvaro Luis",,404,17,SAA
PARTIDO NACIONAL,LA,,SAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,1,SAA
PARTIDO NACIONAL,LA,,SAA,"GANDINI ASTESIANO, Jorge Osvaldo",,903,2,SAA
PARTIDO NACIONAL,LA,,SAA,"RAFFO DEGEROMINI, Maria Laura",,159,8,SAA
PARTIDO NACIONAL,LA,,SAA,"RAFFO DEGEROMINI, Maria Laura",,2004,2,SAA
CABILDO ABIERTO,LA,,SAA,"MANINI STRATTA, Guido",,288,2,SAA
FRENTE AMPLIO,LA,,SAA,"COSSE GARRIDO, Ana Carolina",,90,1,SAA
FRENTE AMPLIO,LA,,SAA,"COSSE GARRIDO, Ana Carolina",,1001,1,SAA
FRENTE AMPLIO,LA,,SAA,"COSSE GARRIDO, Ana Carolina",,1888,2,SAA
FRENTE AMPLIO,LA,,SAA,"COSSE GARRIDO, Ana Carolina",,9393,1,SAA
FRENTE AMPLIO,LA,,SAA,"LIMA PROSERPIO, Andrés Pablo",,319,1,SAA
FRENTE AMPLIO,LA,,SAA,"ORSI MARTINEZ, Yamandu Ramon",,46,1,SAA
FRENTE AMPLIO,LA,,SAA,"ORSI MARTINEZ, Yamandu Ramon",,95,6,SAA
FRENTE AMPLIO,LA,,SAA,"ORSI MARTINEZ, Yamandu Ramon",,609,5,SAA
FRENTE AMPLIO,LA,,SAA,"ORSI MARTINEZ, Yamandu Ramon",,711,1,SAA
FRENTE AMPLIO,LA,,SAA,"ORSI MARTINEZ, Yamandu Ramon",,939,1,SAA
PARTIDO AVANZAR REPUBLICANO,LA,,SAA,"PEREZ BANCHERO, Felipe Martin",,937,1,SAA
PARTIDO COLORADO,LA,,SAA,"GURMENDEZ ARMAND UGON, Gabriel",,220,2,SAA
PARTIDO COLORADO,LA,,SAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,SAA
PARTIDO COLORADO,LA,,SAA,"OJEDA SPITZ, Andres",,25,16,SAA
PARTIDO COLORADO,LA,,SAA,"OJEDA SPITZ, Andres",,9007,2,SAA
PARTIDO COLORADO,LA,,SAA,"SILVA GARCIA, Robert",,600,9,SAA
PARTIDO COLORADO,LA,,SAA,"VIERA DUARTE, Tabare",,2000,1,SAA
PARTIDO IDENTIDAD SOBERANA,LA,,SAA,"SALLE LORIER, Gustavo Alberto",,18010,1,SAA
PARTIDO INDEPENDIENTE,LA,,SAA,"MIERES GOMEZ, Pablo Andres",,909,3,SAA
PARTIDO NACIONAL,LA,,SAA,"CORBRAN RIZZO, Roxana Lilián",,1007,2,SAA
PARTIDO NACIONAL,LA,,SAA,"DELGADO CERETTA, Alvaro Luis",,22,6,SAA
PARTIDO NACIONAL,LA,,SAA,"DELGADO CERETTA, Alvaro Luis",,40,1,SAA
PARTIDO NACIONAL,LA,,SAA,"DELGADO CERETTA, Alvaro Luis",,158,26,SAA
PARTIDO NACIONAL,LA,,SAA,"DELGADO CERETTA, Alvaro Luis",,404,34,SAA
PARTIDO NACIONAL,LA,,SAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,1,SAA
PARTIDO NACIONAL,LA,,SAA,"GANDINI ASTESIANO, Jorge Osvaldo",,903,2,SAA
PARTIDO NACIONAL,LA,,SAA,"RAFFO DEGEROMINI, Maria Laura",,159,12,SAA
PARTIDO NACIONAL,LA,,SAA,"RAFFO DEGEROMINI, Maria Laura",,2004,1,SAA
CABILDO ABIERTO,LA,,SAA,"MANINI STRATTA, Guido",,125,1,SAA
CABILDO ABIERTO,LA,,SAA,"MANINI STRATTA, Guido",,288,2,SAA
FRENTE AMPLIO,LA,,SAA,"COSSE GARRIDO, Ana Carolina",,90,1,SAA
