PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,MA,,DAA,"MANINI STRATTA, Guido",,102,1,DAA
FRENTE AMPLIO,MA,,DAA,"COSSE GARRIDO, Ana Carolina",,90,1,DAA
FRENTE AMPLIO,MA,,DAA,"COSSE GARRIDO, Ana Carolina",,567,1,DAA
FRENTE AMPLIO,MA,,DAA,"COSSE GARRIDO, Ana Carolina",,817,1,DAA
FRENTE AMPLIO,MA,,DAA,"COSSE GARRIDO, Ana Carolina",,1808,1,DAA
FRENTE AMPLIO,MA,,DAA,"COSSE GARRIDO, Ana Carolina",,5005,1,DAA
FRENTE AMPLIO,MA,,DAA,"COSSE GARRIDO, Ana Carolina",,9393,1,DAA
FRENTE AMPLIO,MA,,DAA,"LIMA PROSERPIO, Andrés Pablo",,1813,1,DAA
FRENTE AMPLIO,MA,,DAA,"ORSI MARTINEZ, Yamandu Ramon",,95,4,DAA
FRENTE AMPLIO,MA,,DAA,"ORSI MARTINEZ, Yamandu Ramon",,502,1,DAA
FRENTE AMPLIO,MA,,DAA,"ORSI MARTINEZ, Yamandu Ramon",,609,2,DAA
FRENTE AMPLIO,MA,,DAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,1,DAA
FRENTE AMPLIO,MA,,DAA,"ORSI MARTINEZ, Yamandu Ramon",,3040,1,DAA
PARTIDO COLORADO,MA,,DAA,"GURMENDEZ ARMAND UGON, Gabriel",,2029,1,DAA
PARTIDO COLORADO,MA,,DAA,"GURMENDEZ ARMAND UGON, Gabriel",,2200,1,DAA
PARTIDO COLORADO,MA,,DAA,"OJEDA SPITZ, Andres",,25,2,DAA
PARTIDO COLORADO,MA,,DAA,"SILVA GARCIA, Robert",,229,5,DAA
PARTIDO COLORADO,MA,,DAA,"SILVA GARCIA, Robert",,15015,2,DAA
PARTIDO COLORADO,MA,,DAA,"SILVA GARCIA, Robert",,17600,2,DAA
PARTIDO COLORADO,MA,,DAA,"SILVA GARCIA, Robert",,33600,1,DAA
PARTIDO COLORADO,MA,,DAA,"VIERA DUARTE, Tabare",,200,1,DAA
PARTIDO ECOLOGISTA RADICAL INTRANSIGENTE,MA,,DAA,"VEGA ERRAMUSPE, Cesar Enrique",,1330,1,DAA
PARTIDO INDEPENDIENTE,MA,,DAA,"MIERES GOMEZ, Pablo Andres",,909,1,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,8,1,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,32,12,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,33,2,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,38,1,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,82,1,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,84,1,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,93,3,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,172,3,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,191,2,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,218,1,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,717,3,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,2020,19,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,4040,4,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,5000,1,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,40423,6,DAA
PARTIDO NACIONAL,MA,,DAA,"DELGADO CERETTA, Alvaro Luis",,144000,1,DAA
PARTIDO NACIONAL,MA,,DAA,"GANDINI ASTESIANO, Jorge Osvaldo",,58,1,DAA
PARTIDO NACIONAL,MA,,DAA,"GANDINI ASTESIANO, Jorge Osvaldo",,60,1,DAA
PARTIDO NACIONAL,MA,,DAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,4,DAA
PARTIDO NACIONAL,MA,,DAA,"IAFIGLIOLA PIMENTEL, Carlos Alberto",,252,1,DAA
PARTIDO NACIONAL,MA,,DAA,"RAFFO DEGEROMINI, Maria Laura",,23,13,DAA
CABILDO ABIERTO,MA,,DAA,"MANINI STRATTA, Guido",,102,2,DAA
FRENTE AMPLIO,MA,,DAA,"COSSE GARRIDO, Ana Carolina",,90,4,DAA
FRENTE AMPLIO,MA,,DAA,"COSSE GARRIDO, Ana Carolina",,1358,2,DAA
FRENTE AMPLIO,MA,,DAA,"COSSE GARRIDO, Ana Carolina",,2040,1,DAA
FRENTE AMPLIO,MA,,DAA,"COSSE GARRIDO, Ana Carolina",,3311,1,DAA
FRENTE AMPLIO,MA,,DAA,"COSSE GARRIDO, Ana Carolina",,8008,1,DAA
FRENTE AMPLIO,MA,,DAA,"LIMA PROSERPIO, Andrés Pablo",,1813,1,DAA
FRENTE AMPLIO,MA,,DAA,"ORSI MARTINEZ, Yamandu Ramon",,76,2,DAA
FRENTE AMPLIO,MA,,DAA,"ORSI MARTINEZ, Yamandu Ramon",,95,3,DAA
FRENTE AMPLIO,MA,,DAA,"ORSI MARTINEZ, Yamandu Ramon",,609,4,DAA
FRENTE AMPLIO,MA,,DAA,"ORSI MARTINEZ, Yamandu Ramon",,939,3,DAA
FRENTE AMPLIO,MA,,DAA,"ORSI MARTINEZ, Yamandu Ramon",,949,4,DAA
PARTIDO COLORADO,MA,,DAA,"GURMENDEZ ARMAND UGON, Gabriel",,2029,3,DAA
PARTIDO COLORADO,MA,,DAA,"OJEDA SPITZ, Andres",,25,6,DAA
PARTIDO COLORADO,MA,,DAA,"OJEDA SPITZ, Andres",,9007,1,DAA
PARTIDO COLORADO,MA,,DAA,"OJEDA SPITZ, Andres",,25100,2,DAA
PARTIDO COLORADO,MA,,DAA,"SILVA GARCIA, Robert",,229,1,DAA
PARTIDO COLORADO,MA,,DAA,"SILVA GARCIA, Robert",,15015,1,DAA
PARTIDO COLORADO,MA,,DAA,"SILVA GARCIA, Robert",,17600,1,DAA
