PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,90,4,KAA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,1001,3,KAA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,2040,1,KAA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,3311,1,KAA
FRENTE AMPLIO,PA,,KAA,"ORSI MARTINEZ, Yamandu Ramon",,9,1,KAA
FRENTE AMPLIO,PA,,KAA,"ORSI MARTINEZ, Yamandu Ramon",,52,1,KAA
FRENTE AMPLIO,PA,,KAA,"ORSI MARTINEZ, Yamandu Ramon",,76,1,KAA
FRENTE AMPLIO,PA,,KAA,"ORSI MARTINEZ, Yamandu Ramon",,77,5,KAA
FRENTE AMPLIO,PA,,KAA,"ORSI MARTINEZ, Yamandu Ramon",,95,1,KAA
FRENTE AMPLIO,PA,,KAA,"ORSI MARTINEZ, Yamandu Ramon",,609,5,KAA
PARTIDO COLORADO,PA,,KAA,"ACHE BATLLE, Carolina",,30,1,KAA
PARTIDO COLORADO,PA,,KAA,"GURMENDEZ ARMAND UGON, Gabriel",,2929,1,KAA
PARTIDO COLORADO,PA,,KAA,"OJEDA SPITZ, Andres",,25,1,KAA
PARTIDO COLORADO,PA,,KAA,"SILVA GARCIA, Robert",,600,3,KAA
PARTIDO COLORADO,PA,,KAA,"VIERA DUARTE, Tabare",,10,5,KAA
PARTIDO INDEPENDIENTE,PA,,KAA,"MIERES GOMEZ, Pablo Andres",,909,1,KAA
PARTIDO NACIONAL,PA,,KAA,"DELGADO CERETTA, Alvaro Luis",,40,1,KAA
PARTIDO NACIONAL,PA,,KAA,"DELGADO CERETTA, Alvaro Luis",,2025,2,KAA
PARTIDO NACIONAL,PA,,KAA,"DELGADO CERETTA, Alvaro Luis",,4041,10,KAA
PARTIDO NACIONAL,PA,,KAA,"DELGADO CERETTA, Alvaro Luis",,5151,21,KAA
PARTIDO NACIONAL,PA,,KAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,1,KAA
PARTIDO NACIONAL,PA,,KAA,"RAFFO DEGEROMINI, Maria Laura",,2,5,KAA
PARTIDO NACIONAL,PA,,KAA,"RAFFO DEGEROMINI, Maria Laura",,164,3,KAA
POR LOS CAMBIOS NECESARIOS (PCN),PA,,KAA,"FRANCHI SORIA, Guillermo Anibal",,2018,1,KAA
ASAMBLEA POPULAR,PA,,KAA,"MARTÍNEZ MARUCA, Walter Gonzalo",,326,1,KAA
CABILDO ABIERTO,PA,,KAA,"MANINI STRATTA, Guido",,4848,1,KAA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,90,5,KAA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,567,1,KAA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,800,3,KAA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,1001,2,KAA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,1303,1,KAA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,2040,1,KAA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,3311,2,KAA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,5005,1,KAA
FRENTE AMPLIO,PA,,KAA,"LIMA PROSERPIO, Andrés Pablo",,319,1,KAA
FRENTE AMPLIO,PA,,KAA,"ORSI MARTINEZ, Yamandu Ramon",,46,1,KAA
FRENTE AMPLIO,PA,,KAA,"ORSI MARTINEZ, Yamandu Ramon",,76,3,KAA
FRENTE AMPLIO,PA,,KAA,"ORSI MARTINEZ, Yamandu Ramon",,77,7,KAA
FRENTE AMPLIO,PA,,KAA,"ORSI MARTINEZ, Yamandu Ramon",,95,2,KAA
FRENTE AMPLIO,PA,,KAA,"ORSI MARTINEZ, Yamandu Ramon",,609,5,KAA
FRENTE AMPLIO,PA,,KAA,"ORSI MARTINEZ, Yamandu Ramon",,624,1,KAA
FRENTE AMPLIO,PA,,KAA,"ORSI MARTINEZ, Yamandu Ramon",,949,2,KAA
PARTIDO COLORADO,PA,,KAA,"ACHE BATLLE, Carolina",,30,2,KAA
PARTIDO COLORADO,PA,,KAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,3,KAA
PARTIDO COLORADO,PA,,KAA,"OJEDA SPITZ, Andres",,25,2,KAA
PARTIDO COLORADO,PA,,KAA,"SILVA GARCIA, Robert",,600,2,KAA
PARTIDO COLORADO,PA,,KAA,"VIERA DUARTE, Tabare",,10,8,KAA
PARTIDO CONSTITUCIONAL AMBIENTALISTA,PA,,KAA,"LUST HITTA, Eduardo Manuel",,1187,2,KAA
PARTIDO NACIONAL,PA,,KAA,"DELGADO CERETTA, Alvaro Luis",,13,1,KAA
PARTIDO NACIONAL,PA,,KAA,"DELGADO CERETTA, Alvaro Luis",,40,3,KAA
PARTIDO NACIONAL,PA,,KAA,"DELGADO CERETTA, Alvaro Luis",,2025,1,KAA
PARTIDO NACIONAL,PA,,KAA,"DELGADO CERETTA, Alvaro Luis",,4040,1,KAA
PARTIDO NACIONAL,PA,,KAA,"DELGADO CERETTA, Alvaro Luis",,4041,11,KAA
PARTIDO NACIONAL,PA,,KAA,"DELGADO CERETTA, Alvaro Luis",,5151,25,KAA
PARTIDO NACIONAL,PA,,KAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,4,KAA
PARTIDO NACIONAL,PA,,KAA,"GANDINI ASTESIANO, Jorge Osvaldo",,903,1,KAA
PARTIDO NACIONAL,PA,,KAA,"IAFIGLIOLA PIMENTEL, Carlos Alberto",,252,1,KAA
PARTIDO NACIONAL,PA,,KAA,"RAFFO DEGEROMINI, Maria Laura",,2,10,KAA
PARTIDO NACIONAL,PA,,KAA,"RAFFO DEGEROMINI, Maria Laura",,164,2,KAA
ASAMBLEA POPULAR,PA,,KAA,"MARTÍNEZ MARUCA, Walter Gonzalo",,326,1,KAA
CABILDO ABIERTO,PA,,KAA,"MANINI STRATTA, Guido",,4848,2,KAA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,90,2,KAA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,567,3,KAA
FRENTE AMPLIO,PA,,KAA,"COSSE GARRIDO, Ana Carolina",,800,4,KAA
