PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,RN,,LAA,No aplica,,1510,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,169,2,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,190,8,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,777,2,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,1441,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,1609,2,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,2001,6,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,5098,2,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,2150998908,3,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,6,5,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,125,1,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,2025,4,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,15600,3,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,15919,1,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,19007,4,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,2,3,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,44,1,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,58,13,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,88,1,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,400,9,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,4040,13,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,5000,1,LAA
CABILDO ABIERTO,RN,,LAA,No aplica,,1,2,LAA
CABILDO ABIERTO,RN,,LAA,No aplica,,712,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,169,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,190,10,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,311,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,777,3,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,810,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,1567,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,1609,5,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,2001,10,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,5098,2,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,11828,2,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,2150998908,6,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,6,6,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,125,4,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,4242,2,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,15600,9,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,15919,1,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,19007,11,LAA
PARTIDO INDEPENDIENTE,RN,,LAA,No aplica,,999,2,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,2,1,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,44,3,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,58,23,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,88,1,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,400,8,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,997,2,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,4040,13,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,5000,2,LAA
CABILDO ABIERTO,RN,,LAA,No aplica,,1,1,LAA
CABILDO ABIERTO,RN,,LAA,No aplica,,712,1,LAA
CABILDO ABIERTO,RN,,LAA,No aplica,,1510,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,152,2,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,169,4,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,190,15,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,777,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,810,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,813,2,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,1609,6,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,2001,4,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,11828,2,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,2150998908,5,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,6,7,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,125,6,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,4242,2,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,15600,8,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,15919,1,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,19007,13,LAA
PARTIDO INDEPENDIENTE,RN,,LAA,No aplica,,999,1,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,2,3,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,44,6,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,58,15,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,88,1,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,400,11,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,997,2,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,4040,19,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,5000,1,LAA
CABILDO ABIERTO,RN,,LAA,No aplica,,1,2,LAA
CABILDO ABIERTO,RN,,LAA,No aplica,,1510,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,152,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,169,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,190,17,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,777,4,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,813,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,1609,7,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,2001,16,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,5098,2,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,11828,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,2150998908,8,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,6,7,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,125,5,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,2025,2,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,15600,7,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,15919,1,LAA
PARTIDO COLORADO,RN,,LAA,No aplica,,19007,7,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,2,8,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,44,7,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,58,15,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,400,7,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,4040,21,LAA
PARTIDO NACIONAL,RN,,LAA,No aplica,,5000,3,LAA
CABILDO ABIERTO,RN,,LAA,No aplica,,1,4,LAA
CABILDO ABIERTO,RN,,LAA,No aplica,,712,6,LAA
CABILDO ABIERTO,RN,,LAA,No aplica,,1510,3,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,152,1,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,169,2,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,190,20,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,311,3,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,777,2,LAA
FRENTE AMPLIO,RN,,LAA,No aplica,,813,1,LAA
