PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,90,8,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1001,6,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,3311,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,5005,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,76,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,77,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,95,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,141,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,609,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,711,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,3098,1,LAA
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON, Gabriel",,15,1,LAA
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,4,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,25,4,LAA
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ, Andres",,9007,4,LAA
PARTIDO COLORADO,RN,,LAA,"SILVA GARCIA, Robert",,600,2,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,5,1,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,40,12,LAA
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA, Alvaro Luis",,404,9,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,2,LAA
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO, Jorge Osvaldo",,25058,13,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,20,4,LAA
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI, Maria Laura",,7171,1,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,101,2,LAA
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA, Guido",,7001,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,90,10,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1001,9,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,1358,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,3311,1,LAA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO, Ana Carolina",,8008,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,76,5,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,77,3,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,95,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,609,7,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,711,1,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,3098,2,LAA
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ, Yamandu Ramon",,8811,1,LAA
