PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,RV,,HAA,"MANINI STRATTA, Guido",,288,2,HAA
CABILDO ABIERTO,RV,,HAA,"MANINI STRATTA, Guido",,1800,1,HAA
CABILDO ABIERTO,RV,,HAA,"MANINI STRATTA, Guido",,2525,1,HAA
FRENTE AMPLIO,RV,,HAA,"COSSE GARRIDO, Ana Carolina",,90,1,HAA
FRENTE AMPLIO,RV,,HAA,"COSSE GARRIDO, Ana Carolina",,1001,1,HAA
FRENTE AMPLIO,RV,,HAA,"COSSE GARRIDO, Ana Carolina",,21121,1,HAA
FRENTE AMPLIO,RV,,HAA,"LIMA PROSERPIO, Andrés Pablo",,1813,1,HAA
FRENTE AMPLIO,RV,,HAA,"LIMA PROSERPIO, Andrés Pablo",,1933,1,HAA
FRENTE AMPLIO,RV,,HAA,"ORSI MARTINEZ, Yamandu Ramon",,76,2,HAA
FRENTE AMPLIO,RV,,HAA,"ORSI MARTINEZ, Yamandu Ramon",,77,1,HAA
FRENTE AMPLIO,RV,,HAA,"ORSI MARTINEZ, Yamandu Ramon",,95,1,HAA
FRENTE AMPLIO,RV,,HAA,"ORSI MARTINEZ, Yamandu Ramon",,609,3,HAA
FRENTE AMPLIO,RV,,HAA,"ORSI MARTINEZ, Yamandu Ramon",,711,2,HAA
PARTIDO COLORADO,RV,,HAA,"GURMENDEZ ARMAND UGON, Gabriel",,123,4,HAA
PARTIDO COLORADO,RV,,HAA,"OJEDA SPITZ, Andres",,1525,1,HAA
PARTIDO COLORADO,RV,,HAA,"OJEDA SPITZ, Andres",,2225,3,HAA
PARTIDO COLORADO,RV,,HAA,"SILVA GARCIA, Robert",,529,5,HAA
PARTIDO COLORADO,RV,,HAA,"VIERA DUARTE, Tabare",,2012,3,HAA
PARTIDO COLORADO,RV,,HAA,"VIERA DUARTE, Tabare",,3000,1,HAA
PARTIDO COLORADO,RV,,HAA,"VIERA DUARTE, Tabare",,42000,1,HAA
PARTIDO COLORADO,RV,,HAA,"VIERA DUARTE, Tabare",,200071,1,HAA
PARTIDO COLORADO,RV,,HAA,"VIERA DUARTE, Tabare",,252000,5,HAA
PARTIDO COLORADO,RV,,HAA,"VIERA DUARTE, Tabare",,20002000,17,HAA
PARTIDO IDENTIDAD SOBERANA,RV,,HAA,"SALLE LORIER, Gustavo Alberto",,18010,1,HAA
PARTIDO NACIONAL,RV,,HAA,"DELGADO CERETTA, Alvaro Luis",,5,4,HAA
PARTIDO NACIONAL,RV,,HAA,"DELGADO CERETTA, Alvaro Luis",,15,24,HAA
PARTIDO NACIONAL,RV,,HAA,"DELGADO CERETTA, Alvaro Luis",,4040,6,HAA
PARTIDO NACIONAL,RV,,HAA,"DELGADO CERETTA, Alvaro Luis",,15003,2,HAA
PARTIDO NACIONAL,RV,,HAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,6,HAA
PARTIDO NACIONAL,RV,,HAA,"IAFIGLIOLA PIMENTEL, Carlos Alberto",,252,2,HAA
PARTIDO NACIONAL,RV,,HAA,"RAFFO DEGEROMINI, Maria Laura",,54,3,HAA
PARTIDO NACIONAL,RV,,HAA,"RAFFO DEGEROMINI, Maria Laura",,81,1,HAA
PARTIDO NACIONAL,RV,,HAA,"RAFFO DEGEROMINI, Maria Laura",,3030,1,HAA
POR LOS CAMBIOS NECESARIOS (PCN),RV,,HAA,"FRANCHI SORIA, Guillermo Anibal",,2018,1,HAA
CABILDO ABIERTO,RV,,HAA,"MANINI STRATTA, Guido",,288,4,HAA
