PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,SA,,JAA,No aplica,,88,1,JAA
CABILDO ABIERTO,SA,,JAA,No aplica,,100,1,JAA
CABILDO ABIERTO,SA,,JAA,No aplica,,850,1,JAA
CABILDO ABIERTO,SA,,JAA,No aplica,,1480,2,JAA
CABILDO ABIERTO,SA,,JAA,No aplica,,1764,2,JAA
CABILDO ABIERTO,SA,,JAA,No aplica,,1811,1,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,70,2,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,133,18,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,190,1,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,195,3,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,228,1,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,247,4,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,628,1,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,770,4,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,828,1,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,989,1,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,1070,1,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,1567,3,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,1642,2,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,1916,1,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,1939,1,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,1949,4,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,2022,1,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,2306,1,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,3020,1,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,11005,7,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,11828,1,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,12316,2,JAA
FRENTE AMPLIO,SA,,JAA,No aplica,,319000,1,JAA
PARTIDO COALICIÓN REPUBLICANA,SA,,JAA,No aplica,,3004,1,JAA
PARTIDO COLORADO,SA,,JAA,No aplica,,18,1,JAA
PARTIDO COLORADO,SA,,JAA,No aplica,,85,1,JAA
PARTIDO COLORADO,SA,,JAA,No aplica,,101,1,JAA
PARTIDO COLORADO,SA,,JAA,No aplica,,225,1,JAA
PARTIDO COLORADO,SA,,JAA,No aplica,,424,1,JAA
PARTIDO COLORADO,SA,,JAA,No aplica,,521,1,JAA
PARTIDO COLORADO,SA,,JAA,No aplica,,601,1,JAA
PARTIDO COLORADO,SA,,JAA,No aplica,,1010,3,JAA
PARTIDO COLORADO,SA,,JAA,No aplica,,1111,7,JAA
PARTIDO COLORADO,SA,,JAA,No aplica,,1113,2,JAA
PARTIDO COLORADO,SA,,JAA,No aplica,,2020115,5,JAA
PARTIDO COLORADO,SA,,JAA,No aplica,,20012001,2,JAA
