PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,SA,,JAA,"MANINI STRATTA, Guido",,480,2,JAA
CABILDO ABIERTO,SA,,JAA,"MANINI STRATTA, Guido",,1020,1,JAA
CABILDO ABIERTO,SA,,JAA,"MANINI STRATTA, Guido",,1820,1,JAA
CABILDO ABIERTO,SA,,JAA,"MANINI STRATTA, Guido",,2108,1,JAA
CABILDO ABIERTO,SA,,JAA,"MANINI STRATTA, Guido",,4848,1,JAA
CABILDO ABIERTO,SA,,JAA,"MANINI STRATTA, Guido",,10820,1,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,90,1,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,567,3,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,800,2,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,1001,8,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,1303,1,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,1358,1,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,3311,1,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,4190,1,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,5005,1,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,99247,3,JAA
FRENTE AMPLIO,SA,,JAA,"LIMA PROSERPIO, Andrés Pablo",,933,11,JAA
FRENTE AMPLIO,SA,,JAA,"LIMA PROSERPIO, Andrés Pablo",,2316,3,JAA
FRENTE AMPLIO,SA,,JAA,"ORSI MARTINEZ, Yamandu Ramon",,52,1,JAA
FRENTE AMPLIO,SA,,JAA,"ORSI MARTINEZ, Yamandu Ramon",,76,1,JAA
FRENTE AMPLIO,SA,,JAA,"ORSI MARTINEZ, Yamandu Ramon",,95,4,JAA
FRENTE AMPLIO,SA,,JAA,"ORSI MARTINEZ, Yamandu Ramon",,609,12,JAA
FRENTE AMPLIO,SA,,JAA,"ORSI MARTINEZ, Yamandu Ramon",,711,1,JAA
FRENTE AMPLIO,SA,,JAA,"ORSI MARTINEZ, Yamandu Ramon",,949,3,JAA
FRENTE AMPLIO,SA,,JAA,"ORSI MARTINEZ, Yamandu Ramon",,1968,2,JAA
PARTIDO COALICIÓN REPUBLICANA,SA,,JAA,"OTORMIN GOMEZ, Juan Carlos",,3002,1,JAA
PARTIDO COLORADO,SA,,JAA,"GURMENDEZ ARMAND UGON, Gabriel",,202,1,JAA
PARTIDO COLORADO,SA,,JAA,"OJEDA SPITZ, Andres",,25,3,JAA
PARTIDO COLORADO,SA,,JAA,"SILVA GARCIA, Robert",,600,2,JAA
PARTIDO COLORADO,SA,,JAA,"SILVA GARCIA, Robert",,1600,7,JAA
PARTIDO COLORADO,SA,,JAA,"VIERA DUARTE, Tabare",,10,3,JAA
PARTIDO COLORADO,SA,,JAA,"VIERA DUARTE, Tabare",,24,1,JAA
PARTIDO COLORADO,SA,,JAA,"VIERA DUARTE, Tabare",,113,2,JAA
PARTIDO COLORADO,SA,,JAA,"VIERA DUARTE, Tabare",,2001,2,JAA
PARTIDO COLORADO,SA,,JAA,"VIERA DUARTE, Tabare",,20115,5,JAA
PARTIDO LIBERTARIO,SA,,JAA,"PETKOVICH MOLL, Nelson Ignacio",,1989,1,JAA
PARTIDO NACIONAL,SA,,JAA,"DELGADO CERETTA, Alvaro Luis",,5,2,JAA
PARTIDO NACIONAL,SA,,JAA,"DELGADO CERETTA, Alvaro Luis",,6,1,JAA
PARTIDO NACIONAL,SA,,JAA,"DELGADO CERETTA, Alvaro Luis",,12,10,JAA
PARTIDO NACIONAL,SA,,JAA,"DELGADO CERETTA, Alvaro Luis",,40,5,JAA
PARTIDO NACIONAL,SA,,JAA,"DELGADO CERETTA, Alvaro Luis",,50,12,JAA
PARTIDO NACIONAL,SA,,JAA,"DELGADO CERETTA, Alvaro Luis",,330,5,JAA
PARTIDO NACIONAL,SA,,JAA,"DELGADO CERETTA, Alvaro Luis",,400,18,JAA
PARTIDO NACIONAL,SA,,JAA,"DELGADO CERETTA, Alvaro Luis",,434,3,JAA
PARTIDO NACIONAL,SA,,JAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,6,JAA
PARTIDO NACIONAL,SA,,JAA,"RAFFO DEGEROMINI, Maria Laura",,71,7,JAA
PARTIDO NACIONAL,SA,,JAA,"RAFFO DEGEROMINI, Maria Laura",,2004,2,JAA
CABILDO ABIERTO,SA,,JAA,"MANINI STRATTA, Guido",,288,1,JAA
CABILDO ABIERTO,SA,,JAA,"MANINI STRATTA, Guido",,2108,3,JAA
CABILDO ABIERTO,SA,,JAA,"MANINI STRATTA, Guido",,4848,2,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,90,1,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,800,1,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,1001,2,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,1358,3,JAA
FRENTE AMPLIO,SA,,JAA,"COSSE GARRIDO, Ana Carolina",,1808,1,JAA
