PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
ASAMBLEA POPULAR,SJ,,OAA,"MARTÍNEZ MARUCA, Walter Gonzalo",,326,1,OAA
CABILDO ABIERTO,SJ,,OAA,"MANINI STRATTA, Guido",,811,1,OAA
CABILDO ABIERTO,SJ,,OAA,"MANINI STRATTA, Guido",,1088,2,OAA
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO, Ana Carolina",,90,4,OAA
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO, Ana Carolina",,817,1,OAA
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO, Ana Carolina",,1001,10,OAA
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO, Ana Carolina",,1358,1,OAA
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO, Ana Carolina",,99000,3,OAA
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ, Yamandu Ramon",,77,5,OAA
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ, Yamandu Ramon",,95,10,OAA
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ, Yamandu Ramon",,502,1,OAA
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ, Yamandu Ramon",,609,18,OAA
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ, Yamandu Ramon",,711,1,OAA
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ, Yamandu Ramon",,949,2,OAA
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ, Yamandu Ramon",,8811,1,OAA
PARTIDO COLORADO,SJ,,OAA,"GURMENDEZ ARMAND UGON, Gabriel",,915,3,OAA
PARTIDO COLORADO,SJ,,OAA,"OJEDA SPITZ, Andres",,25,7,OAA
PARTIDO COLORADO,SJ,,OAA,"SILVA GARCIA, Robert",,600,5,OAA
PARTIDO NACIONAL,SJ,,OAA,"DELGADO CERETTA, Alvaro Luis",,33,9,OAA
PARTIDO NACIONAL,SJ,,OAA,"DELGADO CERETTA, Alvaro Luis",,40,5,OAA
PARTIDO NACIONAL,SJ,,OAA,"DELGADO CERETTA, Alvaro Luis",,50,44,OAA
PARTIDO NACIONAL,SJ,,OAA,"DELGADO CERETTA, Alvaro Luis",,70,14,OAA
PARTIDO NACIONAL,SJ,,OAA,"DELGADO CERETTA, Alvaro Luis",,227,5,OAA
PARTIDO NACIONAL,SJ,,OAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,1,OAA
PARTIDO NACIONAL,SJ,,OAA,"RAFFO DEGEROMINI, Maria Laura",,94,1,OAA
PARTIDO NACIONAL,SJ,,OAA,"RAFFO DEGEROMINI, Maria Laura",,2004,8,OAA
CABILDO ABIERTO,SJ,,OAA,"MANINI STRATTA, Guido",,56,1,OAA
CABILDO ABIERTO,SJ,,OAA,"MANINI STRATTA, Guido",,811,2,OAA
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO, Ana Carolina",,90,3,OAA
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO, Ana Carolina",,567,1,OAA
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO, Ana Carolina",,800,1,OAA
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO, Ana Carolina",,817,1,OAA
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO, Ana Carolina",,1001,10,OAA
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO, Ana Carolina",,1358,2,OAA
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO, Ana Carolina",,99000,6,OAA
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ, Yamandu Ramon",,9,3,OAA
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ, Yamandu Ramon",,46,6,OAA
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ, Yamandu Ramon",,77,10,OAA
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ, Yamandu Ramon",,95,2,OAA
