PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
FRENTE AMPLIO,SO,,MAA,No aplica,,152,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,190,2,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,777,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,1609,3,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,11968,2,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,199000,3,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,1506,1,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,1515,1,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,1525,2,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,2929,4,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,6600,2,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,17600,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,2,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,3,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,522,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,903,8,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,9000,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,23250,1,MAA
CABILDO ABIERTO,SO,,MAA,No aplica,,456,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,190,2,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,195,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,777,3,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,199000,1,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,8,1,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,31,2,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,1515,1,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,1540,1,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,2929,4,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,6600,3,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,17600,1,MAA
PARTIDO INDEPENDIENTE,SO,,MAA,No aplica,,999,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,2,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,3,3,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,522,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,897,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,903,6,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,7171,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,9000,5,MAA
ASAMBLEA POPULAR,SO,,MAA,No aplica,,1326,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,119,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,152,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,190,5,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,311,2,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,1609,9,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,2001,3,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,199000,4,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,8,6,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,125,1,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,1506,2,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,1525,2,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,2929,3,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,6600,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,2,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,3,4,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,333,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,433,4,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,503,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,522,5,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,903,16,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,7171,6,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,9000,4,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,23250,3,MAA
CABILDO ABIERTO,SO,,MAA,No aplica,,456,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,152,2,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,190,10,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,195,3,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,311,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,777,5,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,1609,9,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,2001,2,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,199000,6,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,319000,1,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,8,3,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,31,1,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,1440,2,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,1525,8,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,1540,1,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,2929,4,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,6600,3,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,17600,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,2,3,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,3,3,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,333,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,433,8,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,522,7,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,903,20,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,913,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,7171,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,9000,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,23250,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,200200,3,MAA
CABILDO ABIERTO,SO,,MAA,No aplica,,456,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,119,2,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,152,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,190,4,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,195,3,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,311,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,777,8,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,1609,4,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,1624,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,2001,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,199000,9,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,8,1,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,31,2,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,1506,2,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,1515,1,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,1525,3,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,2929,4,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,6600,2,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,17600,2,MAA
PARTIDO INDEPENDIENTE,SO,,MAA,No aplica,,999,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,2,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,3,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,333,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,433,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,503,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,522,8,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,903,21,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,7171,3,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,9000,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,23250,6,MAA
ASAMBLEA POPULAR,SO,,MAA,No aplica,,1326,1,MAA
CABILDO ABIERTO,SO,,MAA,No aplica,,456,2,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,119,3,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,152,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,190,4,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,195,4,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,311,2,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,777,3,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,1567,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,1609,12,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,1624,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,1939,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,2001,6,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,199000,13,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,8,9,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,31,1,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,1525,3,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,2929,2,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,6600,6,MAA
PARTIDO COLORADO,SO,,MAA,No aplica,,17600,3,MAA
PARTIDO ECOLOGISTA RADICAL INTRANSIGENTE,SO,,MAA,No aplica,,1331,1,MAA
PARTIDO INDEPENDIENTE,SO,,MAA,No aplica,,999,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,2,5,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,3,3,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,333,6,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,433,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,503,3,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,522,12,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,897,1,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,903,21,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,913,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,7171,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,9000,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,23250,2,MAA
PARTIDO NACIONAL,SO,,MAA,No aplica,,200200,2,MAA
CABILDO ABIERTO,SO,,MAA,No aplica,,456,2,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,152,2,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,190,5,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,195,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,311,2,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,777,7,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,1609,13,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,1764,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,1939,5,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,2001,1,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,11303,4,MAA
FRENTE AMPLIO,SO,,MAA,No aplica,,11828,1,MAA
