PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
FRENTE AMPLIO,SO,,MAA,"COSSE GARRIDO, Ana Carolina",,90,2,MAA
FRENTE AMPLIO,SO,,MAA,"COSSE GARRIDO, Ana Carolina",,99000,2,MAA
FRENTE AMPLIO,SO,,MAA,"ORSI MARTINEZ, Yamandu Ramon",,52,1,MAA
FRENTE AMPLIO,SO,,MAA,"ORSI MARTINEZ, Yamandu Ramon",,77,1,MAA
FRENTE AMPLIO,SO,,MAA,"ORSI MARTINEZ, Yamandu Ramon",,95,1,MAA
FRENTE AMPLIO,SO,,MAA,"ORSI MARTINEZ, Yamandu Ramon",,609,3,MAA
FRENTE AMPLIO,SO,,MAA,"ORSI MARTINEZ, Yamandu Ramon",,1968,2,MAA
PARTIDO COLORADO,SO,,MAA,"GURMENDEZ ARMAND UGON, Gabriel",,615,1,MAA
PARTIDO COLORADO,SO,,MAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,4,MAA
PARTIDO COLORADO,SO,,MAA,"OJEDA SPITZ, Andres",,25,2,MAA
PARTIDO COLORADO,SO,,MAA,"OJEDA SPITZ, Andres",,1010,1,MAA
PARTIDO COLORADO,SO,,MAA,"OJEDA SPITZ, Andres",,9007,1,MAA
PARTIDO COLORADO,SO,,MAA,"SILVA GARCIA, Robert",,6,2,MAA
PARTIDO COLORADO,SO,,MAA,"SILVA GARCIA, Robert",,1600,1,MAA
PARTIDO NACIONAL,SO,,MAA,"DELGADO CERETTA, Alvaro Luis",,5,2,MAA
PARTIDO NACIONAL,SO,,MAA,"DELGADO CERETTA, Alvaro Luis",,22,4,MAA
PARTIDO NACIONAL,SO,,MAA,"DELGADO CERETTA, Alvaro Luis",,404,2,MAA
PARTIDO NACIONAL,SO,,MAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,1,MAA
PARTIDO NACIONAL,SO,,MAA,"RAFFO DEGEROMINI, Maria Laura",,1903,10,MAA
CABILDO ABIERTO,SO,,MAA,"MANINI STRATTA, Guido",,741,1,MAA
FRENTE AMPLIO,SO,,MAA,"COSSE GARRIDO, Ana Carolina",,90,2,MAA
FRENTE AMPLIO,SO,,MAA,"COSSE GARRIDO, Ana Carolina",,5005,1,MAA
FRENTE AMPLIO,SO,,MAA,"COSSE GARRIDO, Ana Carolina",,99000,1,MAA
FRENTE AMPLIO,SO,,MAA,"ORSI MARTINEZ, Yamandu Ramon",,77,3,MAA
