PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,TT,,FAA,No aplica,,56,5,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,190,4,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,195,3,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,311,2,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,777,1,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,1609,2,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,1624,3,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,2001,4,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,402121,1,FAA
PARTIDO COLORADO,TT,,FAA,No aplica,,123,4,FAA
PARTIDO COLORADO,TT,,FAA,No aplica,,33600,1,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,4,1,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,8,17,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,31,8,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,32,1,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,33,3,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,36,1,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,55,4,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,71,15,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,97,1,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,103,1,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,207,1,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,430,1,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,504,8,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,1400,1,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,2520,3,FAA
CABILDO ABIERTO,TT,,FAA,No aplica,,56,3,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,190,2,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,195,9,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,777,2,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,1609,2,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,1624,1,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,1789,2,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,3727,1,FAA
FRENTE AMPLIO,TT,,FAA,No aplica,,402121,7,FAA
PARTIDO COLORADO,TT,,FAA,No aplica,,123,5,FAA
PARTIDO COLORADO,TT,,FAA,No aplica,,14600,2,FAA
PARTIDO COLORADO,TT,,FAA,No aplica,,33600,3,FAA
PARTIDO INDEPENDIENTE,TT,,FAA,No aplica,,999,1,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,4,2,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,6,2,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,8,17,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,17,6,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,21,1,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,26,1,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,31,10,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,32,1,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,33,12,FAA
PARTIDO NACIONAL,TT,,FAA,No aplica,,36,1,FAA
