PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,TT,,FAA,"MANINI STRATTA, Guido",,456,5,FAA
FRENTE AMPLIO,TT,,FAA,"COSSE GARRIDO, Ana Carolina",,90,4,FAA
FRENTE AMPLIO,TT,,FAA,"COSSE GARRIDO, Ana Carolina",,1001,2,FAA
FRENTE AMPLIO,TT,,FAA,"COSSE GARRIDO, Ana Carolina",,1358,2,FAA
FRENTE AMPLIO,TT,,FAA,"COSSE GARRIDO, Ana Carolina",,3311,2,FAA
FRENTE AMPLIO,TT,,FAA,"ORSI MARTINEZ, Yamandu Ramon",,77,2,FAA
FRENTE AMPLIO,TT,,FAA,"ORSI MARTINEZ, Yamandu Ramon",,95,4,FAA
FRENTE AMPLIO,TT,,FAA,"ORSI MARTINEZ, Yamandu Ramon",,609,2,FAA
FRENTE AMPLIO,TT,,FAA,"ORSI MARTINEZ, Yamandu Ramon",,624,2,FAA
FRENTE AMPLIO,TT,,FAA,"ORSI MARTINEZ, Yamandu Ramon",,1828,1,FAA
PARTIDO COLORADO,TT,,FAA,"GURMENDEZ ARMAND UGON, Gabriel",,15,1,FAA
PARTIDO COLORADO,TT,,FAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,FAA
PARTIDO COLORADO,TT,,FAA,"OJEDA SPITZ, Andres",,25,3,FAA
PARTIDO COLORADO,TT,,FAA,"SILVA GARCIA, Robert",,600,1,FAA
PARTIDO COLORADO,TT,,FAA,"VIERA DUARTE, Tabare",,152000,1,FAA
PARTIDO IDENTIDAD SOBERANA,TT,,FAA,"SALLE LORIER, Gustavo Alberto",,18010,1,FAA
PARTIDO NACIONAL,TT,,FAA,"DELGADO CERETTA, Alvaro Luis",,3,1,FAA
PARTIDO NACIONAL,TT,,FAA,"DELGADO CERETTA, Alvaro Luis",,5,3,FAA
PARTIDO NACIONAL,TT,,FAA,"DELGADO CERETTA, Alvaro Luis",,11,6,FAA
PARTIDO NACIONAL,TT,,FAA,"DELGADO CERETTA, Alvaro Luis",,44,1,FAA
PARTIDO NACIONAL,TT,,FAA,"DELGADO CERETTA, Alvaro Luis",,88,14,FAA
PARTIDO NACIONAL,TT,,FAA,"DELGADO CERETTA, Alvaro Luis",,132,1,FAA
PARTIDO NACIONAL,TT,,FAA,"DELGADO CERETTA, Alvaro Luis",,597,1,FAA
PARTIDO NACIONAL,TT,,FAA,"DELGADO CERETTA, Alvaro Luis",,633,1,FAA
PARTIDO NACIONAL,TT,,FAA,"DELGADO CERETTA, Alvaro Luis",,3131,5,FAA
PARTIDO NACIONAL,TT,,FAA,"DELGADO CERETTA, Alvaro Luis",,4020,3,FAA
PARTIDO NACIONAL,TT,,FAA,"DELGADO CERETTA, Alvaro Luis",,4300,1,FAA
PARTIDO NACIONAL,TT,,FAA,"DELGADO CERETTA, Alvaro Luis",,7171,15,FAA
PARTIDO NACIONAL,TT,,FAA,"GANDINI ASTESIANO, Jorge Osvaldo",,47,1,FAA
PARTIDO NACIONAL,TT,,FAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,4,FAA
PARTIDO NACIONAL,TT,,FAA,"RAFFO DEGEROMINI, Maria Laura",,7,1,FAA
PARTIDO NACIONAL,TT,,FAA,"RAFFO DEGEROMINI, Maria Laura",,72,1,FAA
