PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,LA,,SAA,No aplica,,1125,2,SAA
FRENTE AMPLIO,LA,,SAA,No aplica,,190,4,SAA
FRENTE AMPLIO,LA,,SAA,No aplica,,195,2,SAA
FRENTE AMPLIO,LA,,SAA,No aplica,,273,2,SAA
FRENTE AMPLIO,LA,,SAA,No aplica,,777,1,SAA
FRENTE AMPLIO,LA,,SAA,No aplica,,1609,5,SAA
FRENTE AMPLIO,LA,,SAA,No aplica,,2001,1,SAA
PARTIDO COLORADO,LA,,SAA,No aplica,,9,6,SAA
PARTIDO COLORADO,LA,,SAA,No aplica,,10,5,SAA
PARTIDO COLORADO,LA,,SAA,No aplica,,2200,2,SAA
PARTIDO COLORADO,LA,,SAA,No aplica,,2929,1,SAA
PARTIDO INDEPENDIENTE,LA,,SAA,No aplica,,999,1,SAA
PARTIDO NACIONAL,LA,,SAA,No aplica,,11,1,SAA
PARTIDO NACIONAL,LA,,SAA,No aplica,,51,18,SAA
PARTIDO NACIONAL,LA,,SAA,No aplica,,58,31,SAA
PARTIDO NACIONAL,LA,,SAA,No aplica,,59,8,SAA
PARTIDO NACIONAL,LA,,SAA,No aplica,,79,4,SAA
PARTIDO NACIONAL,LA,,SAA,No aplica,,80,1,SAA
CABILDO ABIERTO,LA,,SAA,No aplica,,1125,1,SAA
CABILDO ABIERTO,LA,,SAA,No aplica,,1811,2,SAA
FRENTE AMPLIO,LA,,SAA,No aplica,,190,1,SAA
FRENTE AMPLIO,LA,,SAA,No aplica,,195,6,SAA
FRENTE AMPLIO,LA,,SAA,No aplica,,273,1,SAA
FRENTE AMPLIO,LA,,SAA,No aplica,,777,1,SAA
FRENTE AMPLIO,LA,,SAA,No aplica,,1609,5,SAA
FRENTE AMPLIO,LA,,SAA,No aplica,,1939,2,SAA
FRENTE AMPLIO,LA,,SAA,No aplica,,2001,2,SAA
FRENTE AMPLIO,LA,,SAA,No aplica,,319000,1,SAA
PARTIDO COLORADO,LA,,SAA,No aplica,,9,17,SAA
PARTIDO COLORADO,LA,,SAA,No aplica,,10,9,SAA
PARTIDO COLORADO,LA,,SAA,No aplica,,2200,1,SAA
PARTIDO COLORADO,LA,,SAA,No aplica,,2929,1,SAA
PARTIDO COLORADO,LA,,SAA,No aplica,,7009,2,SAA
PARTIDO INDEPENDIENTE,LA,,SAA,No aplica,,999,3,SAA
