PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,MA,,DAA,No aplica,,615,1,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,190,1,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,718,1,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,1567,1,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,1609,2,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,2031,4,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,11828,1,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,318319933,1,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,1001194699,2,DAA
PARTIDO COLORADO,MA,,DAA,No aplica,,87,1,DAA
PARTIDO COLORADO,MA,,DAA,No aplica,,100,3,DAA
PARTIDO COLORADO,MA,,DAA,No aplica,,225,2,DAA
PARTIDO COLORADO,MA,,DAA,No aplica,,1785,2,DAA
PARTIDO COLORADO,MA,,DAA,No aplica,,1933,2,DAA
PARTIDO COLORADO,MA,,DAA,No aplica,,2229,3,DAA
PARTIDO COLORADO,MA,,DAA,No aplica,,600000,2,DAA
PARTIDO ECOLOGISTA RADICAL INTRANSIGENTE,MA,,DAA,No aplica,,1331,1,DAA
PARTIDO INDEPENDIENTE,MA,,DAA,No aplica,,999,1,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,1,2,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,2,2,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,7,1,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,20,9,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,21,2,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,35,3,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,43,7,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,72,3,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,80,3,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,88,10,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,96,1,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,140,1,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,313,1,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,340,1,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,365,5,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,371,1,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,423,2,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,904,3,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,1032,2,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,1252,1,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,1717,2,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,2303,1,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,2323,4,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,2371,1,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,3032,1,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,3232,7,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,4044,1,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,5020,2,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,7123,2,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,23123,1,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,44000,1,DAA
CABILDO ABIERTO,MA,,DAA,No aplica,,51,1,DAA
CABILDO ABIERTO,MA,,DAA,No aplica,,615,1,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,190,4,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,806,1,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,1609,5,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,1789,2,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,1939,3,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,1949,4,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,2031,3,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,2039,1,DAA
FRENTE AMPLIO,MA,,DAA,No aplica,,318319933,2,DAA
PARTIDO COLORADO,MA,,DAA,No aplica,,87,3,DAA
PARTIDO COLORADO,MA,,DAA,No aplica,,100,2,DAA
PARTIDO COLORADO,MA,,DAA,No aplica,,117,2,DAA
PARTIDO COLORADO,MA,,DAA,No aplica,,225,5,DAA
PARTIDO COLORADO,MA,,DAA,No aplica,,1785,1,DAA
PARTIDO COLORADO,MA,,DAA,No aplica,,2229,1,DAA
PARTIDO COLORADO,MA,,DAA,No aplica,,600000,1,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,1,2,DAA
PARTIDO NACIONAL,MA,,DAA,No aplica,,2,3,DAA
