TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,AR,1,IAA,Partido Frente Amplio,66,1
HOJA_EN,AR,1,IAA,Partido Frente Amplio,77,2
HOJA_EN,AR,1,IAA,Partido Frente Amplio,800,1
HOJA_EN,AR,1,IAA,Partido Frente Amplio,890,1
HOJA_EN,AR,1,IAA,Partido Frente Amplio,1001,2
HOJA_EN,AR,1,IAA,Partido Frente Amplio,1312,2
HOJA_EN,AR,1,IAA,Partido Frente Amplio,90609,4
HOJA_EN,AR,1,IAA,Partido Frente Amplio,2121808,2
HOJA_EN,AR,1,IAA,Partido Frente Amplio,197133115005,1
HOJA_EN,AR,1,IAA,Partido Frente Amplio,997122010,5
HOJA_EN,AR,2,IAA,Partido Frente Amplio,66,1
HOJA_EN,AR,2,IAA,Partido Frente Amplio,69,1
HOJA_EN,AR,2,IAA,Partido Frente Amplio,77,1
HOJA_EN,AR,2,IAA,Partido Frente Amplio,871,1
HOJA_EN,AR,2,IAA,Partido Frente Amplio,890,3
HOJA_EN,AR,2,IAA,Partido Frente Amplio,1312,2
HOJA_EN,AR,2,IAA,Partido Frente Amplio,1618,4
HOJA_EN,AR,2,IAA,Partido Frente Amplio,5271,1
HOJA_EN,AR,2,IAA,Partido Frente Amplio,90609,15
HOJA_EN,AR,2,IAA,Partido Frente Amplio,2121808,2
HOJA_EN,AR,2,IAA,Partido Frente Amplio,197133115005,1
HOJA_EN,AR,2,IAA,Partido Frente Amplio,997122010,1
HOJA_EN,AR,3,IAA,Partido Frente Amplio,800,2
HOJA_EN,AR,3,IAA,Partido Frente Amplio,890,1
HOJA_EN,AR,3,IAA,Partido Frente Amplio,1001,5
HOJA_EN,AR,3,IAA,Partido Frente Amplio,1312,3
HOJA_EN,AR,3,IAA,Partido Frente Amplio,1618,3
HOJA_EN,AR,3,IAA,Partido Frente Amplio,90609,10
HOJA_EN,AR,3,IAA,Partido Frente Amplio,2121808,2
HOJA_EN,AR,3,IAA,Partido Frente Amplio,197133115005,1
HOJA_EN,AR,3,IAA,Partido Frente Amplio,997122010,8
HOJA_EN,AR,4,IAA,Partido Frente Amplio,66,1
HOJA_EN,AR,4,IAA,Partido Frente Amplio,77,5
HOJA_EN,AR,4,IAA,Partido Frente Amplio,800,6
HOJA_EN,AR,4,IAA,Partido Frente Amplio,871,3
HOJA_EN,AR,4,IAA,Partido Frente Amplio,890,2
HOJA_EN,AR,4,IAA,Partido Frente Amplio,982,0
HOJA_EN,AR,4,IAA,Partido Frente Amplio,1001,10
HOJA_EN,AR,4,IAA,Partido Frente Amplio,1312,1
HOJA_EN,AR,4,IAA,Partido Frente Amplio,5271,3
HOJA_EN,AR,4,IAA,Partido Frente Amplio,8008,1
HOJA_EN,AR,4,IAA,Partido Frente Amplio,90609,7
HOJA_EN,AR,4,IAA,Partido Frente Amplio,2121808,5
HOJA_EN,AR,4,IAA,Partido Frente Amplio,197133115005,3
HOJA_EN,AR,4,IAA,Partido Frente Amplio,997122010,5
HOJA_EN,AR,5,IAA,Partido Frente Amplio,66,1
HOJA_EN,AR,5,IAA,Partido Frente Amplio,77,5
HOJA_EN,AR,5,IAA,Partido Frente Amplio,711,1
HOJA_EN,AR,5,IAA,Partido Frente Amplio,800,3
HOJA_EN,AR,5,IAA,Partido Frente Amplio,871,1
HOJA_EN,AR,5,IAA,Partido Frente Amplio,1001,4
HOJA_EN,AR,5,IAA,Partido Frente Amplio,1968,1
HOJA_EN,AR,5,IAA,Partido Frente Amplio,5271,2
HOJA_EN,AR,5,IAA,Partido Frente Amplio,8008,1
HOJA_EN,AR,5,IAA,Partido Frente Amplio,90609,9
HOJA_EN,AR,5,IAA,Partido Frente Amplio,2121808,3
HOJA_EN,AR,5,IAA,Partido Frente Amplio,197133115005,3
HOJA_EN,AR,5,IAA,Partido Frente Amplio,997122010,6
HOJA_EN,AR,6,IAB,Partido Frente Amplio,77,3
HOJA_EN,AR,6,IAB,Partido Frente Amplio,871,1
HOJA_EN,AR,6,IAB,Partido Frente Amplio,890,1
HOJA_EN,AR,6,IAB,Partido Frente Amplio,90609,1
HOJA_EN,AR,6,IAB,Partido Frente Amplio,2121808,2
HOJA_EN,AR,7,IAB,Partido Frente Amplio,66,5
HOJA_EN,AR,7,IAB,Partido Frente Amplio,69,2
HOJA_EN,AR,7,IAB,Partido Frente Amplio,77,3
HOJA_EN,AR,7,IAB,Partido Frente Amplio,711,2
HOJA_EN,AR,7,IAB,Partido Frente Amplio,800,5
HOJA_EN,AR,7,IAB,Partido Frente Amplio,871,1
HOJA_EN,AR,7,IAB,Partido Frente Amplio,890,3
HOJA_EN,AR,7,IAB,Partido Frente Amplio,1001,2
HOJA_EN,AR,7,IAB,Partido Frente Amplio,90609,3
HOJA_EN,AR,7,IAB,Partido Frente Amplio,2121808,1
HOJA_EN,AR,7,IAB,Partido Frente Amplio,997122010,3
HOJA_EN,AR,8,IAC,Partido Frente Amplio,1001,2
HOJA_EN,AR,8,IAC,Partido Frente Amplio,1312,4
HOJA_EN,AR,8,IAC,Partido Frente Amplio,90609,8
HOJA_EN,AR,8,IAC,Partido Frente Amplio,2121808,12
HOJA_EN,AR,8,IAC,Partido Frente Amplio,197133115005,2
HOJA_EN,AR,8,IAC,Partido Frente Amplio,997122010,5
HOJA_EN,AR,9,IAC,Partido Frente Amplio,66,2
HOJA_EN,AR,9,IAC,Partido Frente Amplio,77,2
HOJA_EN,AR,9,IAC,Partido Frente Amplio,800,1
HOJA_EN,AR,9,IAC,Partido Frente Amplio,890,2
HOJA_EN,AR,9,IAC,Partido Frente Amplio,982,1
HOJA_EN,AR,9,IAC,Partido Frente Amplio,1001,7
HOJA_EN,AR,9,IAC,Partido Frente Amplio,1312,3
HOJA_EN,AR,9,IAC,Partido Frente Amplio,1968,1
HOJA_EN,AR,9,IAC,Partido Frente Amplio,90609,17
HOJA_EN,AR,9,IAC,Partido Frente Amplio,2121808,8
HOJA_EN,AR,9,IAC,Partido Frente Amplio,197133115005,1
HOJA_EN,AR,9,IAC,Partido Frente Amplio,997122010,11
HOJA_EN,AR,10,IAC,Partido Frente Amplio,77,3
HOJA_EN,AR,10,IAC,Partido Frente Amplio,711,3
HOJA_EN,AR,10,IAC,Partido Frente Amplio,871,2
HOJA_EN,AR,10,IAC,Partido Frente Amplio,890,3
HOJA_EN,AR,10,IAC,Partido Frente Amplio,982,1
HOJA_EN,AR,10,IAC,Partido Frente Amplio,1001,6
