TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,CA,1,CAA,Partido Frente Amplio,77,3
HOJA_EN,CA,1,CAA,Partido Frente Amplio,90,6
HOJA_EN,CA,1,CAA,Partido Frente Amplio,360,1
HOJA_EN,CA,1,CAA,Partido Frente Amplio,609,19
HOJA_EN,CA,1,CAA,Partido Frente Amplio,711,1
HOJA_EN,CA,1,CAA,Partido Frente Amplio,939,2
HOJA_EN,CA,1,CAA,Partido Frente Amplio,982,3
HOJA_EN,CA,1,CAA,Partido Frente Amplio,1916,5
HOJA_EN,CA,1,CAA,Partido Frente Amplio,2121,16
HOJA_EN,CA,1,CAA,Partido Frente Amplio,1312738,3
HOJA_EN,CA,2,CAA,Partido Frente Amplio,49,1
HOJA_EN,CA,2,CAA,Partido Frente Amplio,77,1
HOJA_EN,CA,2,CAA,Partido Frente Amplio,90,5
HOJA_EN,CA,2,CAA,Partido Frente Amplio,359,1
HOJA_EN,CA,2,CAA,Partido Frente Amplio,360,1
HOJA_EN,CA,2,CAA,Partido Frente Amplio,609,24
HOJA_EN,CA,2,CAA,Partido Frente Amplio,871,1
HOJA_EN,CA,2,CAA,Partido Frente Amplio,939,7
HOJA_EN,CA,2,CAA,Partido Frente Amplio,982,5
HOJA_EN,CA,2,CAA,Partido Frente Amplio,1618,2
HOJA_EN,CA,2,CAA,Partido Frente Amplio,1916,8
HOJA_EN,CA,2,CAA,Partido Frente Amplio,1968,1
HOJA_EN,CA,2,CAA,Partido Frente Amplio,2121,19
HOJA_EN,CA,2,CAA,Partido Frente Amplio,9393,1
HOJA_EN,CA,2,CAA,Partido Frente Amplio,80090,2
HOJA_EN,CA,2,CAA,Partido Frente Amplio,1312738,3
HOJA_EN,CA,3,CAA,Partido Frente Amplio,49,1
HOJA_EN,CA,3,CAA,Partido Frente Amplio,77,2
HOJA_EN,CA,3,CAA,Partido Frente Amplio,90,10
HOJA_EN,CA,3,CAA,Partido Frente Amplio,360,3
HOJA_EN,CA,3,CAA,Partido Frente Amplio,567,1
HOJA_EN,CA,3,CAA,Partido Frente Amplio,609,31
HOJA_EN,CA,3,CAA,Partido Frente Amplio,800,1
HOJA_EN,CA,3,CAA,Partido Frente Amplio,939,3
HOJA_EN,CA,3,CAA,Partido Frente Amplio,949,1
HOJA_EN,CA,3,CAA,Partido Frente Amplio,982,5
HOJA_EN,CA,3,CAA,Partido Frente Amplio,1916,15
HOJA_EN,CA,3,CAA,Partido Frente Amplio,2121,24
HOJA_EN,CA,3,CAA,Partido Frente Amplio,80090,1
HOJA_EN,CA,3,CAA,Partido Frente Amplio,99000,5
HOJA_EN,CA,3,CAA,Partido Frente Amplio,1312738,6
HOJA_EN,CA,4,CAA,Partido Frente Amplio,49,1
HOJA_EN,CA,4,CAA,Partido Frente Amplio,77,2
HOJA_EN,CA,4,CAA,Partido Frente Amplio,90,8
HOJA_EN,CA,4,CAA,Partido Frente Amplio,359,2
HOJA_EN,CA,4,CAA,Partido Frente Amplio,360,3
HOJA_EN,CA,4,CAA,Partido Frente Amplio,567,1
HOJA_EN,CA,4,CAA,Partido Frente Amplio,609,33
HOJA_EN,CA,4,CAA,Partido Frente Amplio,939,9
HOJA_EN,CA,4,CAA,Partido Frente Amplio,982,8
HOJA_EN,CA,4,CAA,Partido Frente Amplio,1618,1
HOJA_EN,CA,4,CAA,Partido Frente Amplio,1916,23
HOJA_EN,CA,4,CAA,Partido Frente Amplio,1968,1
HOJA_EN,CA,4,CAA,Partido Frente Amplio,2121,30
HOJA_EN,CA,4,CAA,Partido Frente Amplio,99000,4
HOJA_EN,CA,4,CAA,Partido Frente Amplio,1312738,6
HOJA_EN,CA,5,CAA,Partido Frente Amplio,77,4
HOJA_EN,CA,5,CAA,Partido Frente Amplio,90,15
HOJA_EN,CA,5,CAA,Partido Frente Amplio,359,2
HOJA_EN,CA,5,CAA,Partido Frente Amplio,360,3
HOJA_EN,CA,5,CAA,Partido Frente Amplio,609,30
HOJA_EN,CA,5,CAA,Partido Frente Amplio,800,3
HOJA_EN,CA,5,CAA,Partido Frente Amplio,871,2
HOJA_EN,CA,5,CAA,Partido Frente Amplio,939,13
HOJA_EN,CA,5,CAA,Partido Frente Amplio,949,2
HOJA_EN,CA,5,CAA,Partido Frente Amplio,982,6
HOJA_EN,CA,5,CAA,Partido Frente Amplio,1916,29
HOJA_EN,CA,5,CAA,Partido Frente Amplio,2121,21
HOJA_EN,CA,5,CAA,Partido Frente Amplio,6009,4
HOJA_EN,CA,5,CAA,Partido Frente Amplio,99000,4
HOJA_EN,CA,5,CAA,Partido Frente Amplio,1312738,3
HOJA_EN,CA,6,CAA,Partido Frente Amplio,49,3
HOJA_EN,CA,6,CAA,Partido Frente Amplio,77,3
HOJA_EN,CA,6,CAA,Partido Frente Amplio,90,3
HOJA_EN,CA,6,CAA,Partido Frente Amplio,359,1
HOJA_EN,CA,6,CAA,Partido Frente Amplio,360,7
HOJA_EN,CA,6,CAA,Partido Frente Amplio,567,1
HOJA_EN,CA,6,CAA,Partido Frente Amplio,609,34
HOJA_EN,CA,6,CAA,Partido Frente Amplio,711,1
HOJA_EN,CA,6,CAA,Partido Frente Amplio,939,9
HOJA_EN,CA,6,CAA,Partido Frente Amplio,949,3
HOJA_EN,CA,6,CAA,Partido Frente Amplio,982,7
HOJA_EN,CA,6,CAA,Partido Frente Amplio,1916,26
HOJA_EN,CA,6,CAA,Partido Frente Amplio,2121,18
HOJA_EN,CA,6,CAA,Partido Frente Amplio,6009,3
HOJA_EN,CA,6,CAA,Partido Frente Amplio,80090,6
HOJA_EN,CA,6,CAA,Partido Frente Amplio,99000,6
HOJA_EN,CA,6,CAA,Partido Frente Amplio,1312738,4
