TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,CL,1,GAA,Partido Frente Amplio,77,2
HOJA_EN,CL,1,GAA,Partido Frente Amplio,89,1
HOJA_EN,CL,1,GAA,Partido Frente Amplio,609,17
HOJA_EN,CL,1,GAA,Partido Frente Amplio,800,1
HOJA_EN,CL,1,GAA,Partido Frente Amplio,982,2
HOJA_EN,CL,1,GAA,Partido Frente Amplio,1888,4
HOJA_EN,CL,1,GAA,Partido Frente Amplio,3311,2
HOJA_EN,CL,1,GAA,Partido Frente Amplio,99000,1
HOJA_EN,CL,1,GAA,Partido Frente Amplio,901001,26
HOJA_EN,CL,1,GAA,Partido Frente Amplio,73813122121,31
HOJA_EN,CL,2,GAA,Partido Frente Amplio,77,2
HOJA_EN,CL,2,GAA,Partido Frente Amplio,89,6
HOJA_EN,CL,2,GAA,Partido Frente Amplio,567,1
HOJA_EN,CL,2,GAA,Partido Frente Amplio,609,18
HOJA_EN,CL,2,GAA,Partido Frente Amplio,711,1
HOJA_EN,CL,2,GAA,Partido Frente Amplio,800,2
HOJA_EN,CL,2,GAA,Partido Frente Amplio,949,2
HOJA_EN,CL,2,GAA,Partido Frente Amplio,982,2
HOJA_EN,CL,2,GAA,Partido Frente Amplio,1618,2
HOJA_EN,CL,2,GAA,Partido Frente Amplio,1888,3
HOJA_EN,CL,2,GAA,Partido Frente Amplio,3311,4
HOJA_EN,CL,2,GAA,Partido Frente Amplio,8008,1
HOJA_EN,CL,2,GAA,Partido Frente Amplio,99000,1
HOJA_EN,CL,2,GAA,Partido Frente Amplio,901001,29
HOJA_EN,CL,2,GAA,Partido Frente Amplio,73813122121,34
HOJA_EN,CL,3,GAA,Partido Frente Amplio,77,3
HOJA_EN,CL,3,GAA,Partido Frente Amplio,89,3
HOJA_EN,CL,3,GAA,Partido Frente Amplio,609,16
HOJA_EN,CL,3,GAA,Partido Frente Amplio,711,2
HOJA_EN,CL,3,GAA,Partido Frente Amplio,800,1
HOJA_EN,CL,3,GAA,Partido Frente Amplio,871,1
HOJA_EN,CL,3,GAA,Partido Frente Amplio,949,1
HOJA_EN,CL,3,GAA,Partido Frente Amplio,982,1
HOJA_EN,CL,3,GAA,Partido Frente Amplio,1888,6
HOJA_EN,CL,3,GAA,Partido Frente Amplio,1968,3
HOJA_EN,CL,3,GAA,Partido Frente Amplio,3311,2
HOJA_EN,CL,3,GAA,Partido Frente Amplio,8008,3
HOJA_EN,CL,3,GAA,Partido Frente Amplio,99000,4
HOJA_EN,CL,3,GAA,Partido Frente Amplio,901001,23
HOJA_EN,CL,3,GAA,Partido Frente Amplio,73813122121,33
HOJA_EN,CL,4,GAA,Partido Frente Amplio,77,1
HOJA_EN,CL,4,GAA,Partido Frente Amplio,89,1
HOJA_EN,CL,4,GAA,Partido Frente Amplio,205,1
HOJA_EN,CL,4,GAA,Partido Frente Amplio,567,2
HOJA_EN,CL,4,GAA,Partido Frente Amplio,609,26
HOJA_EN,CL,4,GAA,Partido Frente Amplio,711,2
HOJA_EN,CL,4,GAA,Partido Frente Amplio,871,4
HOJA_EN,CL,4,GAA,Partido Frente Amplio,949,2
HOJA_EN,CL,4,GAA,Partido Frente Amplio,1888,5
HOJA_EN,CL,4,GAA,Partido Frente Amplio,3311,5
HOJA_EN,CL,4,GAA,Partido Frente Amplio,99000,3
HOJA_EN,CL,4,GAA,Partido Frente Amplio,901001,17
HOJA_EN,CL,4,GAA,Partido Frente Amplio,73813122121,42
HOJA_EN,CL,5,GAA,Partido Frente Amplio,77,7
HOJA_EN,CL,5,GAA,Partido Frente Amplio,89,3
HOJA_EN,CL,5,GAA,Partido Frente Amplio,205,2
HOJA_EN,CL,5,GAA,Partido Frente Amplio,609,38
HOJA_EN,CL,5,GAA,Partido Frente Amplio,711,1
HOJA_EN,CL,5,GAA,Partido Frente Amplio,800,2
HOJA_EN,CL,5,GAA,Partido Frente Amplio,982,8
HOJA_EN,CL,5,GAA,Partido Frente Amplio,1888,3
HOJA_EN,CL,5,GAA,Partido Frente Amplio,3311,5
HOJA_EN,CL,5,GAA,Partido Frente Amplio,8008,1
HOJA_EN,CL,5,GAA,Partido Frente Amplio,99000,1
HOJA_EN,CL,5,GAA,Partido Frente Amplio,901001,37
HOJA_EN,CL,5,GAA,Partido Frente Amplio,73813122121,24
HOJA_EN,CL,6,GAA,Partido Frente Amplio,77,1
HOJA_EN,CL,6,GAA,Partido Frente Amplio,89,6
HOJA_EN,CL,6,GAA,Partido Frente Amplio,205,5
HOJA_EN,CL,6,GAA,Partido Frente Amplio,609,39
HOJA_EN,CL,6,GAA,Partido Frente Amplio,800,9
HOJA_EN,CL,6,GAA,Partido Frente Amplio,871,1
HOJA_EN,CL,6,GAA,Partido Frente Amplio,949,3
HOJA_EN,CL,6,GAA,Partido Frente Amplio,982,2
HOJA_EN,CL,6,GAA,Partido Frente Amplio,1888,2
HOJA_EN,CL,6,GAA,Partido Frente Amplio,3311,10
HOJA_EN,CL,6,GAA,Partido Frente Amplio,99000,2
HOJA_EN,CL,6,GAA,Partido Frente Amplio,901001,23
HOJA_EN,CL,6,GAA,Partido Frente Amplio,73813122121,35
HOJA_EN,CL,7,GAA,Partido Frente Amplio,77,2
HOJA_EN,CL,7,GAA,Partido Frente Amplio,89,2
HOJA_EN,CL,7,GAA,Partido Frente Amplio,205,2
HOJA_EN,CL,7,GAA,Partido Frente Amplio,567,2
HOJA_EN,CL,7,GAA,Partido Frente Amplio,609,25
HOJA_EN,CL,7,GAA,Partido Frente Amplio,711,2
HOJA_EN,CL,7,GAA,Partido Frente Amplio,800,3
HOJA_EN,CL,7,GAA,Partido Frente Amplio,871,1
HOJA_EN,CL,7,GAA,Partido Frente Amplio,949,3
HOJA_EN,CL,7,GAA,Partido Frente Amplio,1618,1
HOJA_EN,CL,7,GAA,Partido Frente Amplio,1888,7
HOJA_EN,CL,7,GAA,Partido Frente Amplio,1968,1
HOJA_EN,CL,7,GAA,Partido Frente Amplio,3311,7
HOJA_EN,CL,7,GAA,Partido Frente Amplio,99000,6
HOJA_EN,CL,7,GAA,Partido Frente Amplio,901001,22
HOJA_EN,CL,7,GAA,Partido Frente Amplio,73813122121,45
HOJA_EN,CL,8,GAB,Partido Frente Amplio,77,2
HOJA_EN,CL,8,GAB,Partido Frente Amplio,89,2
HOJA_EN,CL,8,GAB,Partido Frente Amplio,567,2
HOJA_EN,CL,8,GAB,Partido Frente Amplio,609,25
HOJA_EN,CL,8,GAB,Partido Frente Amplio,982,2
HOJA_EN,CL,8,GAB,Partido Frente Amplio,1888,2
HOJA_EN,CL,8,GAB,Partido Frente Amplio,3311,6
HOJA_EN,CL,8,GAB,Partido Frente Amplio,99000,2
HOJA_EN,CL,8,GAB,Partido Frente Amplio,901001,21
HOJA_EN,CL,8,GAB,Partido Frente Amplio,73813122121,32
HOJA_EN,CL,9,GAB,Partido Frente Amplio,77,4
HOJA_EN,CL,9,GAB,Partido Frente Amplio,89,7
HOJA_EN,CL,9,GAB,Partido Frente Amplio,205,1
HOJA_EN,CL,9,GAB,Partido Frente Amplio,609,9
HOJA_EN,CL,9,GAB,Partido Frente Amplio,800,1
HOJA_EN,CL,9,GAB,Partido Frente Amplio,949,1
HOJA_EN,CL,9,GAB,Partido Frente Amplio,982,1
HOJA_EN,CL,9,GAB,Partido Frente Amplio,1888,1
HOJA_EN,CL,9,GAB,Partido Frente Amplio,1968,2
HOJA_EN,CL,9,GAB,Partido Frente Amplio,3311,7
HOJA_EN,CL,9,GAB,Partido Frente Amplio,99000,3
HOJA_EN,CL,9,GAB,Partido Frente Amplio,901001,37
HOJA_EN,CL,9,GAB,Partido Frente Amplio,73813122121,27
HOJA_EN,CL,10,GAB,Partido Frente Amplio,77,4
HOJA_EN,CL,10,GAB,Partido Frente Amplio,567,1
HOJA_EN,CL,10,GAB,Partido Frente Amplio,609,14
