TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,DU,1,RAA,Partido Frente Amplio,9,2
HOJA_EN,DU,1,RAA,Partido Frente Amplio,77,3
HOJA_EN,DU,1,RAA,Partido Frente Amplio,609,23
HOJA_EN,DU,1,RAA,Partido Frente Amplio,711,1
HOJA_EN,DU,1,RAA,Partido Frente Amplio,800,1
HOJA_EN,DU,1,RAA,Partido Frente Amplio,890,2
HOJA_EN,DU,1,RAA,Partido Frente Amplio,949,1
HOJA_EN,DU,1,RAA,Partido Frente Amplio,982,1
HOJA_EN,DU,1,RAA,Partido Frente Amplio,1971,7
HOJA_EN,DU,1,RAA,Partido Frente Amplio,991813,4
HOJA_EN,DU,1,RAA,Partido Frente Amplio,73811916,4
HOJA_EN,DU,1,RAA,Partido Frente Amplio,9010012121,19
HOJA_EN,DU,2,RAA,Partido Frente Amplio,9,1
HOJA_EN,DU,2,RAA,Partido Frente Amplio,77,2
HOJA_EN,DU,2,RAA,Partido Frente Amplio,609,18
HOJA_EN,DU,2,RAA,Partido Frente Amplio,711,1
HOJA_EN,DU,2,RAA,Partido Frente Amplio,800,6
HOJA_EN,DU,2,RAA,Partido Frente Amplio,890,6
HOJA_EN,DU,2,RAA,Partido Frente Amplio,949,2
HOJA_EN,DU,2,RAA,Partido Frente Amplio,982,2
HOJA_EN,DU,2,RAA,Partido Frente Amplio,1618,2
HOJA_EN,DU,2,RAA,Partido Frente Amplio,1971,7
HOJA_EN,DU,2,RAA,Partido Frente Amplio,991813,5
HOJA_EN,DU,2,RAA,Partido Frente Amplio,73811916,3
HOJA_EN,DU,2,RAA,Partido Frente Amplio,9010012121,12
HOJA_EN,DU,3,RAA,Partido Frente Amplio,9,3
HOJA_EN,DU,3,RAA,Partido Frente Amplio,77,2
HOJA_EN,DU,3,RAA,Partido Frente Amplio,609,33
HOJA_EN,DU,3,RAA,Partido Frente Amplio,711,1
HOJA_EN,DU,3,RAA,Partido Frente Amplio,800,1
HOJA_EN,DU,3,RAA,Partido Frente Amplio,890,6
HOJA_EN,DU,3,RAA,Partido Frente Amplio,949,1
HOJA_EN,DU,3,RAA,Partido Frente Amplio,982,6
HOJA_EN,DU,3,RAA,Partido Frente Amplio,1618,2
HOJA_EN,DU,3,RAA,Partido Frente Amplio,1968,1
HOJA_EN,DU,3,RAA,Partido Frente Amplio,1971,11
HOJA_EN,DU,3,RAA,Partido Frente Amplio,991813,5
HOJA_EN,DU,3,RAA,Partido Frente Amplio,73811916,2
HOJA_EN,DU,3,RAA,Partido Frente Amplio,9010012121,26
HOJA_EN,DU,4,RAA,Partido Frente Amplio,9,3
HOJA_EN,DU,4,RAA,Partido Frente Amplio,77,3
HOJA_EN,DU,4,RAA,Partido Frente Amplio,205,1
HOJA_EN,DU,4,RAA,Partido Frente Amplio,609,23
HOJA_EN,DU,4,RAA,Partido Frente Amplio,711,3
HOJA_EN,DU,4,RAA,Partido Frente Amplio,800,1
HOJA_EN,DU,4,RAA,Partido Frente Amplio,890,6
HOJA_EN,DU,4,RAA,Partido Frente Amplio,949,4
HOJA_EN,DU,4,RAA,Partido Frente Amplio,982,2
HOJA_EN,DU,4,RAA,Partido Frente Amplio,1968,1
HOJA_EN,DU,4,RAA,Partido Frente Amplio,1971,7
HOJA_EN,DU,4,RAA,Partido Frente Amplio,991813,13
HOJA_EN,DU,4,RAA,Partido Frente Amplio,73811916,8
HOJA_EN,DU,4,RAA,Partido Frente Amplio,9010012121,20
HOJA_EN,DU,5,RAA,Partido Frente Amplio,77,1
HOJA_EN,DU,5,RAA,Partido Frente Amplio,205,1
HOJA_EN,DU,5,RAA,Partido Frente Amplio,609,41
