TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,FS,1,PAA,Partido Frente Amplio,49,1
HOJA_EN,FS,1,PAA,Partido Frente Amplio,567,1
HOJA_EN,FS,1,PAA,Partido Frente Amplio,711,7
HOJA_EN,FS,1,PAA,Partido Frente Amplio,890,1
HOJA_EN,FS,1,PAA,Partido Frente Amplio,971,6
HOJA_EN,FS,1,PAA,Partido Frente Amplio,982,6
HOJA_EN,FS,1,PAA,Partido Frente Amplio,1810,7
HOJA_EN,FS,1,PAA,Partido Frente Amplio,90609,9
HOJA_EN,FS,1,PAA,Partido Frente Amplio,13037373,2
HOJA_EN,FS,1,PAA,Partido Frente Amplio,212137764,5
HOJA_EN,FS,2,PAA,Partido Frente Amplio,49,1
HOJA_EN,FS,2,PAA,Partido Frente Amplio,711,5
HOJA_EN,FS,2,PAA,Partido Frente Amplio,800,1
HOJA_EN,FS,2,PAA,Partido Frente Amplio,971,2
HOJA_EN,FS,2,PAA,Partido Frente Amplio,982,3
HOJA_EN,FS,2,PAA,Partido Frente Amplio,1810,16
HOJA_EN,FS,2,PAA,Partido Frente Amplio,90609,16
HOJA_EN,FS,2,PAA,Partido Frente Amplio,33115005,1
HOJA_EN,FS,2,PAA,Partido Frente Amplio,212137764,14
HOJA_EN,FS,3,PAA,Partido Frente Amplio,49,1
HOJA_EN,FS,3,PAA,Partido Frente Amplio,205,1
HOJA_EN,FS,3,PAA,Partido Frente Amplio,711,3
HOJA_EN,FS,3,PAA,Partido Frente Amplio,971,10
HOJA_EN,FS,3,PAA,Partido Frente Amplio,982,4
HOJA_EN,FS,3,PAA,Partido Frente Amplio,1810,12
HOJA_EN,FS,3,PAA,Partido Frente Amplio,1968,1
HOJA_EN,FS,3,PAA,Partido Frente Amplio,90609,16
HOJA_EN,FS,3,PAA,Partido Frente Amplio,99000,2
HOJA_EN,FS,3,PAA,Partido Frente Amplio,13037373,5
HOJA_EN,FS,3,PAA,Partido Frente Amplio,33115005,2
HOJA_EN,FS,3,PAA,Partido Frente Amplio,212137764,14
HOJA_EN,FS,4,PAA,Partido Frente Amplio,49,1
HOJA_EN,FS,4,PAA,Partido Frente Amplio,711,5
HOJA_EN,FS,4,PAA,Partido Frente Amplio,800,2
HOJA_EN,FS,4,PAA,Partido Frente Amplio,971,13
HOJA_EN,FS,4,PAA,Partido Frente Amplio,982,3
HOJA_EN,FS,4,PAA,Partido Frente Amplio,1810,23
HOJA_EN,FS,4,PAA,Partido Frente Amplio,1968,2
HOJA_EN,FS,4,PAA,Partido Frente Amplio,8008,1
HOJA_EN,FS,4,PAA,Partido Frente Amplio,90609,12
HOJA_EN,FS,4,PAA,Partido Frente Amplio,13037373,2
HOJA_EN,FS,4,PAA,Partido Frente Amplio,33115005,1
HOJA_EN,FS,4,PAA,Partido Frente Amplio,212137764,7
HOJA_EN,FS,5,PAA,Partido Frente Amplio,49,1
HOJA_EN,FS,5,PAA,Partido Frente Amplio,205,1
HOJA_EN,FS,5,PAA,Partido Frente Amplio,567,1
HOJA_EN,FS,5,PAA,Partido Frente Amplio,711,2
HOJA_EN,FS,5,PAA,Partido Frente Amplio,800,1
HOJA_EN,FS,5,PAA,Partido Frente Amplio,890,1
HOJA_EN,FS,5,PAA,Partido Frente Amplio,971,7
HOJA_EN,FS,5,PAA,Partido Frente Amplio,982,2
HOJA_EN,FS,5,PAA,Partido Frente Amplio,1810,24
HOJA_EN,FS,5,PAA,Partido Frente Amplio,1968,1
HOJA_EN,FS,5,PAA,Partido Frente Amplio,90609,25
HOJA_EN,FS,5,PAA,Partido Frente Amplio,99000,1
HOJA_EN,FS,5,PAA,Partido Frente Amplio,13037373,4
HOJA_EN,FS,5,PAA,Partido Frente Amplio,33115005,2
HOJA_EN,FS,5,PAA,Partido Frente Amplio,212137764,5
HOJA_EN,FS,6,PAA,Partido Frente Amplio,205,2
HOJA_EN,FS,6,PAA,Partido Frente Amplio,567,2
HOJA_EN,FS,6,PAA,Partido Frente Amplio,711,2
HOJA_EN,FS,6,PAA,Partido Frente Amplio,800,2
HOJA_EN,FS,6,PAA,Partido Frente Amplio,890,5
HOJA_EN,FS,6,PAA,Partido Frente Amplio,971,7
HOJA_EN,FS,6,PAA,Partido Frente Amplio,982,4
HOJA_EN,FS,6,PAA,Partido Frente Amplio,1810,24
HOJA_EN,FS,6,PAA,Partido Frente Amplio,90609,19
HOJA_EN,FS,6,PAA,Partido Frente Amplio,13037373,11
HOJA_EN,FS,6,PAA,Partido Frente Amplio,33115005,4
HOJA_EN,FS,6,PAA,Partido Frente Amplio,212137764,14
HOJA_EN,FS,7,PAA,Partido Frente Amplio,49,1
HOJA_EN,FS,7,PAA,Partido Frente Amplio,205,1
HOJA_EN,FS,7,PAA,Partido Frente Amplio,567,1
HOJA_EN,FS,7,PAA,Partido Frente Amplio,711,8
HOJA_EN,FS,7,PAA,Partido Frente Amplio,871,1
HOJA_EN,FS,7,PAA,Partido Frente Amplio,890,3
HOJA_EN,FS,7,PAA,Partido Frente Amplio,971,12
HOJA_EN,FS,7,PAA,Partido Frente Amplio,982,7
HOJA_EN,FS,7,PAA,Partido Frente Amplio,1618,1
HOJA_EN,FS,7,PAA,Partido Frente Amplio,1810,16
HOJA_EN,FS,7,PAA,Partido Frente Amplio,1968,2
HOJA_EN,FS,7,PAA,Partido Frente Amplio,90609,18
HOJA_EN,FS,7,PAA,Partido Frente Amplio,99000,2
HOJA_EN,FS,7,PAA,Partido Frente Amplio,13037373,3
HOJA_EN,FS,7,PAA,Partido Frente Amplio,212137764,24
HOJA_EN,FS,8,PAA,Partido Frente Amplio,49,3
HOJA_EN,FS,8,PAA,Partido Frente Amplio,205,2
HOJA_EN,FS,8,PAA,Partido Frente Amplio,567,1
HOJA_EN,FS,8,PAA,Partido Frente Amplio,711,4
HOJA_EN,FS,8,PAA,Partido Frente Amplio,800,1
HOJA_EN,FS,8,PAA,Partido Frente Amplio,890,5
HOJA_EN,FS,8,PAA,Partido Frente Amplio,971,6
HOJA_EN,FS,8,PAA,Partido Frente Amplio,982,2
HOJA_EN,FS,8,PAA,Partido Frente Amplio,1810,22
HOJA_EN,FS,8,PAA,Partido Frente Amplio,90609,17
HOJA_EN,FS,8,PAA,Partido Frente Amplio,99000,2
HOJA_EN,FS,8,PAA,Partido Frente Amplio,13037373,7
HOJA_EN,FS,8,PAA,Partido Frente Amplio,212137764,22
HOJA_EN,FS,9,PAA,Partido Frente Amplio,49,2
HOJA_EN,FS,9,PAA,Partido Frente Amplio,711,4
HOJA_EN,FS,9,PAA,Partido Frente Amplio,800,1
HOJA_EN,FS,9,PAA,Partido Frente Amplio,890,1
HOJA_EN,FS,9,PAA,Partido Frente Amplio,971,5
HOJA_EN,FS,9,PAA,Partido Frente Amplio,982,6
HOJA_EN,FS,9,PAA,Partido Frente Amplio,1810,24
HOJA_EN,FS,9,PAA,Partido Frente Amplio,90609,18
HOJA_EN,FS,9,PAA,Partido Frente Amplio,13037373,3
HOJA_EN,FS,9,PAA,Partido Frente Amplio,33115005,3
HOJA_EN,FS,9,PAA,Partido Frente Amplio,212137764,12
HOJA_EN,FS,10,PAA,Partido Frente Amplio,49,4
HOJA_EN,FS,10,PAA,Partido Frente Amplio,205,2
HOJA_EN,FS,10,PAA,Partido Frente Amplio,711,6
HOJA_EN,FS,10,PAA,Partido Frente Amplio,800,2
HOJA_EN,FS,10,PAA,Partido Frente Amplio,890,4
HOJA_EN,FS,10,PAA,Partido Frente Amplio,971,6
HOJA_EN,FS,10,PAA,Partido Frente Amplio,982,3
HOJA_EN,FS,10,PAA,Partido Frente Amplio,1810,33
HOJA_EN,FS,10,PAA,Partido Frente Amplio,90609,25
HOJA_EN,FS,10,PAA,Partido Frente Amplio,13037373,5
HOJA_EN,FS,10,PAA,Partido Frente Amplio,33115005,1
HOJA_EN,FS,10,PAA,Partido Frente Amplio,212137764,12
HOJA_EN,FS,11,PAA,Partido Frente Amplio,205,2
HOJA_EN,FS,11,PAA,Partido Frente Amplio,711,3
HOJA_EN,FS,11,PAA,Partido Frente Amplio,800,2
HOJA_EN,FS,11,PAA,Partido Frente Amplio,890,2
HOJA_EN,FS,11,PAA,Partido Frente Amplio,971,9
HOJA_EN,FS,11,PAA,Partido Frente Amplio,982,5
