TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,FD,1,QAA,Partido Frente Amplio,9,2
HOJA_EN,FD,1,QAA,Partido Frente Amplio,77,5
HOJA_EN,FD,1,QAA,Partido Frente Amplio,103,10
HOJA_EN,FD,1,QAA,Partido Frente Amplio,609,6
HOJA_EN,FD,1,QAA,Partido Frente Amplio,711,1
HOJA_EN,FD,1,QAA,Partido Frente Amplio,738,5
HOJA_EN,FD,1,QAA,Partido Frente Amplio,982,3
HOJA_EN,FD,1,QAA,Partido Frente Amplio,2121,2
HOJA_EN,FD,1,QAA,Partido Frente Amplio,99424,11
HOJA_EN,FD,1,QAA,Partido Frente Amplio,901001,10
HOJA_EN,FD,2,QAA,Partido Frente Amplio,9,5
HOJA_EN,FD,2,QAA,Partido Frente Amplio,77,8
HOJA_EN,FD,2,QAA,Partido Frente Amplio,103,13
HOJA_EN,FD,2,QAA,Partido Frente Amplio,609,6
HOJA_EN,FD,2,QAA,Partido Frente Amplio,738,10
HOJA_EN,FD,2,QAA,Partido Frente Amplio,800,3
HOJA_EN,FD,2,QAA,Partido Frente Amplio,982,1
HOJA_EN,FD,2,QAA,Partido Frente Amplio,2121,9
HOJA_EN,FD,2,QAA,Partido Frente Amplio,99424,12
HOJA_EN,FD,2,QAA,Partido Frente Amplio,901001,10
HOJA_EN,FD,3,QAA,Partido Frente Amplio,9,3
HOJA_EN,FD,3,QAA,Partido Frente Amplio,77,2
HOJA_EN,FD,3,QAA,Partido Frente Amplio,103,26
HOJA_EN,FD,3,QAA,Partido Frente Amplio,609,15
HOJA_EN,FD,3,QAA,Partido Frente Amplio,738,7
HOJA_EN,FD,3,QAA,Partido Frente Amplio,890,5
HOJA_EN,FD,3,QAA,Partido Frente Amplio,982,4
HOJA_EN,FD,3,QAA,Partido Frente Amplio,2121,4
HOJA_EN,FD,3,QAA,Partido Frente Amplio,99424,14
HOJA_EN,FD,3,QAA,Partido Frente Amplio,901001,10
HOJA_EN,FD,4,QAA,Partido Frente Amplio,9,2
HOJA_EN,FD,4,QAA,Partido Frente Amplio,77,12
HOJA_EN,FD,4,QAA,Partido Frente Amplio,103,18
HOJA_EN,FD,4,QAA,Partido Frente Amplio,609,20
HOJA_EN,FD,4,QAA,Partido Frente Amplio,738,8
HOJA_EN,FD,4,QAA,Partido Frente Amplio,800,1
HOJA_EN,FD,4,QAA,Partido Frente Amplio,890,1
HOJA_EN,FD,4,QAA,Partido Frente Amplio,982,4
HOJA_EN,FD,4,QAA,Partido Frente Amplio,2121,6
HOJA_EN,FD,4,QAA,Partido Frente Amplio,99424,11
HOJA_EN,FD,4,QAA,Partido Frente Amplio,901001,13
HOJA_EN,FD,5,QAA,Partido Frente Amplio,9,4
HOJA_EN,FD,5,QAA,Partido Frente Amplio,77,7
HOJA_EN,FD,5,QAA,Partido Frente Amplio,103,27
HOJA_EN,FD,5,QAA,Partido Frente Amplio,609,16
HOJA_EN,FD,5,QAA,Partido Frente Amplio,738,9
HOJA_EN,FD,5,QAA,Partido Frente Amplio,982,3
HOJA_EN,FD,5,QAA,Partido Frente Amplio,2121,2
HOJA_EN,FD,5,QAA,Partido Frente Amplio,3311,1
HOJA_EN,FD,5,QAA,Partido Frente Amplio,99424,20
HOJA_EN,FD,5,QAA,Partido Frente Amplio,901001,18
HOJA_EN,FD,6,QAA,Partido Frente Amplio,9,4
HOJA_EN,FD,6,QAA,Partido Frente Amplio,77,12
HOJA_EN,FD,6,QAA,Partido Frente Amplio,103,29
HOJA_EN,FD,6,QAA,Partido Frente Amplio,609,25
HOJA_EN,FD,6,QAA,Partido Frente Amplio,738,12
HOJA_EN,FD,6,QAA,Partido Frente Amplio,2121,4
HOJA_EN,FD,6,QAA,Partido Frente Amplio,3311,1
HOJA_EN,FD,6,QAA,Partido Frente Amplio,99424,17
HOJA_EN,FD,6,QAA,Partido Frente Amplio,901001,16
HOJA_EN,FD,7,QAA,Partido Frente Amplio,9,2
HOJA_EN,FD,7,QAA,Partido Frente Amplio,77,12
HOJA_EN,FD,7,QAA,Partido Frente Amplio,103,28
HOJA_EN,FD,7,QAA,Partido Frente Amplio,567,1
HOJA_EN,FD,7,QAA,Partido Frente Amplio,609,23
HOJA_EN,FD,7,QAA,Partido Frente Amplio,738,6
HOJA_EN,FD,7,QAA,Partido Frente Amplio,800,1
