TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,LA,1,SAA,Partido Frente Amplio,49,1
HOJA_EN,LA,1,SAA,Partido Frente Amplio,77,1
HOJA_EN,LA,1,SAA,Partido Frente Amplio,711,1
HOJA_EN,LA,1,SAA,Partido Frente Amplio,982,2
HOJA_EN,LA,1,SAA,Partido Frente Amplio,1001,6
HOJA_EN,LA,1,SAA,Partido Frente Amplio,1890,2
HOJA_EN,LA,1,SAA,Partido Frente Amplio,3040,1
HOJA_EN,LA,1,SAA,Partido Frente Amplio,3592,1
HOJA_EN,LA,1,SAA,Partido Frente Amplio,5271,1
HOJA_EN,LA,1,SAA,Partido Frente Amplio,90609,18
HOJA_EN,LA,1,SAA,Partido Frente Amplio,7381815,2
HOJA_EN,LA,1,SAA,Partido Frente Amplio,21212005,15
HOJA_EN,LA,2,SAA,Partido Frente Amplio,711,1
HOJA_EN,LA,2,SAA,Partido Frente Amplio,800,1
HOJA_EN,LA,2,SAA,Partido Frente Amplio,982,5
HOJA_EN,LA,2,SAA,Partido Frente Amplio,1001,8
HOJA_EN,LA,2,SAA,Partido Frente Amplio,1618,1
HOJA_EN,LA,2,SAA,Partido Frente Amplio,1890,3
HOJA_EN,LA,2,SAA,Partido Frente Amplio,3040,2
HOJA_EN,LA,2,SAA,Partido Frente Amplio,8008,1
HOJA_EN,LA,2,SAA,Partido Frente Amplio,90609,13
HOJA_EN,LA,2,SAA,Partido Frente Amplio,7381815,5
HOJA_EN,LA,2,SAA,Partido Frente Amplio,21212005,15
HOJA_EN,LA,3,SAA,Partido Frente Amplio,49,2
HOJA_EN,LA,3,SAA,Partido Frente Amplio,77,2
HOJA_EN,LA,3,SAA,Partido Frente Amplio,800,2
HOJA_EN,LA,3,SAA,Partido Frente Amplio,982,6
HOJA_EN,LA,3,SAA,Partido Frente Amplio,1890,6
HOJA_EN,LA,3,SAA,Partido Frente Amplio,3592,2
HOJA_EN,LA,3,SAA,Partido Frente Amplio,90609,16
HOJA_EN,LA,3,SAA,Partido Frente Amplio,7381815,6
HOJA_EN,LA,3,SAA,Partido Frente Amplio,21212005,18
HOJA_EN,LA,4,SAA,Partido Frente Amplio,77,1
HOJA_EN,LA,4,SAA,Partido Frente Amplio,800,1
HOJA_EN,LA,4,SAA,Partido Frente Amplio,982,5
HOJA_EN,LA,4,SAA,Partido Frente Amplio,1001,5
HOJA_EN,LA,4,SAA,Partido Frente Amplio,1890,2
HOJA_EN,LA,4,SAA,Partido Frente Amplio,3040,1
HOJA_EN,LA,4,SAA,Partido Frente Amplio,3592,1
HOJA_EN,LA,4,SAA,Partido Frente Amplio,90609,19
HOJA_EN,LA,4,SAA,Partido Frente Amplio,7381815,5
HOJA_EN,LA,4,SAA,Partido Frente Amplio,21212005,18
HOJA_EN,LA,5,SAA,Partido Frente Amplio,77,1
HOJA_EN,LA,5,SAA,Partido Frente Amplio,711,1
HOJA_EN,LA,5,SAA,Partido Frente Amplio,800,3
HOJA_EN,LA,5,SAA,Partido Frente Amplio,982,5
HOJA_EN,LA,5,SAA,Partido Frente Amplio,1001,7
HOJA_EN,LA,5,SAA,Partido Frente Amplio,1618,1
HOJA_EN,LA,5,SAA,Partido Frente Amplio,1890,1
HOJA_EN,LA,5,SAA,Partido Frente Amplio,90609,26
HOJA_EN,LA,5,SAA,Partido Frente Amplio,7381815,4
HOJA_EN,LA,5,SAA,Partido Frente Amplio,21212005,29
HOJA_EN,LA,6,SAA,Partido Frente Amplio,49,3
HOJA_EN,LA,6,SAA,Partido Frente Amplio,77,1
HOJA_EN,LA,6,SAA,Partido Frente Amplio,711,6
HOJA_EN,LA,6,SAA,Partido Frente Amplio,800,1
HOJA_EN,LA,6,SAA,Partido Frente Amplio,982,10
HOJA_EN,LA,6,SAA,Partido Frente Amplio,1001,9
HOJA_EN,LA,6,SAA,Partido Frente Amplio,1890,1
HOJA_EN,LA,6,SAA,Partido Frente Amplio,1968,1
HOJA_EN,LA,6,SAA,Partido Frente Amplio,3592,1
HOJA_EN,LA,6,SAA,Partido Frente Amplio,90609,23
HOJA_EN,LA,6,SAA,Partido Frente Amplio,7381815,4
HOJA_EN,LA,6,SAA,Partido Frente Amplio,21212005,15
HOJA_EN,LA,7,SAA,Partido Frente Amplio,205,2
HOJA_EN,LA,7,SAA,Partido Frente Amplio,567,1
HOJA_EN,LA,7,SAA,Partido Frente Amplio,711,2
HOJA_EN,LA,7,SAA,Partido Frente Amplio,800,1
HOJA_EN,LA,7,SAA,Partido Frente Amplio,982,7
HOJA_EN,LA,7,SAA,Partido Frente Amplio,1001,8
HOJA_EN,LA,7,SAA,Partido Frente Amplio,3592,1
HOJA_EN,LA,7,SAA,Partido Frente Amplio,90609,15
HOJA_EN,LA,7,SAA,Partido Frente Amplio,7381815,9
HOJA_EN,LA,7,SAA,Partido Frente Amplio,21212005,23
HOJA_EN,LA,8,SAA,Partido Frente Amplio,49,1
HOJA_EN,LA,8,SAA,Partido Frente Amplio,77,1
HOJA_EN,LA,8,SAA,Partido Frente Amplio,711,1
HOJA_EN,LA,8,SAA,Partido Frente Amplio,800,1
HOJA_EN,LA,8,SAA,Partido Frente Amplio,982,4
