TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,MA,1,DAA,Partido Frente Amplio,90,1
HOJA_EN,MA,1,DAA,Partido Frente Amplio,800,1
HOJA_EN,MA,1,DAA,Partido Frente Amplio,982,1
HOJA_EN,MA,1,DAA,Partido Frente Amplio,1813,8
HOJA_EN,MA,1,DAA,Partido Frente Amplio,2603,1
HOJA_EN,MA,1,DAA,Partido Frente Amplio,3592,1
HOJA_EN,MA,1,DAA,Partido Frente Amplio,99000,3
HOJA_EN,MA,1,DAA,Partido Frente Amplio,7381305,9
HOJA_EN,MA,1,DAA,Partido Frente Amplio,10011808,1
HOJA_EN,MA,1,DAA,Partido Frente Amplio,19462121,2
HOJA_EN,MA,2,DAA,Partido Frente Amplio,77,2
HOJA_EN,MA,2,DAA,Partido Frente Amplio,90,2
HOJA_EN,MA,2,DAA,Partido Frente Amplio,205,2
HOJA_EN,MA,2,DAA,Partido Frente Amplio,609,1
HOJA_EN,MA,2,DAA,Partido Frente Amplio,890,1
HOJA_EN,MA,2,DAA,Partido Frente Amplio,982,1
HOJA_EN,MA,2,DAA,Partido Frente Amplio,1618,1
HOJA_EN,MA,2,DAA,Partido Frente Amplio,1813,11
HOJA_EN,MA,2,DAA,Partido Frente Amplio,2603,2
HOJA_EN,MA,2,DAA,Partido Frente Amplio,3592,1
HOJA_EN,MA,2,DAA,Partido Frente Amplio,99000,1
HOJA_EN,MA,2,DAA,Partido Frente Amplio,7381305,16
HOJA_EN,MA,2,DAA,Partido Frente Amplio,10011808,2
HOJA_EN,MA,2,DAA,Partido Frente Amplio,19462121,8
HOJA_EN,MA,3,DAA,Partido Frente Amplio,49,1
HOJA_EN,MA,3,DAA,Partido Frente Amplio,90,3
HOJA_EN,MA,3,DAA,Partido Frente Amplio,609,9
HOJA_EN,MA,3,DAA,Partido Frente Amplio,711,3
HOJA_EN,MA,3,DAA,Partido Frente Amplio,800,1
HOJA_EN,MA,3,DAA,Partido Frente Amplio,871,1
HOJA_EN,MA,3,DAA,Partido Frente Amplio,982,2
HOJA_EN,MA,3,DAA,Partido Frente Amplio,1813,10
HOJA_EN,MA,3,DAA,Partido Frente Amplio,1968,1
HOJA_EN,MA,3,DAA,Partido Frente Amplio,2603,1
HOJA_EN,MA,3,DAA,Partido Frente Amplio,3592,1
HOJA_EN,MA,3,DAA,Partido Frente Amplio,99000,6
