TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,PA,1,KAA,Partido Frente Amplio,77,4
HOJA_EN,PA,1,KAA,Partido Frente Amplio,609,16
HOJA_EN,PA,1,KAA,Partido Frente Amplio,800,1
HOJA_EN,PA,1,KAA,Partido Frente Amplio,871,1
HOJA_EN,PA,1,KAA,Partido Frente Amplio,982,3
HOJA_EN,PA,1,KAA,Partido Frente Amplio,1001,7
HOJA_EN,PA,1,KAA,Partido Frente Amplio,1303,1
HOJA_EN,PA,1,KAA,Partido Frente Amplio,1968,2
HOJA_EN,PA,1,KAA,Partido Frente Amplio,8000,1
HOJA_EN,PA,1,KAA,Partido Frente Amplio,8008,1
HOJA_EN,PA,1,KAA,Partido Frente Amplio,42020,4
HOJA_EN,PA,1,KAA,Partido Frente Amplio,1983738,5
HOJA_EN,PA,1,KAA,Partido Frente Amplio,33115005,7
HOJA_EN,PA,1,KAA,Partido Frente Amplio,90219938,21
HOJA_EN,PA,2,KAA,Partido Frente Amplio,9,1
HOJA_EN,PA,2,KAA,Partido Frente Amplio,77,8
HOJA_EN,PA,2,KAA,Partido Frente Amplio,567,1
HOJA_EN,PA,2,KAA,Partido Frente Amplio,609,24
HOJA_EN,PA,2,KAA,Partido Frente Amplio,711,1
HOJA_EN,PA,2,KAA,Partido Frente Amplio,800,1
HOJA_EN,PA,2,KAA,Partido Frente Amplio,982,3
HOJA_EN,PA,2,KAA,Partido Frente Amplio,1001,9
HOJA_EN,PA,2,KAA,Partido Frente Amplio,1303,5
HOJA_EN,PA,2,KAA,Partido Frente Amplio,1813,1
HOJA_EN,PA,2,KAA,Partido Frente Amplio,1968,1
HOJA_EN,PA,2,KAA,Partido Frente Amplio,5259,1
HOJA_EN,PA,2,KAA,Partido Frente Amplio,8000,1
HOJA_EN,PA,2,KAA,Partido Frente Amplio,8008,1
HOJA_EN,PA,2,KAA,Partido Frente Amplio,42020,9
HOJA_EN,PA,2,KAA,Partido Frente Amplio,1983738,8
HOJA_EN,PA,2,KAA,Partido Frente Amplio,33115005,4
HOJA_EN,PA,2,KAA,Partido Frente Amplio,90219938,23
HOJA_EN,PA,3,KAA,Partido Frente Amplio,9,3
HOJA_EN,PA,3,KAA,Partido Frente Amplio,77,5
HOJA_EN,PA,3,KAA,Partido Frente Amplio,205,1
HOJA_EN,PA,3,KAA,Partido Frente Amplio,609,30
HOJA_EN,PA,3,KAA,Partido Frente Amplio,711,3
HOJA_EN,PA,3,KAA,Partido Frente Amplio,982,1
HOJA_EN,PA,3,KAA,Partido Frente Amplio,1001,10
HOJA_EN,PA,3,KAA,Partido Frente Amplio,1303,4
HOJA_EN,PA,3,KAA,Partido Frente Amplio,1968,2
HOJA_EN,PA,3,KAA,Partido Frente Amplio,8000,1
HOJA_EN,PA,3,KAA,Partido Frente Amplio,1983738,11
HOJA_EN,PA,3,KAA,Partido Frente Amplio,33115005,9
HOJA_EN,PA,3,KAA,Partido Frente Amplio,90219938,26
HOJA_EN,PA,4,KAA,Partido Frente Amplio,9,2
HOJA_EN,PA,4,KAA,Partido Frente Amplio,77,11
HOJA_EN,PA,4,KAA,Partido Frente Amplio,205,1
HOJA_EN,PA,4,KAA,Partido Frente Amplio,609,36
HOJA_EN,PA,4,KAA,Partido Frente Amplio,711,2
HOJA_EN,PA,4,KAA,Partido Frente Amplio,871,2
HOJA_EN,PA,4,KAA,Partido Frente Amplio,949,1
HOJA_EN,PA,4,KAA,Partido Frente Amplio,982,2
HOJA_EN,PA,4,KAA,Partido Frente Amplio,1001,10
HOJA_EN,PA,4,KAA,Partido Frente Amplio,1303,3
HOJA_EN,PA,4,KAA,Partido Frente Amplio,1968,1
HOJA_EN,PA,4,KAA,Partido Frente Amplio,8000,1
HOJA_EN,PA,4,KAA,Partido Frente Amplio,42020,5
HOJA_EN,PA,4,KAA,Partido Frente Amplio,1983738,8
HOJA_EN,PA,4,KAA,Partido Frente Amplio,33115005,6
HOJA_EN,PA,4,KAA,Partido Frente Amplio,90219938,21
HOJA_EN,PA,5,KAA,Partido Frente Amplio,9,3
HOJA_EN,PA,5,KAA,Partido Frente Amplio,77,7
HOJA_EN,PA,5,KAA,Partido Frente Amplio,205,1
HOJA_EN,PA,5,KAA,Partido Frente Amplio,567,1
HOJA_EN,PA,5,KAA,Partido Frente Amplio,609,34
HOJA_EN,PA,5,KAA,Partido Frente Amplio,711,1
HOJA_EN,PA,5,KAA,Partido Frente Amplio,800,3
HOJA_EN,PA,5,KAA,Partido Frente Amplio,982,5
HOJA_EN,PA,5,KAA,Partido Frente Amplio,1001,11
HOJA_EN,PA,5,KAA,Partido Frente Amplio,1813,2
HOJA_EN,PA,5,KAA,Partido Frente Amplio,1968,1
HOJA_EN,PA,5,KAA,Partido Frente Amplio,5259,1
