TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,RN,1,LAA,Partido Frente Amplio,319,6
HOJA_EN,RN,1,LAA,Partido Frente Amplio,871,1
HOJA_EN,RN,1,LAA,Partido Frente Amplio,982,1
HOJA_EN,RN,1,LAA,Partido Frente Amplio,3592,5
HOJA_EN,RN,1,LAA,Partido Frente Amplio,771001,7
HOJA_EN,RN,1,LAA,Partido Frente Amplio,212199808,7
HOJA_EN,RN,1,LAA,Partido Frente Amplio,906091303,16
HOJA_EN,RN,2,LAA,Partido Frente Amplio,9,2
HOJA_EN,RN,2,LAA,Partido Frente Amplio,205,1
HOJA_EN,RN,2,LAA,Partido Frente Amplio,319,3
HOJA_EN,RN,2,LAA,Partido Frente Amplio,800,2
HOJA_EN,RN,2,LAA,Partido Frente Amplio,890,1
HOJA_EN,RN,2,LAA,Partido Frente Amplio,982,3
HOJA_EN,RN,2,LAA,Partido Frente Amplio,1813,2
HOJA_EN,RN,2,LAA,Partido Frente Amplio,3592,7
HOJA_EN,RN,2,LAA,Partido Frente Amplio,771001,22
HOJA_EN,RN,2,LAA,Partido Frente Amplio,212199808,23
HOJA_EN,RN,2,LAA,Partido Frente Amplio,906091303,13
HOJA_EN,RN,3,LAA,Partido Frente Amplio,9,3
HOJA_EN,RN,3,LAA,Partido Frente Amplio,319,3
HOJA_EN,RN,3,LAA,Partido Frente Amplio,711,1
HOJA_EN,RN,3,LAA,Partido Frente Amplio,800,5
HOJA_EN,RN,3,LAA,Partido Frente Amplio,890,4
HOJA_EN,RN,3,LAA,Partido Frente Amplio,982,4
HOJA_EN,RN,3,LAA,Partido Frente Amplio,1618,2
HOJA_EN,RN,3,LAA,Partido Frente Amplio,1813,1
HOJA_EN,RN,3,LAA,Partido Frente Amplio,3592,6
HOJA_EN,RN,3,LAA,Partido Frente Amplio,771001,23
HOJA_EN,RN,3,LAA,Partido Frente Amplio,212199808,27
HOJA_EN,RN,3,LAA,Partido Frente Amplio,906091303,28
HOJA_EN,RN,4,LAA,Partido Frente Amplio,9,1
HOJA_EN,RN,4,LAA,Partido Frente Amplio,205,1
HOJA_EN,RN,4,LAA,Partido Frente Amplio,319,1
HOJA_EN,RN,4,LAA,Partido Frente Amplio,711,1
HOJA_EN,RN,4,LAA,Partido Frente Amplio,800,2
HOJA_EN,RN,4,LAA,Partido Frente Amplio,890,6
HOJA_EN,RN,4,LAA,Partido Frente Amplio,982,7
HOJA_EN,RN,4,LAA,Partido Frente Amplio,3592,5
HOJA_EN,RN,4,LAA,Partido Frente Amplio,771001,21
HOJA_EN,RN,4,LAA,Partido Frente Amplio,212199808,19
HOJA_EN,RN,4,LAA,Partido Frente Amplio,906091303,24
HOJA_EN,RN,5,LAA,Partido Frente Amplio,9,3
HOJA_EN,RN,5,LAA,Partido Frente Amplio,205,1
HOJA_EN,RN,5,LAA,Partido Frente Amplio,319,7
HOJA_EN,RN,5,LAA,Partido Frente Amplio,711,2
HOJA_EN,RN,5,LAA,Partido Frente Amplio,800,1
HOJA_EN,RN,5,LAA,Partido Frente Amplio,890,1
HOJA_EN,RN,5,LAA,Partido Frente Amplio,982,8
HOJA_EN,RN,5,LAA,Partido Frente Amplio,1618,1
HOJA_EN,RN,5,LAA,Partido Frente Amplio,3592,4
HOJA_EN,RN,5,LAA,Partido Frente Amplio,5271,1
HOJA_EN,RN,5,LAA,Partido Frente Amplio,771001,21
HOJA_EN,RN,5,LAA,Partido Frente Amplio,212199808,18
HOJA_EN,RN,5,LAA,Partido Frente Amplio,906091303,26
HOJA_EN,RN,6,LAA,Partido Frente Amplio,205,2
HOJA_EN,RN,6,LAA,Partido Frente Amplio,319,7
HOJA_EN,RN,6,LAA,Partido Frente Amplio,800,6
HOJA_EN,RN,6,LAA,Partido Frente Amplio,890,3
HOJA_EN,RN,6,LAA,Partido Frente Amplio,982,1
HOJA_EN,RN,6,LAA,Partido Frente Amplio,3592,8
HOJA_EN,RN,6,LAA,Partido Frente Amplio,5271,2
HOJA_EN,RN,6,LAA,Partido Frente Amplio,771001,34
HOJA_EN,RN,6,LAA,Partido Frente Amplio,212199808,36
HOJA_EN,RN,6,LAA,Partido Frente Amplio,906091303,16
HOJA_EN,RN,7,LAA,Partido Frente Amplio,9,1
HOJA_EN,RN,7,LAA,Partido Frente Amplio,319,6
HOJA_EN,RN,7,LAA,Partido Frente Amplio,800,3
HOJA_EN,RN,7,LAA,Partido Frente Amplio,890,2
HOJA_EN,RN,7,LAA,Partido Frente Amplio,982,7
HOJA_EN,RN,7,LAA,Partido Frente Amplio,1618,3
HOJA_EN,RN,7,LAA,Partido Frente Amplio,1813,1
HOJA_EN,RN,7,LAA,Partido Frente Amplio,1968,1
HOJA_EN,RN,7,LAA,Partido Frente Amplio,3592,5
HOJA_EN,RN,7,LAA,Partido Frente Amplio,771001,21
HOJA_EN,RN,7,LAA,Partido Frente Amplio,212199808,29
HOJA_EN,RN,7,LAA,Partido Frente Amplio,906091303,24
HOJA_EN,RN,8,LAA,Partido Frente Amplio,9,1
HOJA_EN,RN,8,LAA,Partido Frente Amplio,319,5
HOJA_EN,RN,8,LAA,Partido Frente Amplio,800,3
HOJA_EN,RN,8,LAA,Partido Frente Amplio,890,6
