TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,RV,1,HAA,Partido Frente Amplio,90,8
HOJA_EN,RV,1,HAA,Partido Frente Amplio,393,1
HOJA_EN,RV,1,HAA,Partido Frente Amplio,567,2
HOJA_EN,RV,1,HAA,Partido Frente Amplio,982,3
HOJA_EN,RV,1,HAA,Partido Frente Amplio,1001,6
HOJA_EN,RV,1,HAA,Partido Frente Amplio,2005,3
HOJA_EN,RV,1,HAA,Partido Frente Amplio,2121,2
HOJA_EN,RV,1,HAA,Partido Frente Amplio,711609,3
HOJA_EN,RV,1,HAA,Partido Frente Amplio,959738,2
HOJA_EN,RV,2,HAA,Partido Frente Amplio,77,1
HOJA_EN,RV,2,HAA,Partido Frente Amplio,90,5
HOJA_EN,RV,2,HAA,Partido Frente Amplio,393,3
HOJA_EN,RV,2,HAA,Partido Frente Amplio,982,7
HOJA_EN,RV,2,HAA,Partido Frente Amplio,1001,10
HOJA_EN,RV,2,HAA,Partido Frente Amplio,2005,5
HOJA_EN,RV,2,HAA,Partido Frente Amplio,2121,5
HOJA_EN,RV,2,HAA,Partido Frente Amplio,8008,1
HOJA_EN,RV,2,HAA,Partido Frente Amplio,711609,8
HOJA_EN,RV,2,HAA,Partido Frente Amplio,959738,4
HOJA_EN,RV,3,HAA,Partido Frente Amplio,9,3
HOJA_EN,RV,3,HAA,Partido Frente Amplio,77,1
HOJA_EN,RV,3,HAA,Partido Frente Amplio,90,17
HOJA_EN,RV,3,HAA,Partido Frente Amplio,205,2
HOJA_EN,RV,3,HAA,Partido Frente Amplio,393,2
HOJA_EN,RV,3,HAA,Partido Frente Amplio,567,1
HOJA_EN,RV,3,HAA,Partido Frente Amplio,890,3
HOJA_EN,RV,3,HAA,Partido Frente Amplio,982,2
HOJA_EN,RV,3,HAA,Partido Frente Amplio,1001,7
HOJA_EN,RV,3,HAA,Partido Frente Amplio,2005,4
HOJA_EN,RV,3,HAA,Partido Frente Amplio,8008,1
HOJA_EN,RV,3,HAA,Partido Frente Amplio,711609,11
HOJA_EN,RV,3,HAA,Partido Frente Amplio,959738,6
HOJA_EN,RV,4,HAA,Partido Frente Amplio,77,1
HOJA_EN,RV,4,HAA,Partido Frente Amplio,90,12
HOJA_EN,RV,4,HAA,Partido Frente Amplio,393,2
HOJA_EN,RV,4,HAA,Partido Frente Amplio,567,1
HOJA_EN,RV,4,HAA,Partido Frente Amplio,982,5
HOJA_EN,RV,4,HAA,Partido Frente Amplio,1001,10
HOJA_EN,RV,4,HAA,Partido Frente Amplio,2005,6
HOJA_EN,RV,4,HAA,Partido Frente Amplio,2121,6
HOJA_EN,RV,4,HAA,Partido Frente Amplio,711609,5
HOJA_EN,RV,4,HAA,Partido Frente Amplio,959738,9
HOJA_EN,RV,5,HAA,Partido Frente Amplio,77,1
HOJA_EN,RV,5,HAA,Partido Frente Amplio,90,18
HOJA_EN,RV,5,HAA,Partido Frente Amplio,393,3
HOJA_EN,RV,5,HAA,Partido Frente Amplio,800,1
HOJA_EN,RV,5,HAA,Partido Frente Amplio,890,1
HOJA_EN,RV,5,HAA,Partido Frente Amplio,982,3
HOJA_EN,RV,5,HAA,Partido Frente Amplio,1001,4
HOJA_EN,RV,5,HAA,Partido Frente Amplio,2005,11
HOJA_EN,RV,5,HAA,Partido Frente Amplio,2121,3
HOJA_EN,RV,5,HAA,Partido Frente Amplio,711609,9
HOJA_EN,RV,5,HAA,Partido Frente Amplio,959738,6
HOJA_EN,RV,6,HAA,Partido Frente Amplio,77,5
HOJA_EN,RV,6,HAA,Partido Frente Amplio,90,15
HOJA_EN,RV,6,HAA,Partido Frente Amplio,393,1
HOJA_EN,RV,6,HAA,Partido Frente Amplio,890,4
HOJA_EN,RV,6,HAA,Partido Frente Amplio,982,8
HOJA_EN,RV,6,HAA,Partido Frente Amplio,1001,12
HOJA_EN,RV,6,HAA,Partido Frente Amplio,1968,1
HOJA_EN,RV,6,HAA,Partido Frente Amplio,2005,6
HOJA_EN,RV,6,HAA,Partido Frente Amplio,2121,7
HOJA_EN,RV,6,HAA,Partido Frente Amplio,711609,7
HOJA_EN,RV,6,HAA,Partido Frente Amplio,959738,3
HOJA_EN,RV,7,HAA,Partido Frente Amplio,77,8
HOJA_EN,RV,7,HAA,Partido Frente Amplio,90,17
HOJA_EN,RV,7,HAA,Partido Frente Amplio,205,3
HOJA_EN,RV,7,HAA,Partido Frente Amplio,393,2
HOJA_EN,RV,7,HAA,Partido Frente Amplio,800,2
HOJA_EN,RV,7,HAA,Partido Frente Amplio,890,2
HOJA_EN,RV,7,HAA,Partido Frente Amplio,982,4
