TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,RO,1,EAA,Partido Frente Amplio,49,1
HOJA_EN,RO,1,EAA,Partido Frente Amplio,90,11
HOJA_EN,RO,1,EAA,Partido Frente Amplio,567,1
HOJA_EN,RO,1,EAA,Partido Frente Amplio,609,9
HOJA_EN,RO,1,EAA,Partido Frente Amplio,711,1
HOJA_EN,RO,1,EAA,Partido Frente Amplio,800,2
HOJA_EN,RO,1,EAA,Partido Frente Amplio,1001,9
HOJA_EN,RO,1,EAA,Partido Frente Amplio,1618,1
HOJA_EN,RO,1,EAA,Partido Frente Amplio,3592,2
HOJA_EN,RO,1,EAA,Partido Frente Amplio,212199,8
HOJA_EN,RO,1,EAA,Partido Frente Amplio,1983738,3
HOJA_EN,RO,2,EAA,Partido Frente Amplio,90,14
HOJA_EN,RO,2,EAA,Partido Frente Amplio,609,26
HOJA_EN,RO,2,EAA,Partido Frente Amplio,800,1
HOJA_EN,RO,2,EAA,Partido Frente Amplio,890,2
HOJA_EN,RO,2,EAA,Partido Frente Amplio,982,1
HOJA_EN,RO,2,EAA,Partido Frente Amplio,1001,12
HOJA_EN,RO,2,EAA,Partido Frente Amplio,3592,4
HOJA_EN,RO,2,EAA,Partido Frente Amplio,212199,12
HOJA_EN,RO,2,EAA,Partido Frente Amplio,1983738,3
HOJA_EN,RO,3,EAA,Partido Frente Amplio,49,1
HOJA_EN,RO,3,EAA,Partido Frente Amplio,90,10
HOJA_EN,RO,3,EAA,Partido Frente Amplio,609,21
HOJA_EN,RO,3,EAA,Partido Frente Amplio,890,1
HOJA_EN,RO,3,EAA,Partido Frente Amplio,982,3
HOJA_EN,RO,3,EAA,Partido Frente Amplio,1001,13
HOJA_EN,RO,3,EAA,Partido Frente Amplio,1968,2
HOJA_EN,RO,3,EAA,Partido Frente Amplio,3592,7
HOJA_EN,RO,3,EAA,Partido Frente Amplio,212199,11
HOJA_EN,RO,4,EAA,Partido Frente Amplio,90,11
HOJA_EN,RO,4,EAA,Partido Frente Amplio,205,2
HOJA_EN,RO,4,EAA,Partido Frente Amplio,609,26
HOJA_EN,RO,4,EAA,Partido Frente Amplio,800,2
HOJA_EN,RO,4,EAA,Partido Frente Amplio,890,5
HOJA_EN,RO,4,EAA,Partido Frente Amplio,1001,7
HOJA_EN,RO,4,EAA,Partido Frente Amplio,1968,2
HOJA_EN,RO,4,EAA,Partido Frente Amplio,3592,1
HOJA_EN,RO,4,EAA,Partido Frente Amplio,212199,7
HOJA_EN,RO,4,EAA,Partido Frente Amplio,1983738,5
HOJA_EN,RO,5,EAA,Partido Frente Amplio,49,1
HOJA_EN,RO,5,EAA,Partido Frente Amplio,90,14
HOJA_EN,RO,5,EAA,Partido Frente Amplio,205,1
HOJA_EN,RO,5,EAA,Partido Frente Amplio,609,27
HOJA_EN,RO,5,EAA,Partido Frente Amplio,800,1
HOJA_EN,RO,5,EAA,Partido Frente Amplio,982,2
HOJA_EN,RO,5,EAA,Partido Frente Amplio,1001,9
HOJA_EN,RO,5,EAA,Partido Frente Amplio,1813,1
HOJA_EN,RO,5,EAA,Partido Frente Amplio,3592,3
HOJA_EN,RO,5,EAA,Partido Frente Amplio,212199,16
HOJA_EN,RO,5,EAA,Partido Frente Amplio,1983738,2
HOJA_EN,RO,6,EAA,Partido Frente Amplio,49,2
HOJA_EN,RO,6,EAA,Partido Frente Amplio,77,2
HOJA_EN,RO,6,EAA,Partido Frente Amplio,90,7
HOJA_EN,RO,6,EAA,Partido Frente Amplio,205,2
HOJA_EN,RO,6,EAA,Partido Frente Amplio,609,19
HOJA_EN,RO,6,EAA,Partido Frente Amplio,611,2
HOJA_EN,RO,6,EAA,Partido Frente Amplio,711,1
HOJA_EN,RO,6,EAA,Partido Frente Amplio,800,1
