TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,SA,1,JAA,Partido Frente Amplio,9,3
HOJA_EN,SA,1,JAA,Partido Frente Amplio,77,1
HOJA_EN,SA,1,JAA,Partido Frente Amplio,182,4
HOJA_EN,SA,1,JAA,Partido Frente Amplio,359,3
HOJA_EN,SA,1,JAA,Partido Frente Amplio,567,2
HOJA_EN,SA,1,JAA,Partido Frente Amplio,738,7
HOJA_EN,SA,1,JAA,Partido Frente Amplio,808,22
HOJA_EN,SA,1,JAA,Partido Frente Amplio,888,4
HOJA_EN,SA,1,JAA,Partido Frente Amplio,890,1
HOJA_EN,SA,1,JAA,Partido Frente Amplio,949,1
HOJA_EN,SA,1,JAA,Partido Frente Amplio,1618,1
HOJA_EN,SA,1,JAA,Partido Frente Amplio,1786,29
HOJA_EN,SA,1,JAA,Partido Frente Amplio,2121,5
HOJA_EN,SA,1,JAA,Partido Frente Amplio,8000,5
HOJA_EN,SA,1,JAA,Partido Frente Amplio,90609,18
HOJA_EN,SA,2,JAA,Partido Frente Amplio,9,3
HOJA_EN,SA,2,JAA,Partido Frente Amplio,182,3
HOJA_EN,SA,2,JAA,Partido Frente Amplio,359,3
HOJA_EN,SA,2,JAA,Partido Frente Amplio,567,2
HOJA_EN,SA,2,JAA,Partido Frente Amplio,711,1
HOJA_EN,SA,2,JAA,Partido Frente Amplio,738,4
HOJA_EN,SA,2,JAA,Partido Frente Amplio,808,14
HOJA_EN,SA,2,JAA,Partido Frente Amplio,871,1
HOJA_EN,SA,2,JAA,Partido Frente Amplio,888,3
HOJA_EN,SA,2,JAA,Partido Frente Amplio,949,2
HOJA_EN,SA,2,JAA,Partido Frente Amplio,982,3
HOJA_EN,SA,2,JAA,Partido Frente Amplio,1618,1
HOJA_EN,SA,2,JAA,Partido Frente Amplio,1786,32
HOJA_EN,SA,2,JAA,Partido Frente Amplio,2121,5
HOJA_EN,SA,2,JAA,Partido Frente Amplio,8000,2
HOJA_EN,SA,2,JAA,Partido Frente Amplio,90609,13
HOJA_EN,SA,3,JAA,Partido Frente Amplio,9,4
HOJA_EN,SA,3,JAA,Partido Frente Amplio,77,4
HOJA_EN,SA,3,JAA,Partido Frente Amplio,182,2
HOJA_EN,SA,3,JAA,Partido Frente Amplio,359,5
HOJA_EN,SA,3,JAA,Partido Frente Amplio,567,2
HOJA_EN,SA,3,JAA,Partido Frente Amplio,711,1
HOJA_EN,SA,3,JAA,Partido Frente Amplio,738,6
HOJA_EN,SA,3,JAA,Partido Frente Amplio,808,10
HOJA_EN,SA,3,JAA,Partido Frente Amplio,871,5
HOJA_EN,SA,3,JAA,Partido Frente Amplio,888,4
HOJA_EN,SA,3,JAA,Partido Frente Amplio,890,2
HOJA_EN,SA,3,JAA,Partido Frente Amplio,949,2
HOJA_EN,SA,3,JAA,Partido Frente Amplio,1303,7
HOJA_EN,SA,3,JAA,Partido Frente Amplio,1786,31
HOJA_EN,SA,3,JAA,Partido Frente Amplio,2121,8
HOJA_EN,SA,3,JAA,Partido Frente Amplio,8000,4
HOJA_EN,SA,3,JAA,Partido Frente Amplio,90609,18
HOJA_EN,SA,4,JAA,Partido Frente Amplio,9,5
HOJA_EN,SA,4,JAA,Partido Frente Amplio,77,2
HOJA_EN,SA,4,JAA,Partido Frente Amplio,182,6
HOJA_EN,SA,4,JAA,Partido Frente Amplio,205,1
HOJA_EN,SA,4,JAA,Partido Frente Amplio,359,3
HOJA_EN,SA,4,JAA,Partido Frente Amplio,711,2
HOJA_EN,SA,4,JAA,Partido Frente Amplio,738,5
HOJA_EN,SA,4,JAA,Partido Frente Amplio,808,12
HOJA_EN,SA,4,JAA,Partido Frente Amplio,888,2
HOJA_EN,SA,4,JAA,Partido Frente Amplio,890,6
HOJA_EN,SA,4,JAA,Partido Frente Amplio,949,4
HOJA_EN,SA,4,JAA,Partido Frente Amplio,982,2
HOJA_EN,SA,4,JAA,Partido Frente Amplio,1786,44
HOJA_EN,SA,4,JAA,Partido Frente Amplio,2121,8
HOJA_EN,SA,4,JAA,Partido Frente Amplio,8000,5
HOJA_EN,SA,4,JAA,Partido Frente Amplio,90609,23
HOJA_EN,SA,5,JAA,Partido Frente Amplio,9,2
HOJA_EN,SA,5,JAA,Partido Frente Amplio,77,2
HOJA_EN,SA,5,JAA,Partido Frente Amplio,182,2
HOJA_EN,SA,5,JAA,Partido Frente Amplio,205,2
HOJA_EN,SA,5,JAA,Partido Frente Amplio,359,2
HOJA_EN,SA,5,JAA,Partido Frente Amplio,567,2
HOJA_EN,SA,5,JAA,Partido Frente Amplio,711,2
HOJA_EN,SA,5,JAA,Partido Frente Amplio,738,10
HOJA_EN,SA,5,JAA,Partido Frente Amplio,808,11
HOJA_EN,SA,5,JAA,Partido Frente Amplio,888,2
HOJA_EN,SA,5,JAA,Partido Frente Amplio,890,3
HOJA_EN,SA,5,JAA,Partido Frente Amplio,982,2
HOJA_EN,SA,5,JAA,Partido Frente Amplio,1303,2
HOJA_EN,SA,5,JAA,Partido Frente Amplio,1618,1
HOJA_EN,SA,5,JAA,Partido Frente Amplio,1786,38
HOJA_EN,SA,5,JAA,Partido Frente Amplio,2121,7
HOJA_EN,SA,5,JAA,Partido Frente Amplio,8008,1
HOJA_EN,SA,5,JAA,Partido Frente Amplio,90609,22
HOJA_EN,SA,6,JAA,Partido Frente Amplio,77,6
HOJA_EN,SA,6,JAA,Partido Frente Amplio,182,4
HOJA_EN,SA,6,JAA,Partido Frente Amplio,205,1
HOJA_EN,SA,6,JAA,Partido Frente Amplio,359,4
HOJA_EN,SA,6,JAA,Partido Frente Amplio,711,4
HOJA_EN,SA,6,JAA,Partido Frente Amplio,738,4
HOJA_EN,SA,6,JAA,Partido Frente Amplio,808,12
HOJA_EN,SA,6,JAA,Partido Frente Amplio,871,1
HOJA_EN,SA,6,JAA,Partido Frente Amplio,888,3
HOJA_EN,SA,6,JAA,Partido Frente Amplio,890,2
HOJA_EN,SA,6,JAA,Partido Frente Amplio,949,2
HOJA_EN,SA,6,JAA,Partido Frente Amplio,1303,2
HOJA_EN,SA,6,JAA,Partido Frente Amplio,1618,2
HOJA_EN,SA,6,JAA,Partido Frente Amplio,1786,38
HOJA_EN,SA,6,JAA,Partido Frente Amplio,2121,8
HOJA_EN,SA,6,JAA,Partido Frente Amplio,8000,2
HOJA_EN,SA,6,JAA,Partido Frente Amplio,90609,15
HOJA_EN,SA,7,JAA,Partido Frente Amplio,9,1
HOJA_EN,SA,7,JAA,Partido Frente Amplio,77,2
HOJA_EN,SA,7,JAA,Partido Frente Amplio,182,2
HOJA_EN,SA,7,JAA,Partido Frente Amplio,205,1
HOJA_EN,SA,7,JAA,Partido Frente Amplio,359,2
HOJA_EN,SA,7,JAA,Partido Frente Amplio,711,4
HOJA_EN,SA,7,JAA,Partido Frente Amplio,738,5
HOJA_EN,SA,7,JAA,Partido Frente Amplio,808,10
HOJA_EN,SA,7,JAA,Partido Frente Amplio,888,1
HOJA_EN,SA,7,JAA,Partido Frente Amplio,890,4
HOJA_EN,SA,7,JAA,Partido Frente Amplio,949,2
HOJA_EN,SA,7,JAA,Partido Frente Amplio,982,1
HOJA_EN,SA,7,JAA,Partido Frente Amplio,1303,2
HOJA_EN,SA,7,JAA,Partido Frente Amplio,1786,57
HOJA_EN,SA,7,JAA,Partido Frente Amplio,2121,1
HOJA_EN,SA,7,JAA,Partido Frente Amplio,8000,4
HOJA_EN,SA,7,JAA,Partido Frente Amplio,90609,26
HOJA_EN,SA,8,JAA,Partido Frente Amplio,77,1
HOJA_EN,SA,8,JAA,Partido Frente Amplio,182,2
HOJA_EN,SA,8,JAA,Partido Frente Amplio,359,6
HOJA_EN,SA,8,JAA,Partido Frente Amplio,567,1
HOJA_EN,SA,8,JAA,Partido Frente Amplio,711,2
HOJA_EN,SA,8,JAA,Partido Frente Amplio,808,13
HOJA_EN,SA,8,JAA,Partido Frente Amplio,871,1
HOJA_EN,SA,8,JAA,Partido Frente Amplio,890,4
HOJA_EN,SA,8,JAA,Partido Frente Amplio,949,4
HOJA_EN,SA,8,JAA,Partido Frente Amplio,982,1
HOJA_EN,SA,8,JAA,Partido Frente Amplio,1618,2
HOJA_EN,SA,8,JAA,Partido Frente Amplio,1786,55
HOJA_EN,SA,8,JAA,Partido Frente Amplio,2121,2
HOJA_EN,SA,8,JAA,Partido Frente Amplio,8000,3
HOJA_EN,SA,8,JAA,Partido Frente Amplio,90609,18
HOJA_EN,SA,9,JAB,Partido Frente Amplio,182,3
HOJA_EN,SA,9,JAB,Partido Frente Amplio,359,2
HOJA_EN,SA,9,JAB,Partido Frente Amplio,567,2
HOJA_EN,SA,9,JAB,Partido Frente Amplio,711,1
HOJA_EN,SA,9,JAB,Partido Frente Amplio,738,4
HOJA_EN,SA,9,JAB,Partido Frente Amplio,808,18
HOJA_EN,SA,9,JAB,Partido Frente Amplio,888,4
HOJA_EN,SA,9,JAB,Partido Frente Amplio,890,1
HOJA_EN,SA,9,JAB,Partido Frente Amplio,949,1
HOJA_EN,SA,9,JAB,Partido Frente Amplio,982,1
HOJA_EN,SA,9,JAB,Partido Frente Amplio,1786,16
HOJA_EN,SA,9,JAB,Partido Frente Amplio,1813,1
HOJA_EN,SA,9,JAB,Partido Frente Amplio,2121,2
HOJA_EN,SA,9,JAB,Partido Frente Amplio,8008,1
HOJA_EN,SA,9,JAB,Partido Frente Amplio,90609,19
HOJA_EN,SA,10,JAB,Partido Frente Amplio,77,1
HOJA_EN,SA,10,JAB,Partido Frente Amplio,182,2
HOJA_EN,SA,10,JAB,Partido Frente Amplio,567,2
HOJA_EN,SA,10,JAB,Partido Frente Amplio,711,6
HOJA_EN,SA,10,JAB,Partido Frente Amplio,738,10
HOJA_EN,SA,10,JAB,Partido Frente Amplio,808,18
HOJA_EN,SA,10,JAB,Partido Frente Amplio,871,3
HOJA_EN,SA,10,JAB,Partido Frente Amplio,888,1
HOJA_EN,SA,10,JAB,Partido Frente Amplio,982,1
HOJA_EN,SA,10,JAB,Partido Frente Amplio,1618,1
HOJA_EN,SA,10,JAB,Partido Frente Amplio,1786,25
HOJA_EN,SA,10,JAB,Partido Frente Amplio,1813,2
HOJA_EN,SA,10,JAB,Partido Frente Amplio,2121,9
HOJA_EN,SA,10,JAB,Partido Frente Amplio,8000,5
HOJA_EN,SA,10,JAB,Partido Frente Amplio,90609,15
HOJA_EN,SA,11,JAB,Partido Frente Amplio,77,2
HOJA_EN,SA,11,JAB,Partido Frente Amplio,182,7
HOJA_EN,SA,11,JAB,Partido Frente Amplio,205,1
HOJA_EN,SA,11,JAB,Partido Frente Amplio,359,5
HOJA_EN,SA,11,JAB,Partido Frente Amplio,567,3
HOJA_EN,SA,11,JAB,Partido Frente Amplio,711,3
HOJA_EN,SA,11,JAB,Partido Frente Amplio,738,5
HOJA_EN,SA,11,JAB,Partido Frente Amplio,808,9
HOJA_EN,SA,11,JAB,Partido Frente Amplio,871,1
HOJA_EN,SA,11,JAB,Partido Frente Amplio,888,3
HOJA_EN,SA,11,JAB,Partido Frente Amplio,890,2
HOJA_EN,SA,11,JAB,Partido Frente Amplio,949,2
HOJA_EN,SA,11,JAB,Partido Frente Amplio,1303,1
HOJA_EN,SA,11,JAB,Partido Frente Amplio,1786,21
HOJA_EN,SA,11,JAB,Partido Frente Amplio,1813,3
HOJA_EN,SA,11,JAB,Partido Frente Amplio,2121,2
HOJA_EN,SA,11,JAB,Partido Frente Amplio,8000,1
HOJA_EN,SA,11,JAB,Partido Frente Amplio,8008,1
HOJA_EN,SA,11,JAB,Partido Frente Amplio,90609,14
HOJA_EN,SA,12,JAB,Partido Frente Amplio,77,1
HOJA_EN,SA,12,JAB,Partido Frente Amplio,182,6
HOJA_EN,SA,12,JAB,Partido Frente Amplio,359,4
HOJA_EN,SA,12,JAB,Partido Frente Amplio,567,4
HOJA_EN,SA,12,JAB,Partido Frente Amplio,738,15
HOJA_EN,SA,12,JAB,Partido Frente Amplio,808,13
HOJA_EN,SA,12,JAB,Partido Frente Amplio,888,1
HOJA_EN,SA,12,JAB,Partido Frente Amplio,890,2
HOJA_EN,SA,12,JAB,Partido Frente Amplio,982,1
HOJA_EN,SA,12,JAB,Partido Frente Amplio,1618,2
HOJA_EN,SA,12,JAB,Partido Frente Amplio,1786,23
HOJA_EN,SA,12,JAB,Partido Frente Amplio,2121,1
HOJA_EN,SA,12,JAB,Partido Frente Amplio,8000,1
HOJA_EN,SA,12,JAB,Partido Frente Amplio,90609,13
HOJA_EN,SA,13,JAB,Partido Frente Amplio,9,1
HOJA_EN,SA,13,JAB,Partido Frente Amplio,182,4
HOJA_EN,SA,13,JAB,Partido Frente Amplio,359,5
HOJA_EN,SA,13,JAB,Partido Frente Amplio,567,1
HOJA_EN,SA,13,JAB,Partido Frente Amplio,711,3
HOJA_EN,SA,13,JAB,Partido Frente Amplio,738,8
HOJA_EN,SA,13,JAB,Partido Frente Amplio,808,14
HOJA_EN,SA,13,JAB,Partido Frente Amplio,888,4
HOJA_EN,SA,13,JAB,Partido Frente Amplio,890,2
HOJA_EN,SA,13,JAB,Partido Frente Amplio,949,1
HOJA_EN,SA,13,JAB,Partido Frente Amplio,1303,2
HOJA_EN,SA,13,JAB,Partido Frente Amplio,1786,24
HOJA_EN,SA,13,JAB,Partido Frente Amplio,1813,1
HOJA_EN,SA,13,JAB,Partido Frente Amplio,2121,7
HOJA_EN,SA,13,JAB,Partido Frente Amplio,90609,21
HOJA_EN,SA,14,JAB,Partido Frente Amplio,9,1
HOJA_EN,SA,14,JAB,Partido Frente Amplio,182,4
HOJA_EN,SA,14,JAB,Partido Frente Amplio,205,3
HOJA_EN,SA,14,JAB,Partido Frente Amplio,359,4
HOJA_EN,SA,14,JAB,Partido Frente Amplio,567,1
HOJA_EN,SA,14,JAB,Partido Frente Amplio,711,2
HOJA_EN,SA,14,JAB,Partido Frente Amplio,738,10
HOJA_EN,SA,14,JAB,Partido Frente Amplio,808,10
HOJA_EN,SA,14,JAB,Partido Frente Amplio,871,1
HOJA_EN,SA,14,JAB,Partido Frente Amplio,888,7
HOJA_EN,SA,14,JAB,Partido Frente Amplio,890,5
HOJA_EN,SA,14,JAB,Partido Frente Amplio,982,1
HOJA_EN,SA,14,JAB,Partido Frente Amplio,1303,1
HOJA_EN,SA,14,JAB,Partido Frente Amplio,1786,28
HOJA_EN,SA,14,JAB,Partido Frente Amplio,1813,1
HOJA_EN,SA,14,JAB,Partido Frente Amplio,2121,7
HOJA_EN,SA,14,JAB,Partido Frente Amplio,8000,1
HOJA_EN,SA,14,JAB,Partido Frente Amplio,8008,1
HOJA_EN,SA,14,JAB,Partido Frente Amplio,90609,27
HOJA_EN,SA,15,JAB,Partido Frente Amplio,77,1
HOJA_EN,SA,15,JAB,Partido Frente Amplio,182,2
HOJA_EN,SA,15,JAB,Partido Frente Amplio,205,4
HOJA_EN,SA,15,JAB,Partido Frente Amplio,359,2
HOJA_EN,SA,15,JAB,Partido Frente Amplio,567,1
HOJA_EN,SA,15,JAB,Partido Frente Amplio,711,2
HOJA_EN,SA,15,JAB,Partido Frente Amplio,738,4
HOJA_EN,SA,15,JAB,Partido Frente Amplio,808,7
HOJA_EN,SA,15,JAB,Partido Frente Amplio,871,2
HOJA_EN,SA,15,JAB,Partido Frente Amplio,888,4
HOJA_EN,SA,15,JAB,Partido Frente Amplio,890,5
HOJA_EN,SA,15,JAB,Partido Frente Amplio,949,4
HOJA_EN,SA,15,JAB,Partido Frente Amplio,982,1
HOJA_EN,SA,15,JAB,Partido Frente Amplio,1303,2
HOJA_EN,SA,15,JAB,Partido Frente Amplio,1786,36
HOJA_EN,SA,15,JAB,Partido Frente Amplio,2121,7
HOJA_EN,SA,15,JAB,Partido Frente Amplio,8000,1
HOJA_EN,SA,15,JAB,Partido Frente Amplio,8008,2
HOJA_EN,SA,15,JAB,Partido Frente Amplio,90609,20
HOJA_EN,SA,16,JAB,Partido Frente Amplio,9,1
HOJA_EN,SA,16,JAB,Partido Frente Amplio,77,1
HOJA_EN,SA,16,JAB,Partido Frente Amplio,182,3
HOJA_EN,SA,16,JAB,Partido Frente Amplio,205,3
HOJA_EN,SA,16,JAB,Partido Frente Amplio,359,3
HOJA_EN,SA,16,JAB,Partido Frente Amplio,711,1
HOJA_EN,SA,16,JAB,Partido Frente Amplio,738,6
HOJA_EN,SA,16,JAB,Partido Frente Amplio,808,4
HOJA_EN,SA,16,JAB,Partido Frente Amplio,871,3
HOJA_EN,SA,16,JAB,Partido Frente Amplio,888,2
HOJA_EN,SA,16,JAB,Partido Frente Amplio,890,3
HOJA_EN,SA,16,JAB,Partido Frente Amplio,949,2
HOJA_EN,SA,16,JAB,Partido Frente Amplio,1303,1
HOJA_EN,SA,16,JAB,Partido Frente Amplio,1618,1
HOJA_EN,SA,16,JAB,Partido Frente Amplio,1786,26
HOJA_EN,SA,16,JAB,Partido Frente Amplio,2121,8
HOJA_EN,SA,16,JAB,Partido Frente Amplio,90609,17
HOJA_EN,SA,17,JAC,Partido Frente Amplio,9,1
HOJA_EN,SA,17,JAC,Partido Frente Amplio,77,1
HOJA_EN,SA,17,JAC,Partido Frente Amplio,182,1
HOJA_EN,SA,17,JAC,Partido Frente Amplio,359,5
HOJA_EN,SA,17,JAC,Partido Frente Amplio,567,2
HOJA_EN,SA,17,JAC,Partido Frente Amplio,738,10
HOJA_EN,SA,17,JAC,Partido Frente Amplio,808,8
HOJA_EN,SA,17,JAC,Partido Frente Amplio,871,2
HOJA_EN,SA,17,JAC,Partido Frente Amplio,888,2
HOJA_EN,SA,17,JAC,Partido Frente Amplio,949,1
HOJA_EN,SA,17,JAC,Partido Frente Amplio,982,4
HOJA_EN,SA,17,JAC,Partido Frente Amplio,1303,2
HOJA_EN,SA,17,JAC,Partido Frente Amplio,1786,29
HOJA_EN,SA,17,JAC,Partido Frente Amplio,1813,2
HOJA_EN,SA,17,JAC,Partido Frente Amplio,2121,2
HOJA_EN,SA,17,JAC,Partido Frente Amplio,8000,1
HOJA_EN,SA,17,JAC,Partido Frente Amplio,90609,12
HOJA_EN,SA,18,JAC,Partido Frente Amplio,9,1
HOJA_EN,SA,18,JAC,Partido Frente Amplio,77,1
HOJA_EN,SA,18,JAC,Partido Frente Amplio,182,3
HOJA_EN,SA,18,JAC,Partido Frente Amplio,359,11
HOJA_EN,SA,18,JAC,Partido Frente Amplio,567,4
HOJA_EN,SA,18,JAC,Partido Frente Amplio,711,5
HOJA_EN,SA,18,JAC,Partido Frente Amplio,738,7
HOJA_EN,SA,18,JAC,Partido Frente Amplio,808,9
HOJA_EN,SA,18,JAC,Partido Frente Amplio,871,1
HOJA_EN,SA,18,JAC,Partido Frente Amplio,888,3
HOJA_EN,SA,18,JAC,Partido Frente Amplio,890,2
HOJA_EN,SA,18,JAC,Partido Frente Amplio,949,1
HOJA_EN,SA,18,JAC,Partido Frente Amplio,982,1
HOJA_EN,SA,18,JAC,Partido Frente Amplio,1786,37
HOJA_EN,SA,18,JAC,Partido Frente Amplio,1813,1
HOJA_EN,SA,18,JAC,Partido Frente Amplio,2121,5
