TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,SO,1,MAA,Partido Frente Amplio,77,4
HOJA_EN,SO,1,MAA,Partido Frente Amplio,205,1
HOJA_EN,SO,1,MAA,Partido Frente Amplio,567,1
HOJA_EN,SO,1,MAA,Partido Frente Amplio,738,4
HOJA_EN,SO,1,MAA,Partido Frente Amplio,800,2
HOJA_EN,SO,1,MAA,Partido Frente Amplio,890,3
HOJA_EN,SO,1,MAA,Partido Frente Amplio,1001,8
HOJA_EN,SO,1,MAA,Partido Frente Amplio,1968,1
HOJA_EN,SO,1,MAA,Partido Frente Amplio,90609,22
HOJA_EN,SO,1,MAA,Partido Frente Amplio,2199808,18
HOJA_EN,SO,1,MAA,Partido Frente Amplio,13037647373,3
HOJA_EN,SO,2,MAA,Partido Frente Amplio,77,6
HOJA_EN,SO,2,MAA,Partido Frente Amplio,567,1
HOJA_EN,SO,2,MAA,Partido Frente Amplio,711,4
HOJA_EN,SO,2,MAA,Partido Frente Amplio,738,10
HOJA_EN,SO,2,MAA,Partido Frente Amplio,800,1
HOJA_EN,SO,2,MAA,Partido Frente Amplio,871,1
HOJA_EN,SO,2,MAA,Partido Frente Amplio,890,1
HOJA_EN,SO,2,MAA,Partido Frente Amplio,1001,6
HOJA_EN,SO,2,MAA,Partido Frente Amplio,1813,1
HOJA_EN,SO,2,MAA,Partido Frente Amplio,5271,1
HOJA_EN,SO,2,MAA,Partido Frente Amplio,90609,24
HOJA_EN,SO,2,MAA,Partido Frente Amplio,2199808,29
HOJA_EN,SO,2,MAA,Partido Frente Amplio,13037647373,1
HOJA_EN,SO,3,MAA,Partido Frente Amplio,9,1
HOJA_EN,SO,3,MAA,Partido Frente Amplio,77,3
HOJA_EN,SO,3,MAA,Partido Frente Amplio,205,1
HOJA_EN,SO,3,MAA,Partido Frente Amplio,711,2
HOJA_EN,SO,3,MAA,Partido Frente Amplio,738,6
HOJA_EN,SO,3,MAA,Partido Frente Amplio,800,2
HOJA_EN,SO,3,MAA,Partido Frente Amplio,890,3
HOJA_EN,SO,3,MAA,Partido Frente Amplio,1001,8
HOJA_EN,SO,3,MAA,Partido Frente Amplio,5271,1
HOJA_EN,SO,3,MAA,Partido Frente Amplio,90609,23
HOJA_EN,SO,3,MAA,Partido Frente Amplio,331152,2
HOJA_EN,SO,3,MAA,Partido Frente Amplio,2199808,17
HOJA_EN,SO,3,MAA,Partido Frente Amplio,9821764,2
HOJA_EN,SO,3,MAA,Partido Frente Amplio,13037647373,1
HOJA_EN,SO,4,MAA,Partido Frente Amplio,9,2
HOJA_EN,SO,4,MAA,Partido Frente Amplio,77,1
HOJA_EN,SO,4,MAA,Partido Frente Amplio,205,1
HOJA_EN,SO,4,MAA,Partido Frente Amplio,711,1
HOJA_EN,SO,4,MAA,Partido Frente Amplio,738,10
HOJA_EN,SO,4,MAA,Partido Frente Amplio,800,1
HOJA_EN,SO,4,MAA,Partido Frente Amplio,871,1
HOJA_EN,SO,4,MAA,Partido Frente Amplio,890,3
HOJA_EN,SO,4,MAA,Partido Frente Amplio,1001,6
HOJA_EN,SO,4,MAA,Partido Frente Amplio,1618,1
HOJA_EN,SO,4,MAA,Partido Frente Amplio,1968,2
HOJA_EN,SO,4,MAA,Partido Frente Amplio,8008,1
HOJA_EN,SO,4,MAA,Partido Frente Amplio,90609,33
HOJA_EN,SO,4,MAA,Partido Frente Amplio,2199808,27
HOJA_EN,SO,4,MAA,Partido Frente Amplio,13037647373,2
HOJA_EN,SO,5,MAA,Partido Frente Amplio,9,4
HOJA_EN,SO,5,MAA,Partido Frente Amplio,77,4
HOJA_EN,SO,5,MAA,Partido Frente Amplio,711,2
HOJA_EN,SO,5,MAA,Partido Frente Amplio,738,8
HOJA_EN,SO,5,MAA,Partido Frente Amplio,890,2
HOJA_EN,SO,5,MAA,Partido Frente Amplio,1001,10
HOJA_EN,SO,5,MAA,Partido Frente Amplio,5271,1
HOJA_EN,SO,5,MAA,Partido Frente Amplio,90609,39
HOJA_EN,SO,5,MAA,Partido Frente Amplio,331152,2
HOJA_EN,SO,5,MAA,Partido Frente Amplio,2199808,27
HOJA_EN,SO,5,MAA,Partido Frente Amplio,9821764,1
HOJA_EN,SO,5,MAA,Partido Frente Amplio,13037647373,3
HOJA_EN,SO,6,MAA,Partido Frente Amplio,9,6
HOJA_EN,SO,6,MAA,Partido Frente Amplio,77,5
HOJA_EN,SO,6,MAA,Partido Frente Amplio,738,6
HOJA_EN,SO,6,MAA,Partido Frente Amplio,871,2
HOJA_EN,SO,6,MAA,Partido Frente Amplio,890,3
HOJA_EN,SO,6,MAA,Partido Frente Amplio,1001,12
HOJA_EN,SO,6,MAA,Partido Frente Amplio,1618,1
HOJA_EN,SO,6,MAA,Partido Frente Amplio,90609,49
HOJA_EN,SO,6,MAA,Partido Frente Amplio,331152,2
