TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,TA,1,TAA,Partido Frente Amplio,49,1
HOJA_EN,TA,1,TAA,Partido Frente Amplio,77,3
HOJA_EN,TA,1,TAA,Partido Frente Amplio,609,16
HOJA_EN,TA,1,TAA,Partido Frente Amplio,711,1
HOJA_EN,TA,1,TAA,Partido Frente Amplio,982,1
HOJA_EN,TA,1,TAA,Partido Frente Amplio,1813,2
HOJA_EN,TA,1,TAA,Partido Frente Amplio,2603,2
HOJA_EN,TA,1,TAA,Partido Frente Amplio,901001,16
HOJA_EN,TA,1,TAA,Partido Frente Amplio,1983738,6
HOJA_EN,TA,1,TAA,Partido Frente Amplio,4992121,15
HOJA_EN,TA,2,TAA,Partido Frente Amplio,49,1
HOJA_EN,TA,2,TAA,Partido Frente Amplio,77,9
HOJA_EN,TA,2,TAA,Partido Frente Amplio,359,1
HOJA_EN,TA,2,TAA,Partido Frente Amplio,609,26
HOJA_EN,TA,2,TAA,Partido Frente Amplio,800,1
HOJA_EN,TA,2,TAA,Partido Frente Amplio,890,2
HOJA_EN,TA,2,TAA,Partido Frente Amplio,949,1
HOJA_EN,TA,2,TAA,Partido Frente Amplio,982,5
HOJA_EN,TA,2,TAA,Partido Frente Amplio,1618,1
HOJA_EN,TA,2,TAA,Partido Frente Amplio,1813,2
HOJA_EN,TA,2,TAA,Partido Frente Amplio,2603,4
HOJA_EN,TA,2,TAA,Partido Frente Amplio,901001,22
HOJA_EN,TA,2,TAA,Partido Frente Amplio,1983738,3
HOJA_EN,TA,2,TAA,Partido Frente Amplio,4992121,12
HOJA_EN,TA,3,TAA,Partido Frente Amplio,49,1
HOJA_EN,TA,3,TAA,Partido Frente Amplio,77,3
HOJA_EN,TA,3,TAA,Partido Frente Amplio,567,2
HOJA_EN,TA,3,TAA,Partido Frente Amplio,609,8
HOJA_EN,TA,3,TAA,Partido Frente Amplio,800,1
HOJA_EN,TA,3,TAA,Partido Frente Amplio,890,1
HOJA_EN,TA,3,TAA,Partido Frente Amplio,949,1
HOJA_EN,TA,3,TAA,Partido Frente Amplio,982,7
HOJA_EN,TA,3,TAA,Partido Frente Amplio,2603,1
HOJA_EN,TA,3,TAA,Partido Frente Amplio,901001,19
HOJA_EN,TA,3,TAA,Partido Frente Amplio,1983738,13
HOJA_EN,TA,3,TAA,Partido Frente Amplio,4992121,18
HOJA_EN,TA,4,TAA,Partido Frente Amplio,77,5
HOJA_EN,TA,4,TAA,Partido Frente Amplio,359,1
HOJA_EN,TA,4,TAA,Partido Frente Amplio,609,15
HOJA_EN,TA,4,TAA,Partido Frente Amplio,711,1
HOJA_EN,TA,4,TAA,Partido Frente Amplio,871,3
HOJA_EN,TA,4,TAA,Partido Frente Amplio,890,7
HOJA_EN,TA,4,TAA,Partido Frente Amplio,949,1
HOJA_EN,TA,4,TAA,Partido Frente Amplio,982,7
HOJA_EN,TA,4,TAA,Partido Frente Amplio,1618,1
HOJA_EN,TA,4,TAA,Partido Frente Amplio,1813,1
HOJA_EN,TA,4,TAA,Partido Frente Amplio,1968,1
HOJA_EN,TA,4,TAA,Partido Frente Amplio,901001,16
HOJA_EN,TA,4,TAA,Partido Frente Amplio,1983738,8
HOJA_EN,TA,4,TAA,Partido Frente Amplio,4992121,13
HOJA_EN,TA,5,TAA,Partido Frente Amplio,77,1
HOJA_EN,TA,5,TAA,Partido Frente Amplio,359,1
HOJA_EN,TA,5,TAA,Partido Frente Amplio,567,1
HOJA_EN,TA,5,TAA,Partido Frente Amplio,609,17
HOJA_EN,TA,5,TAA,Partido Frente Amplio,800,1
HOJA_EN,TA,5,TAA,Partido Frente Amplio,871,1
HOJA_EN,TA,5,TAA,Partido Frente Amplio,890,4
HOJA_EN,TA,5,TAA,Partido Frente Amplio,982,7
HOJA_EN,TA,5,TAA,Partido Frente Amplio,1618,1
HOJA_EN,TA,5,TAA,Partido Frente Amplio,1813,2
HOJA_EN,TA,5,TAA,Partido Frente Amplio,1968,1
HOJA_EN,TA,5,TAA,Partido Frente Amplio,2603,2
HOJA_EN,TA,5,TAA,Partido Frente Amplio,8008,1
HOJA_EN,TA,5,TAA,Partido Frente Amplio,901001,23
HOJA_EN,TA,5,TAA,Partido Frente Amplio,1983738,11
HOJA_EN,TA,5,TAA,Partido Frente Amplio,4992121,12
HOJA_EN,TA,6,TAA,Partido Frente Amplio,49,2
HOJA_EN,TA,6,TAA,Partido Frente Amplio,77,4
HOJA_EN,TA,6,TAA,Partido Frente Amplio,609,20
HOJA_EN,TA,6,TAA,Partido Frente Amplio,800,2
HOJA_EN,TA,6,TAA,Partido Frente Amplio,890,2
HOJA_EN,TA,6,TAA,Partido Frente Amplio,982,8
HOJA_EN,TA,6,TAA,Partido Frente Amplio,1813,2
HOJA_EN,TA,6,TAA,Partido Frente Amplio,901001,28
HOJA_EN,TA,6,TAA,Partido Frente Amplio,1983738,9
HOJA_EN,TA,6,TAA,Partido Frente Amplio,4992121,21
HOJA_EN,TA,7,TAA,Partido Frente Amplio,49,1
HOJA_EN,TA,7,TAA,Partido Frente Amplio,77,5
HOJA_EN,TA,7,TAA,Partido Frente Amplio,359,1
HOJA_EN,TA,7,TAA,Partido Frente Amplio,609,20
HOJA_EN,TA,7,TAA,Partido Frente Amplio,711,2
HOJA_EN,TA,7,TAA,Partido Frente Amplio,949,1
HOJA_EN,TA,7,TAA,Partido Frente Amplio,982,2
HOJA_EN,TA,7,TAA,Partido Frente Amplio,1813,2
HOJA_EN,TA,7,TAA,Partido Frente Amplio,1968,2
HOJA_EN,TA,7,TAA,Partido Frente Amplio,901001,18
HOJA_EN,TA,7,TAA,Partido Frente Amplio,1983738,7
HOJA_EN,TA,7,TAA,Partido Frente Amplio,4992121,26
HOJA_EN,TA,8,TAA,Partido Frente Amplio,49,3
HOJA_EN,TA,8,TAA,Partido Frente Amplio,77,5
HOJA_EN,TA,8,TAA,Partido Frente Amplio,609,22
HOJA_EN,TA,8,TAA,Partido Frente Amplio,871,2
HOJA_EN,TA,8,TAA,Partido Frente Amplio,890,4
HOJA_EN,TA,8,TAA,Partido Frente Amplio,982,5
HOJA_EN,TA,8,TAA,Partido Frente Amplio,901001,29
HOJA_EN,TA,8,TAA,Partido Frente Amplio,1983738,12
HOJA_EN,TA,8,TAA,Partido Frente Amplio,4992121,17
HOJA_EN,TA,9,TAA,Partido Frente Amplio,49,3
HOJA_EN,TA,9,TAA,Partido Frente Amplio,77,5
HOJA_EN,TA,9,TAA,Partido Frente Amplio,609,25
HOJA_EN,TA,9,TAA,Partido Frente Amplio,711,1
HOJA_EN,TA,9,TAA,Partido Frente Amplio,871,1
HOJA_EN,TA,9,TAA,Partido Frente Amplio,982,4
HOJA_EN,TA,9,TAA,Partido Frente Amplio,901001,27
HOJA_EN,TA,9,TAA,Partido Frente Amplio,1983738,7
HOJA_EN,TA,9,TAA,Partido Frente Amplio,4992121,14
HOJA_EN,TA,10,TAA,Partido Frente Amplio,49,2
HOJA_EN,TA,10,TAA,Partido Frente Amplio,77,3
HOJA_EN,TA,10,TAA,Partido Frente Amplio,205,1
HOJA_EN,TA,10,TAA,Partido Frente Amplio,359,3
HOJA_EN,TA,10,TAA,Partido Frente Amplio,567,2
HOJA_EN,TA,10,TAA,Partido Frente Amplio,609,21
HOJA_EN,TA,10,TAA,Partido Frente Amplio,800,1
HOJA_EN,TA,10,TAA,Partido Frente Amplio,890,5
HOJA_EN,TA,10,TAA,Partido Frente Amplio,1813,1
HOJA_EN,TA,10,TAA,Partido Frente Amplio,2603,1
HOJA_EN,TA,10,TAA,Partido Frente Amplio,901001,15
HOJA_EN,TA,10,TAA,Partido Frente Amplio,1983738,8
HOJA_EN,TA,10,TAA,Partido Frente Amplio,4992121,19
HOJA_EN,TA,11,TAA,Partido Frente Amplio,49,1
HOJA_EN,TA,11,TAA,Partido Frente Amplio,77,2
HOJA_EN,TA,11,TAA,Partido Frente Amplio,359,3
HOJA_EN,TA,11,TAA,Partido Frente Amplio,609,24
HOJA_EN,TA,11,TAA,Partido Frente Amplio,711,1
HOJA_EN,TA,11,TAA,Partido Frente Amplio,800,5
HOJA_EN,TA,11,TAA,Partido Frente Amplio,890,5
HOJA_EN,TA,11,TAA,Partido Frente Amplio,949,1
HOJA_EN,TA,11,TAA,Partido Frente Amplio,982,10
HOJA_EN,TA,11,TAA,Partido Frente Amplio,1618,1
HOJA_EN,TA,11,TAA,Partido Frente Amplio,901001,17
HOJA_EN,TA,11,TAA,Partido Frente Amplio,1983738,9
HOJA_EN,TA,11,TAA,Partido Frente Amplio,4992121,14
HOJA_EN,TA,12,TAA,Partido Frente Amplio,49,6
HOJA_EN,TA,12,TAA,Partido Frente Amplio,77,2
HOJA_EN,TA,12,TAA,Partido Frente Amplio,359,1
HOJA_EN,TA,12,TAA,Partido Frente Amplio,609,23
HOJA_EN,TA,12,TAA,Partido Frente Amplio,800,1
HOJA_EN,TA,12,TAA,Partido Frente Amplio,890,2
HOJA_EN,TA,12,TAA,Partido Frente Amplio,982,5
HOJA_EN,TA,12,TAA,Partido Frente Amplio,1618,1
HOJA_EN,TA,12,TAA,Partido Frente Amplio,1813,1
HOJA_EN,TA,12,TAA,Partido Frente Amplio,1968,3
HOJA_EN,TA,12,TAA,Partido Frente Amplio,2603,1
HOJA_EN,TA,12,TAA,Partido Frente Amplio,901001,29
HOJA_EN,TA,12,TAA,Partido Frente Amplio,1983738,9
HOJA_EN,TA,12,TAA,Partido Frente Amplio,4992121,14
HOJA_EN,TA,13,TAA,Partido Frente Amplio,49,2
HOJA_EN,TA,13,TAA,Partido Frente Amplio,77,4
HOJA_EN,TA,13,TAA,Partido Frente Amplio,359,1
HOJA_EN,TA,13,TAA,Partido Frente Amplio,609,27
HOJA_EN,TA,13,TAA,Partido Frente Amplio,800,1
HOJA_EN,TA,13,TAA,Partido Frente Amplio,890,2
HOJA_EN,TA,13,TAA,Partido Frente Amplio,949,1
HOJA_EN,TA,13,TAA,Partido Frente Amplio,982,4
HOJA_EN,TA,13,TAA,Partido Frente Amplio,2603,1
HOJA_EN,TA,13,TAA,Partido Frente Amplio,901001,27
HOJA_EN,TA,13,TAA,Partido Frente Amplio,1983738,9
HOJA_EN,TA,13,TAA,Partido Frente Amplio,4992121,24
HOJA_EN,TA,14,TAA,Partido Frente Amplio,49,3
HOJA_EN,TA,14,TAA,Partido Frente Amplio,77,1
HOJA_EN,TA,14,TAA,Partido Frente Amplio,359,1
HOJA_EN,TA,14,TAA,Partido Frente Amplio,609,30
HOJA_EN,TA,14,TAA,Partido Frente Amplio,711,3
HOJA_EN,TA,14,TAA,Partido Frente Amplio,800,2
HOJA_EN,TA,14,TAA,Partido Frente Amplio,982,4
HOJA_EN,TA,14,TAA,Partido Frente Amplio,1618,1
HOJA_EN,TA,14,TAA,Partido Frente Amplio,1813,1
HOJA_EN,TA,14,TAA,Partido Frente Amplio,1968,1
HOJA_EN,TA,14,TAA,Partido Frente Amplio,5271,1
HOJA_EN,TA,14,TAA,Partido Frente Amplio,901001,31
HOJA_EN,TA,14,TAA,Partido Frente Amplio,1983738,7
HOJA_EN,TA,14,TAA,Partido Frente Amplio,4992121,27
HOJA_EN,TA,15,TAA,Partido Frente Amplio,49,7
HOJA_EN,TA,15,TAA,Partido Frente Amplio,77,3
HOJA_EN,TA,15,TAA,Partido Frente Amplio,359,4
HOJA_EN,TA,15,TAA,Partido Frente Amplio,567,2
HOJA_EN,TA,15,TAA,Partido Frente Amplio,609,22
HOJA_EN,TA,15,TAA,Partido Frente Amplio,711,2
HOJA_EN,TA,15,TAA,Partido Frente Amplio,800,6
HOJA_EN,TA,15,TAA,Partido Frente Amplio,890,5
HOJA_EN,TA,15,TAA,Partido Frente Amplio,982,2
HOJA_EN,TA,15,TAA,Partido Frente Amplio,1813,2
HOJA_EN,TA,15,TAA,Partido Frente Amplio,1968,1
HOJA_EN,TA,15,TAA,Partido Frente Amplio,2603,1
HOJA_EN,TA,15,TAA,Partido Frente Amplio,8008,1
HOJA_EN,TA,15,TAA,Partido Frente Amplio,901001,28
HOJA_EN,TA,15,TAA,Partido Frente Amplio,1983738,6
HOJA_EN,TA,15,TAA,Partido Frente Amplio,4992121,21
HOJA_EN,TA,16,TAA,Partido Frente Amplio,49,2
HOJA_EN,TA,16,TAA,Partido Frente Amplio,77,5
HOJA_EN,TA,16,TAA,Partido Frente Amplio,359,1
HOJA_EN,TA,16,TAA,Partido Frente Amplio,609,21
HOJA_EN,TA,16,TAA,Partido Frente Amplio,711,2
HOJA_EN,TA,16,TAA,Partido Frente Amplio,890,3
HOJA_EN,TA,16,TAA,Partido Frente Amplio,949,2
HOJA_EN,TA,16,TAA,Partido Frente Amplio,982,9
HOJA_EN,TA,16,TAA,Partido Frente Amplio,1618,1
HOJA_EN,TA,16,TAA,Partido Frente Amplio,1813,1
HOJA_EN,TA,16,TAA,Partido Frente Amplio,901001,32
HOJA_EN,TA,16,TAA,Partido Frente Amplio,1983738,7
HOJA_EN,TA,16,TAA,Partido Frente Amplio,4992121,20
HOJA_EN,TA,17,TAA,Partido Frente Amplio,49,3
HOJA_EN,TA,17,TAA,Partido Frente Amplio,77,4
HOJA_EN,TA,17,TAA,Partido Frente Amplio,359,2
HOJA_EN,TA,17,TAA,Partido Frente Amplio,567,1
HOJA_EN,TA,17,TAA,Partido Frente Amplio,609,29
HOJA_EN,TA,17,TAA,Partido Frente Amplio,711,2
HOJA_EN,TA,17,TAA,Partido Frente Amplio,800,1
HOJA_EN,TA,17,TAA,Partido Frente Amplio,890,3
HOJA_EN,TA,17,TAA,Partido Frente Amplio,982,6
HOJA_EN,TA,17,TAA,Partido Frente Amplio,1618,1
HOJA_EN,TA,17,TAA,Partido Frente Amplio,1813,1
HOJA_EN,TA,17,TAA,Partido Frente Amplio,1968,1
HOJA_EN,TA,17,TAA,Partido Frente Amplio,2603,3
HOJA_EN,TA,17,TAA,Partido Frente Amplio,901001,22
HOJA_EN,TA,17,TAA,Partido Frente Amplio,1983738,8
HOJA_EN,TA,17,TAA,Partido Frente Amplio,4992121,22
HOJA_EN,TA,18,TAA,Partido Frente Amplio,49,4
HOJA_EN,TA,18,TAA,Partido Frente Amplio,77,4
HOJA_EN,TA,18,TAA,Partido Frente Amplio,205,1
HOJA_EN,TA,18,TAA,Partido Frente Amplio,359,2
HOJA_EN,TA,18,TAA,Partido Frente Amplio,567,1
HOJA_EN,TA,18,TAA,Partido Frente Amplio,609,15
HOJA_EN,TA,18,TAA,Partido Frente Amplio,711,1
HOJA_EN,TA,18,TAA,Partido Frente Amplio,800,2
HOJA_EN,TA,18,TAA,Partido Frente Amplio,890,6
HOJA_EN,TA,18,TAA,Partido Frente Amplio,949,3
HOJA_EN,TA,18,TAA,Partido Frente Amplio,982,2
HOJA_EN,TA,18,TAA,Partido Frente Amplio,1618,2
HOJA_EN,TA,18,TAA,Partido Frente Amplio,1813,1
HOJA_EN,TA,18,TAA,Partido Frente Amplio,1968,1
HOJA_EN,TA,18,TAA,Partido Frente Amplio,2603,5
HOJA_EN,TA,18,TAA,Partido Frente Amplio,5271,1
HOJA_EN,TA,18,TAA,Partido Frente Amplio,901001,34
HOJA_EN,TA,18,TAA,Partido Frente Amplio,1983738,6
HOJA_EN,TA,18,TAA,Partido Frente Amplio,4992121,23
HOJA_EN,TA,19,TAA,Partido Frente Amplio,49,2
HOJA_EN,TA,19,TAA,Partido Frente Amplio,77,8
HOJA_EN,TA,19,TAA,Partido Frente Amplio,205,1
HOJA_EN,TA,19,TAA,Partido Frente Amplio,359,2
HOJA_EN,TA,19,TAA,Partido Frente Amplio,609,20
HOJA_EN,TA,19,TAA,Partido Frente Amplio,800,3
HOJA_EN,TA,19,TAA,Partido Frente Amplio,890,3
HOJA_EN,TA,19,TAA,Partido Frente Amplio,949,3
HOJA_EN,TA,19,TAA,Partido Frente Amplio,982,4
HOJA_EN,TA,19,TAA,Partido Frente Amplio,1618,3
HOJA_EN,TA,19,TAA,Partido Frente Amplio,1813,4
HOJA_EN,TA,19,TAA,Partido Frente Amplio,2603,9
HOJA_EN,TA,19,TAA,Partido Frente Amplio,5271,1
HOJA_EN,TA,19,TAA,Partido Frente Amplio,8008,2
HOJA_EN,TA,19,TAA,Partido Frente Amplio,901001,25
HOJA_EN,TA,19,TAA,Partido Frente Amplio,1983738,4
HOJA_EN,TA,19,TAA,Partido Frente Amplio,4992121,23
HOJA_EN,TA,20,TAA,Partido Frente Amplio,49,1
HOJA_EN,TA,20,TAA,Partido Frente Amplio,77,1
HOJA_EN,TA,20,TAA,Partido Frente Amplio,205,1
HOJA_EN,TA,20,TAA,Partido Frente Amplio,359,1
HOJA_EN,TA,20,TAA,Partido Frente Amplio,609,19
HOJA_EN,TA,20,TAA,Partido Frente Amplio,711,1
HOJA_EN,TA,20,TAA,Partido Frente Amplio,800,4
HOJA_EN,TA,20,TAA,Partido Frente Amplio,871,1
HOJA_EN,TA,20,TAA,Partido Frente Amplio,890,1
HOJA_EN,TA,20,TAA,Partido Frente Amplio,982,7
HOJA_EN,TA,20,TAA,Partido Frente Amplio,1968,1
HOJA_EN,TA,20,TAA,Partido Frente Amplio,2603,1
HOJA_EN,TA,20,TAA,Partido Frente Amplio,8008,1
HOJA_EN,TA,20,TAA,Partido Frente Amplio,901001,17
HOJA_EN,TA,20,TAA,Partido Frente Amplio,1983738,3
HOJA_EN,TA,20,TAA,Partido Frente Amplio,4992121,21
HOJA_EN,TA,21,TAA,Partido Frente Amplio,49,4
HOJA_EN,TA,21,TAA,Partido Frente Amplio,77,4
HOJA_EN,TA,21,TAA,Partido Frente Amplio,205,1
HOJA_EN,TA,21,TAA,Partido Frente Amplio,359,1
HOJA_EN,TA,21,TAA,Partido Frente Amplio,609,26
HOJA_EN,TA,21,TAA,Partido Frente Amplio,871,1
HOJA_EN,TA,21,TAA,Partido Frente Amplio,890,4
HOJA_EN,TA,21,TAA,Partido Frente Amplio,982,2
HOJA_EN,TA,21,TAA,Partido Frente Amplio,1968,1
HOJA_EN,TA,21,TAA,Partido Frente Amplio,8008,1
HOJA_EN,TA,21,TAA,Partido Frente Amplio,901001,28
HOJA_EN,TA,21,TAA,Partido Frente Amplio,1983738,5
HOJA_EN,TA,21,TAA,Partido Frente Amplio,4992121,21
HOJA_EN,TA,22,TAA,Partido Frente Amplio,49,2
HOJA_EN,TA,22,TAA,Partido Frente Amplio,77,2
HOJA_EN,TA,22,TAA,Partido Frente Amplio,609,18
HOJA_EN,TA,22,TAA,Partido Frente Amplio,711,1
HOJA_EN,TA,22,TAA,Partido Frente Amplio,800,1
HOJA_EN,TA,22,TAA,Partido Frente Amplio,890,5
HOJA_EN,TA,22,TAA,Partido Frente Amplio,982,12
