TipoRegistro,Departamento,CRV,Series,Lema,Descripcion1,CantidadVotos
HOJA_EN,TT,1,FAA,Partido Frente Amplio,9,1
HOJA_EN,TT,1,FAA,Partido Frente Amplio,77,3
HOJA_EN,TT,1,FAA,Partido Frente Amplio,567,1
HOJA_EN,TT,1,FAA,Partido Frente Amplio,711,1
HOJA_EN,TT,1,FAA,Partido Frente Amplio,800,1
HOJA_EN,TT,1,FAA,Partido Frente Amplio,982,2
HOJA_EN,TT,1,FAA,Partido Frente Amplio,1789,7
HOJA_EN,TT,1,FAA,Partido Frente Amplio,3311,2
HOJA_EN,TT,1,FAA,Partido Frente Amplio,99000,2
HOJA_EN,TT,1,FAA,Partido Frente Amplio,402121,14
HOJA_EN,TT,1,FAA,Partido Frente Amplio,906091001,13
HOJA_EN,TT,2,FAA,Partido Frente Amplio,9,2
HOJA_EN,TT,2,FAA,Partido Frente Amplio,77,2
HOJA_EN,TT,2,FAA,Partido Frente Amplio,711,3
HOJA_EN,TT,2,FAA,Partido Frente Amplio,800,1
HOJA_EN,TT,2,FAA,Partido Frente Amplio,1618,1
HOJA_EN,TT,2,FAA,Partido Frente Amplio,1789,6
HOJA_EN,TT,2,FAA,Partido Frente Amplio,3311,3
HOJA_EN,TT,2,FAA,Partido Frente Amplio,99000,4
HOJA_EN,TT,2,FAA,Partido Frente Amplio,402121,22
HOJA_EN,TT,2,FAA,Partido Frente Amplio,906091001,28
HOJA_EN,TT,3,FAA,Partido Frente Amplio,9,3
HOJA_EN,TT,3,FAA,Partido Frente Amplio,77,2
HOJA_EN,TT,3,FAA,Partido Frente Amplio,711,1
HOJA_EN,TT,3,FAA,Partido Frente Amplio,800,1
HOJA_EN,TT,3,FAA,Partido Frente Amplio,890,2
HOJA_EN,TT,3,FAA,Partido Frente Amplio,982,2
HOJA_EN,TT,3,FAA,Partido Frente Amplio,1789,9
HOJA_EN,TT,3,FAA,Partido Frente Amplio,3311,1
HOJA_EN,TT,3,FAA,Partido Frente Amplio,8008,1
HOJA_EN,TT,3,FAA,Partido Frente Amplio,99000,2
HOJA_EN,TT,3,FAA,Partido Frente Amplio,402121,25
HOJA_EN,TT,3,FAA,Partido Frente Amplio,906091001,29
HOJA_EN,TT,4,FAA,Partido Frente Amplio,9,1
HOJA_EN,TT,4,FAA,Partido Frente Amplio,77,2
HOJA_EN,TT,4,FAA,Partido Frente Amplio,205,1
HOJA_EN,TT,4,FAA,Partido Frente Amplio,567,1
HOJA_EN,TT,4,FAA,Partido Frente Amplio,890,1
HOJA_EN,TT,4,FAA,Partido Frente Amplio,1789,9
HOJA_EN,TT,4,FAA,Partido Frente Amplio,3311,3
HOJA_EN,TT,4,FAA,Partido Frente Amplio,99000,3
HOJA_EN,TT,4,FAA,Partido Frente Amplio,402121,16
HOJA_EN,TT,4,FAA,Partido Frente Amplio,906091001,27
HOJA_EN,TT,5,FAA,Partido Frente Amplio,9,3
HOJA_EN,TT,5,FAA,Partido Frente Amplio,77,2
HOJA_EN,TT,5,FAA,Partido Frente Amplio,711,1
HOJA_EN,TT,5,FAA,Partido Frente Amplio,800,2
HOJA_EN,TT,5,FAA,Partido Frente Amplio,890,7
HOJA_EN,TT,5,FAA,Partido Frente Amplio,982,2
HOJA_EN,TT,5,FAA,Partido Frente Amplio,1789,6
HOJA_EN,TT,5,FAA,Partido Frente Amplio,3311,8
HOJA_EN,TT,5,FAA,Partido Frente Amplio,402121,19
HOJA_EN,TT,5,FAA,Partido Frente Amplio,906091001,32
HOJA_EN,TT,6,FAA,Partido Frente Amplio,9,2
HOJA_EN,TT,6,FAA,Partido Frente Amplio,77,3
HOJA_EN,TT,6,FAA,Partido Frente Amplio,711,1
HOJA_EN,TT,6,FAA,Partido Frente Amplio,800,2
HOJA_EN,TT,6,FAA,Partido Frente Amplio,871,1
HOJA_EN,TT,6,FAA,Partido Frente Amplio,890,4
