PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,RN,,LAA,No aplica,,1510,1,1
FRENTE AMPLIO,RN,,LAA,No aplica,,169,2,1
FRENTE AMPLIO,RN,,LAA,No aplica,,190,8,1
FRENTE AMPLIO,RN,,LAA,No aplica,,777,2,1
FRENTE AMPLIO,RN,,LAA,No aplica,,1441,1,1
FRENTE AMPLIO,RN,,LAA,No aplica,,1609,2,1
FRENTE AMPLIO,RN,,LAA,No aplica,,2001,6,1
FRENTE AMPLIO,RN,,LAA,No aplica,,5098,2,1
FRENTE AMPLIO,RN,,LAA,No aplica,,2150998908,3,1
PARTIDO COLORADO,RN,,LAA,No aplica,,6,5,1
PARTIDO COLORADO,RN,,LAA,No aplica,,125,1,1
PARTIDO COLORADO,RN,,LAA,No aplica,,2025,4,1
PARTIDO COLORADO,RN,,LAA,No aplica,,15600,3,1
PARTIDO COLORADO,RN,,LAA,No aplica,,15919,1,1
PARTIDO COLORADO,RN,,LAA,No aplica,,19007,4,1
PARTIDO NACIONAL,RN,,LAA,No aplica,,2,3,1
PARTIDO NACIONAL,RN,,LAA,No aplica,,44,1,1
PARTIDO NACIONAL,RN,,LAA,No aplica,,58,13,1
PARTIDO NACIONAL,RN,,LAA,No aplica,,88,1,1
PARTIDO NACIONAL,RN,,LAA,No aplica,,400,9,1
PARTIDO NACIONAL,RN,,LAA,No aplica,,4040,13,1
PARTIDO NACIONAL,RN,,LAA,No aplica,,5000,1,1
CABILDO ABIERTO,RN,,LAA,No aplica,,1,2,2
CABILDO ABIERTO,RN,,LAA,No aplica,,712,1,2
FRENTE AMPLIO,RN,,LAA,No aplica,,169,1,2
FRENTE AMPLIO,RN,,LAA,No aplica,,190,10,2
FRENTE AMPLIO,RN,,LAA,No aplica,,311,1,2
FRENTE AMPLIO,RN,,LAA,No aplica,,777,3,2
FRENTE AMPLIO,RN,,LAA,No aplica,,810,1,2
FRENTE AMPLIO,RN,,LAA,No aplica,,1567,1,2
FRENTE AMPLIO,RN,,LAA,No aplica,,1609,5,2
FRENTE AMPLIO,RN,,LAA,No aplica,,2001,10,2
FRENTE AMPLIO,RN,,LAA,No aplica,,5098,2,2
FRENTE AMPLIO,RN,,LAA,No aplica,,11828,2,2
FRENTE AMPLIO,RN,,LAA,No aplica,,2150998908,6,2
PARTIDO COLORADO,RN,,LAA,No aplica,,6,6,2
PARTIDO COLORADO,RN,,LAA,No aplica,,125,4,2
PARTIDO COLORADO,RN,,LAA,No aplica,,4242,2,2
PARTIDO COLORADO,RN,,LAA,No aplica,,15600,9,2
PARTIDO COLORADO,RN,,LAA,No aplica,,15919,1,2
PARTIDO COLORADO,RN,,LAA,No aplica,,19007,11,2
PARTIDO INDEPENDIENTE,RN,,LAA,No aplica,,999,2,2
PARTIDO NACIONAL,RN,,LAA,No aplica,,2,1,2
PARTIDO NACIONAL,RN,,LAA,No aplica,,44,3,2
PARTIDO NACIONAL,RN,,LAA,No aplica,,58,23,2
PARTIDO NACIONAL,RN,,LAA,No aplica,,88,1,2
PARTIDO NACIONAL,RN,,LAA,No aplica,,400,8,2
PARTIDO NACIONAL,RN,,LAA,No aplica,,997,2,2
PARTIDO NACIONAL,RN,,LAA,No aplica,,4040,13,2
PARTIDO NACIONAL,RN,,LAA,No aplica,,5000,2,2
CABILDO ABIERTO,RN,,LAA,No aplica,,1,1,3
CABILDO ABIERTO,RN,,LAA,No aplica,,712,1,3
CABILDO ABIERTO,RN,,LAA,No aplica,,1510,1,3
FRENTE AMPLIO,RN,,LAA,No aplica,,152,2,3
FRENTE AMPLIO,RN,,LAA,No aplica,,169,4,3
FRENTE AMPLIO,RN,,LAA,No aplica,,190,15,3
FRENTE AMPLIO,RN,,LAA,No aplica,,777,1,3
FRENTE AMPLIO,RN,,LAA,No aplica,,810,1,3
FRENTE AMPLIO,RN,,LAA,No aplica,,813,2,3
FRENTE AMPLIO,RN,,LAA,No aplica,,1609,6,3
FRENTE AMPLIO,RN,,LAA,No aplica,,2001,4,3
FRENTE AMPLIO,RN,,LAA,No aplica,,11828,2,3
FRENTE AMPLIO,RN,,LAA,No aplica,,2150998908,5,3
PARTIDO COLORADO,RN,,LAA,No aplica,,6,7,3
PARTIDO COLORADO,RN,,LAA,No aplica,,125,6,3
PARTIDO COLORADO,RN,,LAA,No aplica,,4242,2,3
PARTIDO COLORADO,RN,,LAA,No aplica,,15600,8,3
PARTIDO COLORADO,RN,,LAA,No aplica,,15919,1,3
PARTIDO COLORADO,RN,,LAA,No aplica,,19007,13,3
PARTIDO INDEPENDIENTE,RN,,LAA,No aplica,,999,1,3
PARTIDO NACIONAL,RN,,LAA,No aplica,,2,3,3
PARTIDO NACIONAL,RN,,LAA,No aplica,,44,6,3
PARTIDO NACIONAL,RN,,LAA,No aplica,,58,15,3
PARTIDO NACIONAL,RN,,LAA,No aplica,,88,1,3
