PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",90,1
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",1001,1
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",3311,1
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",5005,1
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",76,1
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",77,1
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",95,1
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",141,1
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",609,1
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",711,1
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",3098,1
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON,"GURMENDEZ ARMAND UGON, Gabriel",15,1
PARTIDO COLORADO,RN,,LAA,"GURMENDEZ ARMAND UGON,"GURMENDEZ ARMAND UGON, Gabriel",29000,1
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ,"OJEDA SPITZ, Andres",25,1
PARTIDO COLORADO,RN,,LAA,"OJEDA SPITZ,"OJEDA SPITZ, Andres",9007,1
PARTIDO COLORADO,RN,,LAA,"SILVA GARCIA,"SILVA GARCIA, Robert",600,1
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",5,1
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",40,1
PARTIDO NACIONAL,RN,,LAA,"DELGADO CERETTA,"DELGADO CERETTA, Alvaro Luis",404,1
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO,"GANDINI ASTESIANO, Jorge Osvaldo",250,1
PARTIDO NACIONAL,RN,,LAA,"GANDINI ASTESIANO,"GANDINI ASTESIANO, Jorge Osvaldo",25058,1
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI,"RAFFO DEGEROMINI, Maria Laura",20,1
PARTIDO NACIONAL,RN,,LAA,"RAFFO DEGEROMINI,"RAFFO DEGEROMINI, Maria Laura",7171,1
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA,"MANINI STRATTA, Guido",101,2
CABILDO ABIERTO,RN,,LAA,"MANINI STRATTA,"MANINI STRATTA, Guido",7001,2
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",90,2
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",1001,2
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",1358,2
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",3311,2
FRENTE AMPLIO,RN,,LAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",8008,2
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",76,2
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",77,2
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",95,2
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",609,2
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",711,2
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",1828,2
FRENTE AMPLIO,RN,,LAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",3098,2
