PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,RV,,HAA,No aplica,,88,2,HAA
CABILDO ABIERTO,RV,,HAA,No aplica,,1801,1,HAA
CABILDO ABIERTO,RV,,HAA,No aplica,,2424,1,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,33,1,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,176,2,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,190,1,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,738,1,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,777,1,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,833,1,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,1609,3,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,1711,2,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,2001,1,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,2121,1,HAA
PARTIDO COLORADO,RV,,HAA,No aplica,,42,1,HAA
PARTIDO COLORADO,RV,,HAA,No aplica,,121,3,HAA
PARTIDO COLORADO,RV,,HAA,No aplica,,1125,1,HAA
PARTIDO COLORADO,RV,,HAA,No aplica,,1225,3,HAA
PARTIDO COLORADO,RV,,HAA,No aplica,,2000,27,HAA
PARTIDO COLORADO,RV,,HAA,No aplica,,2071,1,HAA
PARTIDO COLORADO,RV,,HAA,No aplica,,20002,1,HAA
PARTIDO COLORADO,RV,,HAA,No aplica,,29500,5,HAA
PARTIDO NACIONAL,RV,,HAA,No aplica,,2,3,HAA
PARTIDO NACIONAL,RV,,HAA,No aplica,,12,4,HAA
PARTIDO NACIONAL,RV,,HAA,No aplica,,31,2,HAA
PARTIDO NACIONAL,RV,,HAA,No aplica,,50,5,HAA
PARTIDO NACIONAL,RV,,HAA,No aplica,,440,5,HAA
PARTIDO NACIONAL,RV,,HAA,No aplica,,1252,2,HAA
PARTIDO NACIONAL,RV,,HAA,No aplica,,1515,24,HAA
PARTIDO NACIONAL,RV,,HAA,No aplica,,2404,1,HAA
PARTIDO NACIONAL,RV,,HAA,No aplica,,3003,2,HAA
PARTIDO NACIONAL,RV,,HAA,No aplica,,8181,1,HAA
CABILDO ABIERTO,RV,,HAA,No aplica,,88,4,HAA
CABILDO ABIERTO,RV,,HAA,No aplica,,1801,1,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,99,4,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,176,3,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,190,1,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,228,1,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,738,3,HAA
FRENTE AMPLIO,RV,,HAA,No aplica,,777,3,HAA
