PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,RO,,EAA,No aplica,,323,3,EAA
CABILDO ABIERTO,RO,,EAA,No aplica,,1811,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,12,9,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,176,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,190,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,1609,8,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,2001,5,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,2121,3,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,199000,1,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,23,3,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,350,1,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,712,4,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,2929,1,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,4215,1,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,5115,3,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,5600,1,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,7009,2,EAA
PARTIDO INDEPENDIENTE,RO,,EAA,No aplica,,999,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,1,4,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,33,2,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,80,2,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,503,2,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,710,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,903,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,1252,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,2504,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,3404,2,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,4044,8,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,4404,6,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,250250,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,404404,13,EAA
CABILDO ABIERTO,RO,,EAA,No aplica,,323,2,EAA
CABILDO ABIERTO,RO,,EAA,No aplica,,1811,4,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,12,9,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,152,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,190,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,1609,16,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,2001,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,2121,1,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,23,7,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,712,6,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,5115,7,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,5600,6,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,7009,4,EAA
PARTIDO DE LA ARMONÍA,RO,,EAA,No aplica,,1369,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,1,5,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,33,4,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,80,4,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,503,5,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,710,4,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,897,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,903,6,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,904,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,3333,5,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,3404,13,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,4044,4,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,4404,5,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,5404,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,7171,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,62404,2,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,250250,3,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,404404,16,EAA
CABILDO ABIERTO,RO,,EAA,No aplica,,323,2,EAA
CABILDO ABIERTO,RO,,EAA,No aplica,,1811,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,12,10,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,152,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,190,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,777,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,1609,21,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,2001,6,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,2121,2,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,23,5,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,32,1,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,712,5,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,5115,9,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,5600,10,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,7009,4,EAA
PARTIDO DE LA ARMONÍA,RO,,EAA,No aplica,,1369,1,EAA
PARTIDO INDEPENDIENTE,RO,,EAA,No aplica,,999,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,1,4,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,33,10,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,71,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,80,3,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,503,6,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,710,5,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,903,10,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,3333,3,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,3404,6,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,4044,2,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,4404,15,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,7171,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,8880,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,62404,3,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,250250,5,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,404404,10,EAA
ASAMBLEA POPULAR,RO,,EAA,No aplica,,11969,1,EAA
CABILDO ABIERTO,RO,,EAA,No aplica,,323,5,EAA
CABILDO ABIERTO,RO,,EAA,No aplica,,1811,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,12,2,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,777,2,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,1609,22,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,1949,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,2001,7,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,2121,2,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,23,5,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,32,1,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,712,4,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,5115,4,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,5600,3,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,7009,6,EAA
PARTIDO DE LA ARMONÍA,RO,,EAA,No aplica,,1369,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,1,7,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,33,13,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,80,3,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,503,7,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,710,2,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,903,9,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,904,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,3333,3,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,3404,11,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,4044,3,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,4404,8,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,7171,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,8880,2,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,20129,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,62404,4,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,250250,3,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,404404,25,EAA
ASAMBLEA POPULAR,RO,,EAA,No aplica,,11969,1,EAA
CABILDO ABIERTO,RO,,EAA,No aplica,,1811,4,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,12,12,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,1609,17,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,2001,3,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,23,3,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,32,2,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,712,6,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,5115,9,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,5600,4,EAA
PARTIDO COLORADO,RO,,EAA,No aplica,,7009,2,EAA
PARTIDO DE LA ARMONÍA,RO,,EAA,No aplica,,1369,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,1,12,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,33,12,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,80,2,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,503,4,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,710,3,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,897,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,903,8,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,904,5,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,3333,5,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,3404,12,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,4044,5,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,4404,13,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,5404,2,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,7171,1,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,8880,2,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,62404,5,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,250250,6,EAA
PARTIDO NACIONAL,RO,,EAA,No aplica,,404404,26,EAA
ASAMBLEA POPULAR,RO,,EAA,No aplica,,11969,2,EAA
CABILDO ABIERTO,RO,,EAA,No aplica,,323,1,EAA
CABILDO ABIERTO,RO,,EAA,No aplica,,1811,2,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,12,13,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,152,2,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,190,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,777,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,1567,1,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,1609,22,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,2001,3,EAA
FRENTE AMPLIO,RO,,EAA,No aplica,,2121,3,EAA
