PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,RO,,EAA,"MANINI STRATTA, Guido",,8,3,EAA
FRENTE AMPLIO,RO,,EAA,"COSSE GARRIDO, Ana Carolina",,90,2,EAA
FRENTE AMPLIO,RO,,EAA,"COSSE GARRIDO, Ana Carolina",,1001,4,EAA
FRENTE AMPLIO,RO,,EAA,"COSSE GARRIDO, Ana Carolina",,3311,1,EAA
FRENTE AMPLIO,RO,,EAA,"COSSE GARRIDO, Ana Carolina",,5005,1,EAA
FRENTE AMPLIO,RO,,EAA,"COSSE GARRIDO, Ana Carolina",,41090,1,EAA
FRENTE AMPLIO,RO,,EAA,"COSSE GARRIDO, Ana Carolina",,99000,1,EAA
FRENTE AMPLIO,RO,,EAA,"ORSI MARTINEZ, Yamandu Ramon",,52,1,EAA
FRENTE AMPLIO,RO,,EAA,"ORSI MARTINEZ, Yamandu Ramon",,76,1,EAA
FRENTE AMPLIO,RO,,EAA,"ORSI MARTINEZ, Yamandu Ramon",,95,7,EAA
FRENTE AMPLIO,RO,,EAA,"ORSI MARTINEZ, Yamandu Ramon",,609,10,EAA
PARTIDO COLORADO,RO,,EAA,"GURMENDEZ ARMAND UGON, Gabriel",,2323,3,EAA
PARTIDO COLORADO,RO,,EAA,"GURMENDEZ ARMAND UGON, Gabriel",,29000,1,EAA
PARTIDO COLORADO,RO,,EAA,"OJEDA SPITZ, Andres",,1551,3,EAA
PARTIDO COLORADO,RO,,EAA,"OJEDA SPITZ, Andres",,9007,2,EAA
PARTIDO COLORADO,RO,,EAA,"SILVA GARCIA, Robert",,600,1,EAA
PARTIDO COLORADO,RO,,EAA,"SILVA GARCIA, Robert",,2712,4,EAA
PARTIDO COLORADO,RO,,EAA,"VIERA DUARTE, Tabare",,2000,1,EAA
PARTIDO COLORADO,RO,,EAA,"VIERA DUARTE, Tabare",,42000,1,EAA
PARTIDO INDEPENDIENTE,RO,,EAA,"MIERES GOMEZ, Pablo Andres",,909,1,EAA
PARTIDO NACIONAL,RO,,EAA,"DELGADO CERETTA, Alvaro Luis",,404,26,EAA
PARTIDO NACIONAL,RO,,EAA,"DELGADO CERETTA, Alvaro Luis",,4040,6,EAA
PARTIDO NACIONAL,RO,,EAA,"GANDINI ASTESIANO, Jorge Osvaldo",,250,1,EAA
PARTIDO NACIONAL,RO,,EAA,"IAFIGLIOLA PIMENTEL, Carlos Alberto",,252,1,EAA
PARTIDO NACIONAL,RO,,EAA,"RAFFO DEGEROMINI, Maria Laura",,401,3,EAA
PARTIDO NACIONAL,RO,,EAA,"RAFFO DEGEROMINI, Maria Laura",,504,1,EAA
PARTIDO NACIONAL,RO,,EAA,"RAFFO DEGEROMINI, Maria Laura",,2004,2,EAA
PARTIDO NACIONAL,RO,,EAA,"RAFFO DEGEROMINI, Maria Laura",,3371,3,EAA
CABILDO ABIERTO,RO,,EAA,"MANINI STRATTA, Guido",,8,1,EAA
CABILDO ABIERTO,RO,,EAA,"MANINI STRATTA, Guido",,1764,4,EAA
FRENTE AMPLIO,RO,,EAA,"COSSE GARRIDO, Ana Carolina",,90,2,EAA
FRENTE AMPLIO,RO,,EAA,"COSSE GARRIDO, Ana Carolina",,545,1,EAA
FRENTE AMPLIO,RO,,EAA,"COSSE GARRIDO, Ana Carolina",,1001,2,EAA
FRENTE AMPLIO,RO,,EAA,"COSSE GARRIDO, Ana Carolina",,1358,5,EAA
FRENTE AMPLIO,RO,,EAA,"COSSE GARRIDO, Ana Carolina",,3311,1,EAA
FRENTE AMPLIO,RO,,EAA,"COSSE GARRIDO, Ana Carolina",,5005,2,EAA
FRENTE AMPLIO,RO,,EAA,"COSSE GARRIDO, Ana Carolina",,9393,1,EAA
FRENTE AMPLIO,RO,,EAA,"ORSI MARTINEZ, Yamandu Ramon",,52,1,EAA
FRENTE AMPLIO,RO,,EAA,"ORSI MARTINEZ, Yamandu Ramon",,95,2,EAA
FRENTE AMPLIO,RO,,EAA,"ORSI MARTINEZ, Yamandu Ramon",,609,14,EAA
PARTIDO COLORADO,RO,,EAA,"GURMENDEZ ARMAND UGON, Gabriel",,2323,6,EAA
PARTIDO COLORADO,RO,,EAA,"OJEDA SPITZ, Andres",,1125,2,EAA
PARTIDO COLORADO,RO,,EAA,"OJEDA SPITZ, Andres",,1551,6,EAA
PARTIDO COLORADO,RO,,EAA,"OJEDA SPITZ, Andres",,9007,4,EAA
PARTIDO COLORADO,RO,,EAA,"SILVA GARCIA, Robert",,600,6,EAA
PARTIDO COLORADO,RO,,EAA,"SILVA GARCIA, Robert",,2712,5,EAA
PARTIDO DE LA ARMONÍA,RO,,EAA,"MARTINEZ IZAGUIRRE, Ruben Ariel",,1258,1,EAA
PARTIDO NACIONAL,RO,,EAA,"DELGADO CERETTA, Alvaro Luis",,97,1,EAA
PARTIDO NACIONAL,RO,,EAA,"DELGADO CERETTA, Alvaro Luis",,404,50,EAA
