PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
ASAMBLEA POPULAR,SJ,,OAA,No aplica,,1326,1,OAA
CABILDO ABIERTO,SJ,,OAA,No aplica,,1811,1,OAA
CABILDO ABIERTO,SJ,,OAA,No aplica,,2023,2,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,190,4,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,777,7,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1502,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1609,14,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1711,2,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1949,5,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2001,10,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2121,4,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,3041,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,199000,3,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,45,8,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,1600,5,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,9915,3,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,2,7,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,206,2,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,404,64,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,418,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,922,1,OAA
CABILDO ABIERTO,SJ,,OAA,No aplica,,1811,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,119,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,190,4,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,777,10,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1567,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1609,23,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1624,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1711,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1949,12,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2001,9,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,3041,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,199000,7,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,45,8,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,1600,3,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,2323,1,OAA
PARTIDO INDEPENDIENTE,SJ,,OAA,No aplica,,999,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,2,4,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,31,4,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,206,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,404,56,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,1122,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,6922,1,OAA
CABILDO ABIERTO,SJ,,OAA,No aplica,,1811,2,OAA
CABILDO ABIERTO,SJ,,OAA,No aplica,,8888,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,190,2,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,777,8,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1441,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1502,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1609,14,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1949,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2001,19,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2121,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,3041,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,11968,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,199000,2,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,45,3,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,115,1,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,1600,5,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,2000,2,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,220000,2,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,2,5,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,21,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,31,2,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,206,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,404,57,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,1122,1,OAA
CABILDO ABIERTO,SJ,,OAA,No aplica,,1811,2,OAA
CABILDO ABIERTO,SJ,,OAA,No aplica,,21820,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,190,4,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,777,7,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1441,2,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1502,6,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1609,27,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1624,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1711,2,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1949,4,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2001,11,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2121,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,3041,2,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,199000,3,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,15,3,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,45,2,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,1600,7,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,9915,1,OAA
PARTIDO DE LA ARMONÍA,SJ,,OAA,No aplica,,1369,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,2,10,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,206,2,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,404,45,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,897,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,1122,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,6922,1,OAA
CABILDO ABIERTO,SJ,,OAA,No aplica,,2023,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,190,4,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,777,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1441,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1502,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1609,20,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1624,2,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1711,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1949,6,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2001,10,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2121,4,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,3041,3,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,45,3,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,9915,2,OAA
PARTIDO INDEPENDIENTE,SJ,,OAA,No aplica,,999,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,2,6,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,31,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,206,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,404,48,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,922,1,OAA
CABILDO ABIERTO,SJ,,OAA,No aplica,,1811,2,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,190,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,777,4,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1609,21,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1624,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1711,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1949,11,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2001,7,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2121,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,11968,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,199000,2,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,15,1,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,45,2,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,1600,5,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,9915,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,2,4,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,31,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,404,47,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,1122,1,OAA
CABILDO ABIERTO,SJ,,OAA,No aplica,,2023,2,OAA
CABILDO ABIERTO,SJ,,OAA,No aplica,,8888,2,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,190,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,777,4,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1441,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1502,4,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1609,20,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1711,5,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1949,2,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2001,6,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2121,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,199000,1,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,45,2,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,9915,1,OAA
PARTIDO INDEPENDIENTE,SJ,,OAA,No aplica,,999,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,2,2,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,31,3,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,206,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,404,33,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,1122,1,OAA
PARTIDO NACIONAL,SJ,,OAA,No aplica,,6922,1,OAA
CABILDO ABIERTO,SJ,,OAA,No aplica,,1811,1,OAA
CABILDO ABIERTO,SJ,,OAA,No aplica,,2023,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,190,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,777,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1441,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1502,4,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1609,17,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1711,1,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,1949,5,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2001,3,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,2121,4,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,3041,4,OAA
FRENTE AMPLIO,SJ,,OAA,No aplica,,199000,1,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,15,1,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,45,2,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,1600,1,OAA
PARTIDO COLORADO,SJ,,OAA,No aplica,,2000,1,OAA
