PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
ASAMBLEA POPULAR,SJ,,OAA,No aplica,,1326,1,1
CABILDO ABIERTO,SJ,,OAA,No aplica,,1811,1,1
CABILDO ABIERTO,SJ,,OAA,No aplica,,2023,2,1
FRENTE AMPLIO,SJ,,OAA,No aplica,,190,4,1
FRENTE AMPLIO,SJ,,OAA,No aplica,,777,7,1
FRENTE AMPLIO,SJ,,OAA,No aplica,,1502,1,1
FRENTE AMPLIO,SJ,,OAA,No aplica,,1609,14,1
FRENTE AMPLIO,SJ,,OAA,No aplica,,1711,2,1
FRENTE AMPLIO,SJ,,OAA,No aplica,,1949,5,1
FRENTE AMPLIO,SJ,,OAA,No aplica,,2001,10,1
FRENTE AMPLIO,SJ,,OAA,No aplica,,2121,4,1
FRENTE AMPLIO,SJ,,OAA,No aplica,,3041,3,1
FRENTE AMPLIO,SJ,,OAA,No aplica,,199000,3,1
PARTIDO COLORADO,SJ,,OAA,No aplica,,45,8,1
PARTIDO COLORADO,SJ,,OAA,No aplica,,1600,5,1
PARTIDO COLORADO,SJ,,OAA,No aplica,,9915,3,1
PARTIDO NACIONAL,SJ,,OAA,No aplica,,2,7,1
PARTIDO NACIONAL,SJ,,OAA,No aplica,,206,2,1
PARTIDO NACIONAL,SJ,,OAA,No aplica,,404,64,1
PARTIDO NACIONAL,SJ,,OAA,No aplica,,418,1,1
PARTIDO NACIONAL,SJ,,OAA,No aplica,,922,1,1
CABILDO ABIERTO,SJ,,OAA,No aplica,,1811,3,2
FRENTE AMPLIO,SJ,,OAA,No aplica,,119,1,2
FRENTE AMPLIO,SJ,,OAA,No aplica,,190,4,2
FRENTE AMPLIO,SJ,,OAA,No aplica,,777,10,2
FRENTE AMPLIO,SJ,,OAA,No aplica,,1567,1,2
FRENTE AMPLIO,SJ,,OAA,No aplica,,1609,23,2
FRENTE AMPLIO,SJ,,OAA,No aplica,,1624,1,2
FRENTE AMPLIO,SJ,,OAA,No aplica,,1711,1,2
FRENTE AMPLIO,SJ,,OAA,No aplica,,1949,12,2
FRENTE AMPLIO,SJ,,OAA,No aplica,,2001,9,2
FRENTE AMPLIO,SJ,,OAA,No aplica,,3041,1,2
FRENTE AMPLIO,SJ,,OAA,No aplica,,199000,7,2
PARTIDO COLORADO,SJ,,OAA,No aplica,,45,8,2
PARTIDO COLORADO,SJ,,OAA,No aplica,,1600,3,2
PARTIDO COLORADO,SJ,,OAA,No aplica,,2323,1,2
PARTIDO INDEPENDIENTE,SJ,,OAA,No aplica,,999,1,2
PARTIDO NACIONAL,SJ,,OAA,No aplica,,2,4,2
PARTIDO NACIONAL,SJ,,OAA,No aplica,,31,4,2
PARTIDO NACIONAL,SJ,,OAA,No aplica,,206,1,2
PARTIDO NACIONAL,SJ,,OAA,No aplica,,404,56,2
PARTIDO NACIONAL,SJ,,OAA,No aplica,,1122,1,2
PARTIDO NACIONAL,SJ,,OAA,No aplica,,6922,1,2
CABILDO ABIERTO,SJ,,OAA,No aplica,,1811,2,3
CABILDO ABIERTO,SJ,,OAA,No aplica,,8888,1,3
FRENTE AMPLIO,SJ,,OAA,No aplica,,190,2,3
FRENTE AMPLIO,SJ,,OAA,No aplica,,777,8,3
FRENTE AMPLIO,SJ,,OAA,No aplica,,1441,1,3
FRENTE AMPLIO,SJ,,OAA,No aplica,,1502,3,3
FRENTE AMPLIO,SJ,,OAA,No aplica,,1609,14,3
FRENTE AMPLIO,SJ,,OAA,No aplica,,1949,3,3
FRENTE AMPLIO,SJ,,OAA,No aplica,,2001,19,3
FRENTE AMPLIO,SJ,,OAA,No aplica,,2121,3,3
FRENTE AMPLIO,SJ,,OAA,No aplica,,3041,3,3
FRENTE AMPLIO,SJ,,OAA,No aplica,,11968,1,3
FRENTE AMPLIO,SJ,,OAA,No aplica,,199000,2,3
PARTIDO COLORADO,SJ,,OAA,No aplica,,45,3,3
