PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
ASAMBLEA POPULAR,SJ,,OAA,"MARTÍNEZ MARUCA,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1
CABILDO ABIERTO,SJ,,OAA,"MANINI STRATTA,"MANINI STRATTA, Guido",811,1
CABILDO ABIERTO,SJ,,OAA,"MANINI STRATTA,"MANINI STRATTA, Guido",1088,1
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",90,1
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",817,1
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",1001,1
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",1358,1
FRENTE AMPLIO,SJ,,OAA,"COSSE GARRIDO,"COSSE GARRIDO, Ana Carolina",99000,1
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",77,1
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",95,1
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",502,1
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",609,1
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",711,1
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",949,1
FRENTE AMPLIO,SJ,,OAA,"ORSI MARTINEZ,"ORSI MARTINEZ, Yamandu Ramon",8811,1
PARTIDO COLORADO,SJ,,OAA,"GURMENDEZ ARMAND UGON,"GURMENDEZ ARMAND UGON, Gabriel",915,1
PARTIDO COLORADO,SJ,,OAA,"OJEDA SPITZ,"OJEDA SPITZ, Andres",25,1
