PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
CABILDO ABIERTO,TA,,TAA,No aplica,,88,2,TAA
CABILDO ABIERTO,TA,,TAA,No aplica,,551825,1,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,190,2,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,195,2,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,499,2,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,777,1,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,1609,5,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,2001,2,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,11828,2,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,212176,1,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,75,1,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,125,1,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,615,1,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,2020,5,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,2220,1,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,152215,3,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,185600,4,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,202215,1,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,815600,7,TAA
PARTIDO DEVOLUCIÓN,TA,,TAA,No aplica,,7775,1,TAA
PARTIDO INDEPENDIENTE,TA,,TAA,No aplica,,180,1,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,33,5,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,50,36,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,97,3,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,500,1,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,1252,1,TAA
ASAMBLEA POPULAR,TA,,TAA,No aplica,,1326,1,TAA
CABILDO ABIERTO,TA,,TAA,No aplica,,88,2,TAA
CABILDO ABIERTO,TA,,TAA,No aplica,,4203,2,TAA
CABILDO ABIERTO,TA,,TAA,No aplica,,551825,3,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,9,2,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,190,3,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,195,8,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,499,1,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,777,4,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,1567,1,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,1609,9,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,2001,3,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,7010,1,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,11828,2,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,212176,2,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,125,4,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,615,7,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,2020,11,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,7009,1,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,108515,1,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,152215,1,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,185600,4,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,815600,3,TAA
PARTIDO DEVOLUCIÓN,TA,,TAA,No aplica,,7775,1,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,32,1,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,33,15,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,50,59,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,97,3,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,500,1,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,1252,1,TAA
CABILDO ABIERTO,TA,,TAA,No aplica,,88,2,TAA
CABILDO ABIERTO,TA,,TAA,No aplica,,4203,1,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,9,4,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,119,1,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,152,1,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,190,3,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,195,4,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,1609,10,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,2001,8,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,7010,1,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,212176,2,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,125,4,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,615,8,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,2020,12,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,2220,2,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,152215,3,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,185600,3,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,815600,2,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,22,2,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,33,20,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,50,51,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,74,1,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,97,4,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,500,2,TAA
PARTIDO NACIONAL,TA,,TAA,No aplica,,9696,1,TAA
CABILDO ABIERTO,TA,,TAA,No aplica,,88,3,TAA
CABILDO ABIERTO,TA,,TAA,No aplica,,551825,1,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,190,9,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,195,9,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,499,5,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,777,3,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,1441,1,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,1567,2,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,1609,14,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,2001,8,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,7010,2,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,11828,3,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,11968,1,TAA
FRENTE AMPLIO,TA,,TAA,No aplica,,212176,6,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,75,4,TAA
PARTIDO COLORADO,TA,,TAA,No aplica,,125,3,TAA
