ACTO;CONVOCATORIA;SERIE;ZONA;ESCRUTINIO;HOJA;CNT_VOTOS
30/6/2024;Partido_Nacional;AAA;Aduana ( Guruyú);Primario;4;15
30/6/2024;Partido_Nacional;AAB;Aduana ( Guruyú);Primario;4;0
30/6/2024;Partido_Nacional;ABA;Ciudad Vieja (norte);Primario;4;0
30/6/2024;Partido_Nacional;ACA;Rambla (zona Sur);Primario;4;3
30/6/2024;Partido_Nacional;ACB;Guruyú (zona sur);Primario;4;0
30/6/2024;Partido_Nacional;ADA;Rambla (zona sur);Primario;4;1
30/6/2024;Partido_Nacional;AEA;Plaza Independencia (norte, ady.);Primario;4;3
30/6/2024;Partido_Nacional;AEB;Plaza Independencia (norte, rambla portu;Primario;4;0
30/6/2024;Partido_Nacional;AFA;Centro (norte de 18 de Julio);Primario;4;1
30/6/2024;Partido_Nacional;AGA;Zona de la Rambla y Barrio Sur (sur);Primario;4;1
30/6/2024;Partido_Nacional;AGB;Centro - Plaza Independencia;Primario;4;1
30/6/2024;Partido_Nacional;AHA;Centro - Sur de 18 de Julio;Primario;4;4
30/6/2024;Partido_Nacional;AHB;Barrio Sur (sur);Primario;4;0
30/6/2024;Partido_Nacional;AIA;Centro - Norte de 18 de Julio;Primario;4;15
30/6/2024;Partido_Nacional;AIB;Centro - Norte de 18 de Julio;Primario;4;2
30/6/2024;Partido_Nacional;AJA;Centro- Norte de 18 de Julio;Primario;4;4
30/6/2024;Partido_Nacional;AJB;Centro- Norte de 18 de Julio;Primario;4;2
30/6/2024;Partido_Nacional;AKA;Barrio Sur (sur);Primario;4;24
30/6/2024;Partido_Nacional;AKB;Barrio Sur (sur);Primario;4;0
30/6/2024;Partido_Nacional;ALA;Centro - Monumento El Gaucho - Cement. C;Primario;4;1
30/6/2024;Partido_Nacional;ALB;Centro - Monumento El Gaucho - Cement. C;Primario;4;1
30/6/2024;Partido_Nacional;AMA;Cordón Norte;Primario;4;1
30/6/2024;Partido_Nacional;AMB;Cordón Norte;Primario;4;0
30/6/2024;Partido_Nacional;ANA;Cordón Norte y ady. 18 de Julio;Primario;4;0
30/6/2024;Partido_Nacional;ANB;Cordón Norte y ady. 18 de Julio;Primario;4;0
30/6/2024;Partido_Nacional;AOA;Centro ( 18 de Julio y Constituyente);Primario;4;3
30/6/2024;Partido_Nacional;AOB;Centro (18 de Julio y Constituyente);Primario;4;1
30/6/2024;Partido_Nacional;APA;Barrio Palermo (zona sur);Primario;4;9
30/6/2024;Partido_Nacional;APB;Barrio Palermo (zona sur);Primario;4;1
30/6/2024;Partido_Nacional;AQA;Parque Rodó;Primario;4;6
30/6/2024;Partido_Nacional;AQB;Parque Rodó;Primario;4;3
30/6/2024;Partido_Nacional;ARA;Cordón;Primario;4;9
30/6/2024;Partido_Nacional;ARB;Cordón;Primario;4;1
30/6/2024;Partido_Nacional;ASA;Cordón Norte;Primario;4;9
30/6/2024;Partido_Nacional;ASB;Cordón Norte;Primario;4;0
30/6/2024;Partido_Nacional;ATA;Cordón Norte - Monumento La Bandera;Primario;4;8
30/6/2024;Partido_Nacional;ATB;Monumento La Bandera ( norte - ady);Primario;4;13
30/6/2024;Partido_Nacional;AUA;Blanqueada;Primario;4;10
30/6/2024;Partido_Nacional;AUB;Blanqueada;Primario;4;21
30/6/2024;Partido_Nacional;AVA;Cordón;Primario;4;17
30/6/2024;Partido_Nacional;AVB;Parque Rodó;Primario;4;3
30/6/2024;Partido_Nacional;AXA;Pocitos Nuevo - Trouville;Primario;4;31
30/6/2024;Partido_Nacional;AXB;Trouville - Villa Biarritz;Primario;4;59
30/6/2024;Partido_Nacional;AZA;Parque Batlle al sur - Tres Cruces;Primario;4;46
30/6/2024;Partido_Nacional;AZB;Pocitos ( zona playa);Primario;4;31
30/6/2024;Partido_Nacional;BAA;Parq Pereira Rossell - Pocitos - Puerto;Primario;4;42
30/6/2024;Partido_Nacional;BAB;Parq Batlle - Villa Dolores - Buceo;Primario;4;28
30/6/2024;Partido_Nacional;BBA;Pérez Castellanos - Cilindro - Villa Esp;Primario;4;16
30/6/2024;Partido_Nacional;BBB;Pérez Castellanos - Cilindro - Villa Esp;Primario;4;17
30/6/2024;Partido_Nacional;BBC;Perez Castellano;Primario;4;4
30/6/2024;Partido_Nacional;BBD;Perez Castellano;Primario;4;1
30/6/2024;Partido_Nacional;BCA;Buceo - Malvín Nuevo;Primario;4;81
