PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Asamblea Popular,Canelones,4,CAA,Departamental,1326,1,Canelones
Asamblea Popular,Canelones,5,CAA,Departamental,11917,1,Canelones
Asamblea Popular,Canelones,7,CAA,Departamental,1326,1,Canelones
Asamblea Popular,Canelones,8,CAA,Departamental,11917,1,Canelones
Asamblea Popular,Canelones,11,CAA,Departamental,1326,1,Canelones
Asamblea Popular,Canelones,14,CAA,Departamental,969,1,Canelones
Asamblea Popular,Canelones,17,CAA,Departamental,1326,1,Canelones
Asamblea Popular,Canelones,22,CAA,Departamental,11917,1,Canelones
Asamblea Popular,Canelones,47,CAA,Departamental,1326,1,Canelones
Asamblea Popular,Canelones,56,CBA,Departamental,1326,1,Santa Lucía
Asamblea Popular,Canelones,67,CBA,Departamental,969,1,Santa Lucía
Asamblea Popular,Canelones,70,CBA,Departamental,1326,1,Santa Lucía
Asamblea Popular,Canelones,87,CBA,Departamental,1326,1,Santa Lucía
Asamblea Popular,Canelones,89,CBA,Departamental,1326,1,Santa Lucía
Asamblea Popular,Canelones,94,CCA,Departamental,1326,1,Los Cerrillos
Asamblea Popular,Canelones,113,CDA,Departamental,1326,1,Las Piedras - Centro
Asamblea Popular,Canelones,115,CDA,Departamental,1326,1,Las Piedras - Centro
Asamblea Popular,Canelones,122,CDA,Departamental,1326,2,Las Piedras - Centro
Asamblea Popular,Canelones,123,CDA,Departamental,1326,1,Las Piedras - Centro
Asamblea Popular,Canelones,124,CDA,Departamental,1326,1,Las Piedras - Centro
Asamblea Popular,Canelones,126,CDA,Departamental,1326,1,Las Piedras - Centro
Asamblea Popular,Canelones,129,CDA,Departamental,1326,1,Las Piedras - Centro
Asamblea Popular,Canelones,137,CDA,Departamental,1326,1,Las Piedras - Centro
Asamblea Popular,Canelones,139,CDA,Departamental,969,1,Las Piedras - Centro
Asamblea Popular,Canelones,144,CDA,Departamental,1326,1,Las Piedras - Centro
Asamblea Popular,Canelones,159,CDA,Departamental,1326,1,Las Piedras - Centro
Asamblea Popular,Canelones,166,CDA,Departamental,1326,3,Las Piedras - Centro
Asamblea Popular,Canelones,170,CDA,Departamental,1326,1,Las Piedras - Centro
Asamblea Popular,Canelones,174,CDA,Departamental,1326,1,Las Piedras - Centro
Asamblea Popular,Canelones,205,CDA,Departamental,1326,1,Las Piedras - Centro
Asamblea Popular,Canelones,213,CDB,Departamental,1326,1,Progreso
Asamblea Popular,Canelones,226,CDB,Departamental,1326,1,Progreso
Asamblea Popular,Canelones,228,CDB,Departamental,1326,1,Progreso
Asamblea Popular,Canelones,235,CDB,Departamental,1326,1,Progreso
Asamblea Popular,Canelones,238,CDB,Departamental,969,1,Progreso
Asamblea Popular,Canelones,242,CDB,Departamental,11917,1,Progreso
Asamblea Popular,Canelones,243,CDC,Departamental,1326,1,El Dorado
Asamblea Popular,Canelones,243,CDC,Departamental,9600,1,El Dorado
Asamblea Popular,Canelones,245,CDC,Departamental,1326,1,El Dorado
Asamblea Popular,Canelones,248,CDC,Departamental,9600,1,El Dorado
Asamblea Popular,Canelones,251,CDC,Departamental,1326,1,El Dorado
Asamblea Popular,Canelones,260,CDC,Departamental,1326,1,El Dorado
Asamblea Popular,Canelones,265,CDC,Departamental,1326,1,El Dorado
Asamblea Popular,Canelones,276,CDD,Departamental,9600,1,Las Piedras - Obelisco
Asamblea Popular,Canelones,283,CDD,Departamental,9600,1,Las Piedras - Obelisco
Asamblea Popular,Canelones,305,CDE,Departamental,1326,1,Las Piedras - Pueblo Nuevo
Asamblea Popular,Canelones,306,CDE,Departamental,1326,2,Las Piedras - Pueblo Nuevo
