,PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
984,Asamblea Popular,Maldonado,11,DAA,Departamental,1326,3,Maldonado Centro
985,Asamblea Popular,Maldonado,12,DAA,Departamental,1326,1,Maldonado Centro
986,Asamblea Popular,Maldonado,14,DAA,Departamental,1326,2,Maldonado Centro
987,Asamblea Popular,Maldonado,24,DAA,Departamental,1326,1,Maldonado Centro
988,Asamblea Popular,Maldonado,70,DAA,Departamental,1326,1,Maldonado Centro
989,Asamblea Popular,Maldonado,76,DAA,Departamental,1326,1,Maldonado Centro
990,Asamblea Popular,Maldonado,83,DAA,Departamental,1326,1,Maldonado Centro
991,Asamblea Popular,Maldonado,139,DAB,Departamental,11917,1,Punta del Este
992,Asamblea Popular,Maldonado,154,DAC,Departamental,1326,1,Los Ceibos
993,Asamblea Popular,Maldonado,181,DAF,Departamental,1326,1,Cerro Pelado
994,Asamblea Popular,Maldonado,206,DAH,Departamental,1326,1,Maldonado Nuevo
995,Asamblea Popular,Maldonado,216,DAH,Departamental,1326,1,Maldonado Nuevo
996,Asamblea Popular,Maldonado,223,DAJ,Departamental,1326,1,Las Delicias
997,Asamblea Popular,Maldonado,224,DAJ,Departamental,1326,1,Las Delicias
998,Asamblea Popular,Maldonado,234,DBA,Departamental,1326,1,San Carlos
999,Asamblea Popular,Maldonado,235,DBA,Departamental,1326,2,San Carlos
1000,Asamblea Popular,Maldonado,236,DBA,Departamental,1326,1,San Carlos
1001,Asamblea Popular,Maldonado,238,DBA,Departamental,1326,2,San Carlos
1002,Asamblea Popular,Maldonado,241,DBA,Departamental,1326,1,San Carlos
1003,Asamblea Popular,Maldonado,242,DBA,Departamental,1326,1,San Carlos
1004,Asamblea Popular,Maldonado,243,DBA,Departamental,1326,2,San Carlos
1005,Asamblea Popular,Maldonado,244,DBA,Departamental,1326,1,San Carlos
1006,Asamblea Popular,Maldonado,245,DBA,Departamental,1326,3,San Carlos
1007,Asamblea Popular,Maldonado,246,DBA,Departamental,1326,1,San Carlos
1008,Asamblea Popular,Maldonado,248,DBA,Departamental,1326,4,San Carlos
1009,Asamblea Popular,Maldonado,249,DBA,Departamental,1326,2,San Carlos
1010,Asamblea Popular,Maldonado,250,DBA,Departamental,1326,1,San Carlos
1011,Asamblea Popular,Maldonado,251,DBA,Departamental,1326,2,San Carlos
1012,Asamblea Popular,Maldonado,252,DBA,Departamental,1326,2,San Carlos
1013,Asamblea Popular,Maldonado,253,DBA,Departamental,1326,3,San Carlos
1014,Asamblea Popular,Maldonado,254,DBA,Departamental,1326,2,San Carlos
1015,Asamblea Popular,Maldonado,257,DBA,Departamental,1326,2,San Carlos
1016,Asamblea Popular,Maldonado,258,DBA,Departamental,1326,1,San Carlos
1017,Asamblea Popular,Maldonado,259,DBA,Departamental,1326,1,San Carlos
1018,Asamblea Popular,Maldonado,260,DBA,Departamental,1326,2,San Carlos
1019,Asamblea Popular,Maldonado,262,DBA,Departamental,1326,1,San Carlos
1020,Asamblea Popular,Maldonado,263,DBA,Departamental,1326,1,San Carlos
1021,Asamblea Popular,Maldonado,264,DBA,Departamental,1326,1,San Carlos
1022,Asamblea Popular,Maldonado,265,DBA,Departamental,1326,1,San Carlos
1023,Asamblea Popular,Maldonado,267,DBA,Departamental,1326,1,San Carlos
1024,Asamblea Popular,Maldonado,272,DBA,Departamental,1326,1,San Carlos
1025,Asamblea Popular,Maldonado,273,DBA,Departamental,1326,3,San Carlos
1026,Asamblea Popular,Maldonado,275,DBA,Departamental,1326,1,San Carlos
1027,Asamblea Popular,Maldonado,276,DBA,Departamental,1326,1,San Carlos
1028,Asamblea Popular,Maldonado,279,DBD,Departamental,1326,1,Lavagna
1029,Asamblea Popular,Maldonado,283,DBE,Departamental,1326,1,La Cuchilla
1030,Asamblea Popular,Maldonado,284,DBE,Departamental,1326,2,La Cuchilla
1031,Asamblea Popular,Maldonado,286,DBE,Departamental,1326,1,La Cuchilla
1032,Asamblea Popular,Maldonado,287,DBF,Departamental,1326,1,Rodríguez Barrios
1033,Asamblea Popular,Maldonado,288,DBF,Departamental,1326,1,Rodríguez Barrios
1034,Asamblea Popular,Maldonado,289,DBF,Departamental,1326,1,Rodríguez Barrios
1035,Asamblea Popular,Maldonado,290,DBF,Departamental,1326,1,Rodríguez Barrios
1036,Asamblea Popular,Maldonado,292,DBG,Departamental,1326,1,Asturias
1037,Asamblea Popular,Maldonado,294,DBG,Departamental,1326,1,Asturias
1038,Asamblea Popular,Maldonado,309,DCA,Departamental,1326,1,Pan de Azúcar
1039,Asamblea Popular,Maldonado,320,DCB,Departamental,1326,1,Piriápolis
1040,Asamblea Popular,Maldonado,320,DCB,Departamental,11917,1,Piriápolis
1041,Asamblea Popular,Maldonado,322,DCB,Departamental,11917,1,Piriápolis
1042,Asamblea Popular,Maldonado,323,DCB,Departamental,11917,1,Piriápolis
1043,Asamblea Popular,Maldonado,326,DCB,Departamental,1326,1,Piriápolis
1044,Asamblea Popular,Maldonado,330,DCB,Departamental,11917,1,Piriápolis
1045,Asamblea Popular,Maldonado,331,DCB,Departamental,1326,3,Piriápolis
1046,Asamblea Popular,Maldonado,333,DCB,Departamental,1326,1,Piriápolis
1047,Asamblea Popular,Maldonado,340,DCB,Departamental,1326,1,Piriápolis
1048,Asamblea Popular,Maldonado,343,DCB,Departamental,1326,1,Piriápolis
1049,Asamblea Popular,Maldonado,346,DCB,Departamental,1326,1,Piriápolis
1050,Asamblea Popular,Maldonado,346,DCB,Departamental,11917,1,Piriápolis
1051,Asamblea Popular,Maldonado,353,DCD,Departamental,1326,1,Gregorio Aznárez
1052,Asamblea Popular,Maldonado,358,DCF,Departamental,11917,2,Estación Las Flores
1053,Asamblea Popular,Maldonado,360,DCG,Departamental,1326,1,La Capuera
1054,Asamblea Popular,Maldonado,377,DEF,Departamental,1326,1,Las Cañas
1055,Asamblea Popular,Maldonado,380,DEH,Departamental,11917,2,Balneario Buenos Aires
1056,Asamblea Popular,Maldonado,383,DEH,Departamental,11917,1,Balneario Buenos Aires
1057,Asamblea Popular,Maldonado,391,DFA,Departamental,1326,3,Aiguá
1058,Asamblea Popular,Maldonado,9000,DZZ,Departamental,1326,1,Maldonado Centro
8129,Cabildo Abierto,Maldonado,1,DAA,Departamental,615,1,Maldonado Centro
8130,Cabildo Abierto,Maldonado,2,DAA,Departamental,51,1,Maldonado Centro
8131,Cabildo Abierto,Maldonado,2,DAA,Departamental,615,1,Maldonado Centro
8132,Cabildo Abierto,Maldonado,3,DAA,Departamental,51,1,Maldonado Centro
8133,Cabildo Abierto,Maldonado,3,DAA,Departamental,615,1,Maldonado Centro
8134,Cabildo Abierto,Maldonado,4,DAA,Departamental,615,1,Maldonado Centro
8135,Cabildo Abierto,Maldonado,5,DAA,Departamental,11820,1,Maldonado Centro
8136,Cabildo Abierto,Maldonado,6,DAA,Departamental,1301,1,Maldonado Centro
8137,Cabildo Abierto,Maldonado,7,DAA,Departamental,51,1,Maldonado Centro
8138,Cabildo Abierto,Maldonado,7,DAA,Departamental,336,2,Maldonado Centro
8139,Cabildo Abierto,Maldonado,8,DAA,Departamental,51,1,Maldonado Centro
8140,Cabildo Abierto,Maldonado,8,DAA,Departamental,1301,1,Maldonado Centro
8141,Cabildo Abierto,Maldonado,9,DAA,Departamental,11820,1,Maldonado Centro
8142,Cabildo Abierto,Maldonado,10,DAA,Departamental,11820,1,Maldonado Centro
8143,Cabildo Abierto,Maldonado,11,DAA,Departamental,37,1,Maldonado Centro
8144,Cabildo Abierto,Maldonado,13,DAA,Departamental,1301,1,Maldonado Centro
8145,Cabildo Abierto,Maldonado,14,DAA,Departamental,336,1,Maldonado Centro
8146,Cabildo Abierto,Maldonado,14,DAA,Departamental,712,1,Maldonado Centro
8147,Cabildo Abierto,Maldonado,15,DAA,Departamental,37,1,Maldonado Centro
8148,Cabildo Abierto,Maldonado,15,DAA,Departamental,336,1,Maldonado Centro
8149,Cabildo Abierto,Maldonado,15,DAA,Departamental,11820,1,Maldonado Centro
8150,Cabildo Abierto,Maldonado,17,DAA,Departamental,51,1,Maldonado Centro
8151,Cabildo Abierto,Maldonado,17,DAA,Departamental,105,1,Maldonado Centro
8152,Cabildo Abierto,Maldonado,18,DAA,Departamental,37,1,Maldonado Centro
8153,Cabildo Abierto,Maldonado,18,DAA,Departamental,336,1,Maldonado Centro
8154,Cabildo Abierto,Maldonado,18,DAA,Departamental,615,1,Maldonado Centro
8155,Cabildo Abierto,Maldonado,18,DAA,Departamental,776,1,Maldonado Centro
8156,Cabildo Abierto,Maldonado,19,DAA,Departamental,51,1,Maldonado Centro
8157,Cabildo Abierto,Maldonado,19,DAA,Departamental,1480,1,Maldonado Centro
8158,Cabildo Abierto,Maldonado,19,DAA,Departamental,11820,1,Maldonado Centro
8159,Cabildo Abierto,Maldonado,20,DAA,Departamental,118,1,Maldonado Centro
8160,Cabildo Abierto,Maldonado,20,DAA,Departamental,849,1,Maldonado Centro
8161,Cabildo Abierto,Maldonado,20,DAA,Departamental,1301,1,Maldonado Centro
8162,Cabildo Abierto,Maldonado,21,DAA,Departamental,51,1,Maldonado Centro
8163,Cabildo Abierto,Maldonado,21,DAA,Departamental,336,1,Maldonado Centro
8164,Cabildo Abierto,Maldonado,21,DAA,Departamental,615,1,Maldonado Centro
8165,Cabildo Abierto,Maldonado,22,DAA,Departamental,51,1,Maldonado Centro
8166,Cabildo Abierto,Maldonado,22,DAA,Departamental,712,1,Maldonado Centro
8167,Cabildo Abierto,Maldonado,23,DAA,Departamental,51,1,Maldonado Centro
