PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Asamblea Popular,Paysandú,2,KAA,Departamental,1326,2,Paysandú Puerto
Asamblea Popular,Paysandú,3,KAA,Departamental,1326,1,Paysandú Puerto
Asamblea Popular,Paysandú,6,KAA,Departamental,1326,1,Paysandú Puerto
Asamblea Popular,Paysandú,8,KAA,Departamental,1326,1,Paysandú Puerto
Asamblea Popular,Paysandú,9,KAA,Departamental,1326,1,Paysandú Puerto
Asamblea Popular,Paysandú,10,KAA,Departamental,1326,1,Paysandú Puerto
Asamblea Popular,Paysandú,15,KAA,Departamental,1326,1,Paysandú Puerto
Asamblea Popular,Paysandú,16,KAA,Departamental,1326,1,Paysandú Puerto
Asamblea Popular,Paysandú,17,KAA,Departamental,1326,2,Paysandú Puerto
Asamblea Popular,Paysandú,18,KAA,Departamental,1326,1,Paysandú Puerto
Asamblea Popular,Paysandú,29,KAA,Departamental,1326,1,Paysandú Puerto
Asamblea Popular,Paysandú,31,KAA,Departamental,1326,1,Paysandú Puerto
Asamblea Popular,Paysandú,32,KAA,Departamental,1326,1,Paysandú Puerto
Asamblea Popular,Paysandú,42,KBA,Departamental,1326,1,Paysandú Centro
Asamblea Popular,Paysandú,44,KBA,Departamental,1326,1,Paysandú Centro
Asamblea Popular,Paysandú,45,KBA,Departamental,1326,1,Paysandú Centro
Asamblea Popular,Paysandú,46,KBA,Departamental,1326,1,Paysandú Centro
Asamblea Popular,Paysandú,47,KBA,Departamental,1326,1,Paysandú Centro
Asamblea Popular,Paysandú,48,KBA,Departamental,1326,2,Paysandú Centro
Asamblea Popular,Paysandú,51,KBA,Departamental,1326,3,Paysandú Centro
Asamblea Popular,Paysandú,52,KBA,Departamental,1326,1,Paysandú Centro
Asamblea Popular,Paysandú,53,KBA,Departamental,1326,1,Paysandú Centro
Asamblea Popular,Paysandú,58,KBA,Departamental,1326,1,Paysandú Centro
Asamblea Popular,Paysandú,60,KBA,Departamental,1326,1,Paysandú Centro
Asamblea Popular,Paysandú,61,KBA,Departamental,1326,1,Paysandú Centro
Asamblea Popular,Paysandú,62,KBA,Departamental,1326,1,Paysandú Centro
Asamblea Popular,Paysandú,65,KBA,Departamental,969,1,Paysandú Centro
Asamblea Popular,Paysandú,65,KBA,Departamental,1326,1,Paysandú Centro
Asamblea Popular,Paysandú,71,KBB,Departamental,1326,1,Barrio Obrero
Asamblea Popular,Paysandú,73,KCA,Departamental,1326,1,Zona Industrial
Asamblea Popular,Paysandú,74,KCA,Departamental,1326,1,Zona Industrial
Asamblea Popular,Paysandú,76,KCA,Departamental,1326,1,Zona Industrial
Asamblea Popular,Paysandú,78,KCA,Departamental,1326,2,Zona Industrial
Asamblea Popular,Paysandú,80,KCA,Departamental,1326,1,Zona Industrial
Asamblea Popular,Paysandú,82,KCA,Departamental,1326,1,Zona Industrial
Asamblea Popular,Paysandú,85,KCA,Departamental,1326,1,Zona Industrial
Asamblea Popular,Paysandú,86,KCA,Departamental,1326,1,Zona Industrial
Asamblea Popular,Paysandú,90,KCA,Departamental,1326,2,Zona Industrial
Asamblea Popular,Paysandú,98,KCA,Departamental,1326,1,Zona Industrial
Asamblea Popular,Paysandú,111,KCB,Departamental,1326,1,Zona Suroeste - Parkway Sacra
Asamblea Popular,Paysandú,113,KCB,Departamental,1326,1,Zona Suroeste - Parkway Sacra
Asamblea Popular,Paysandú,114,KCB,Departamental,1326,1,Zona Suroeste - Parkway Sacra
Asamblea Popular,Paysandú,115,KCB,Departamental,1326,2,Zona Suroeste - Parkway Sacra
Asamblea Popular,Paysandú,116,KCB,Departamental,1326,1,Zona Suroeste - Parkway Sacra
Asamblea Popular,Paysandú,122,KCB,Departamental,1326,1,Zona Suroeste - Parkway Sacra
Asamblea Popular,Paysandú,124,KCB,Departamental,1326,1,Zona Suroeste - Parkway Sacra
Asamblea Popular,Paysandú,125,KCB,Departamental,1326,1,Zona Suroeste - Parkway Sacra
Asamblea Popular,Paysandú,126,KCB,Departamental,1326,1,Zona Suroeste - Parkway Sacra
Asamblea Popular,Paysandú,132,KCB,Departamental,1326,1,Zona Suroeste - Parkway Sacra
Asamblea Popular,Paysandú,133,KCB,Departamental,1326,2,Zona Suroeste - Parkway Sacra
Asamblea Popular,Paysandú,141,KCB,Departamental,1326,1,Zona Suroeste - Parkway Sacra
Asamblea Popular,Paysandú,158,KCB,Departamental,1326,1,Zona Suroeste - Parkway Sacra
Asamblea Popular,Paysandú,163,KCB,Departamental,1326,1,Zona Suroeste - Parkway Sacra
Asamblea Popular,Paysandú,166,KCC,Departamental,1326,3,Zona Norte Oeste
Asamblea Popular,Paysandú,167,KCC,Departamental,1326,2,Zona Norte Oeste
Asamblea Popular,Paysandú,168,KCC,Departamental,1326,1,Zona Norte Oeste
Asamblea Popular,Paysandú,169,KCC,Departamental,1326,4,Zona Norte Oeste
Asamblea Popular,Paysandú,170,KCC,Departamental,1326,3,Zona Norte Oeste
Asamblea Popular,Paysandú,172,KCC,Departamental,1326,1,Zona Norte Oeste
Asamblea Popular,Paysandú,173,KCC,Departamental,1326,1,Zona Norte Oeste
Asamblea Popular,Paysandú,176,KCC,Departamental,1326,1,Zona Norte Oeste
Asamblea Popular,Paysandú,179,KCC,Departamental,1326,1,Zona Norte Oeste
