PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Asamblea Popular,Rivera,12,HAA,Departamental,11917,1,Rivera - Centro
Asamblea Popular,Rivera,13,HAA,Departamental,11917,1,Rivera - Centro
Asamblea Popular,Rivera,19,HAA,Departamental,11917,1,Rivera - Centro
Asamblea Popular,Rivera,20,HAA,Departamental,11917,1,Rivera - Centro
Asamblea Popular,Rivera,21,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,25,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,26,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,37,HAB,Departamental,1326,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,37,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,44,HAB,Departamental,1326,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,46,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,47,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,49,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,50,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,60,HAB,Departamental,1326,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,60,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,62,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,64,HAB,Departamental,11917,2,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,66,HAB,Departamental,11917,3,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,67,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,68,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,71,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,72,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,74,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,75,HAB,Departamental,11917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,85,HBA,Departamental,11917,1,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,87,HBA,Departamental,1326,1,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,88,HBA,Departamental,1326,1,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,96,HBA,Departamental,1326,1,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,101,HBA,Departamental,11917,1,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,102,HBA,Departamental,11917,1,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,104,HBA,Departamental,1326,1,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,9002,HZZ,Departamental,11917,3,Unknown
Asamblea Popular,Rivera,9003,HZZ,Departamental,11917,2,Unknown
Basta Ya,Rivera,3,HAA,Departamental,69,1,Rivera - Centro
Basta Ya,Rivera,5,HAA,Departamental,69,1,Rivera - Centro
Basta Ya,Rivera,6,HAA,Departamental,69,1,Rivera - Centro
Basta Ya,Rivera,8,HAA,Departamental,69,1,Rivera - Centro
Basta Ya,Rivera,11,HAA,Departamental,69,1,Rivera - Centro
Basta Ya,Rivera,25,HAB,Departamental,69,2,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,26,HAB,Departamental,69,0,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,28,HAB,Departamental,69,1,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,30,HAB,Departamental,69,1,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,32,HAB,Departamental,69,1,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,33,HAB,Departamental,69,1,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,34,HAB,Departamental,69,2,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,37,HAB,Departamental,69,2,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,39,HAB,Departamental,69,1,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,41,HAB,Departamental,69,1,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,44,HAB,Departamental,69,1,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,47,HAB,Departamental,69,1,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,50,HAB,Departamental,69,1,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,55,HAB,Departamental,69,2,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,59,HAB,Departamental,69,1,Rivera Chico - Saavedra - Cerro del Marco
Basta Ya,Rivera,61,HAB,Departamental,69,1,Rivera Chico - Saavedra - Cerro del Marco
