PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
Asamblea Popular,Rivera,12,HAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera - Centro
Asamblea Popular,Rivera,13,HAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera - Centro
Asamblea Popular,Rivera,19,HAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera - Centro
Asamblea Popular,Rivera,20,HAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera - Centro
Asamblea Popular,Rivera,21,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,25,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,26,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,37,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,37,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,44,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,46,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,47,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,49,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,50,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,60,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,60,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,62,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,64,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,2,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,66,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,3,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,67,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,68,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,71,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,72,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,74,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,75,HAB,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Rivera Chico - Saavedra - Cerro del Marco
Asamblea Popular,Rivera,85,HBA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,87,HBA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,88,HBA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,93,HBA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,96,HBA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,101,HBA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,102,HBA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,1,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,104,HBA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,2,Siñeriz - Los Pirineos - Magisterial
Asamblea Popular,Rivera,9002,HZZ,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,3,Unknown
Asamblea Popular,Rivera,9003,HZZ,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",1917,2,Unknown
Avanzar Republicano,Rivera,162,HBF,Departamental,"PEREZ BANCHERO, Felipe Martin",937,1,Fuente Oriente - Cerro del Estado
Basta Ya,Rivera,3,HAA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1,Rivera - Centro
Basta Ya,Rivera,5,HAA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1,Rivera - Centro
