PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Asamblea Popular,Salto,10,JAB,Departamental,1326,1,Salto Centro
Asamblea Popular,Salto,12,JAB,Departamental,1326,2,Salto Centro
Asamblea Popular,Salto,50,JAE,Departamental,1326,1,Mi Tío
Asamblea Popular,Salto,75,JBC,Departamental,1326,1,Palomar - Villa Española
Asamblea Popular,Salto,152,JCC,Departamental,1326,1,Saladero
Asamblea Popular,Salto,157,JCC,Departamental,1326,1,Saladero
Basta Ya,Salto,4,JAA,Departamental,131,1,Salto Centro Oeste
Basta Ya,Salto,5,JAA,Departamental,131,1,Salto Centro Oeste
Basta Ya,Salto,11,JAB,Departamental,131,1,Salto Centro
Basta Ya,Salto,14,JAB,Departamental,131,1,Salto Centro
Basta Ya,Salto,18,JAC,Departamental,131,2,Salto Centro Este
Basta Ya,Salto,20,JAC,Departamental,131,2,Salto Centro Este
Basta Ya,Salto,24,JAD,Departamental,131,1,Zona Este Sur
Basta Ya,Salto,26,JAD,Departamental,131,3,Zona Este Sur
Basta Ya,Salto,31,JAD,Departamental,131,1,Zona Este Sur
Basta Ya,Salto,32,JAD,Departamental,131,5,Zona Este Sur
Basta Ya,Salto,37,JAE,Departamental,131,2,Mi Tío
Basta Ya,Salto,39,JAE,Departamental,131,1,Mi Tío
Basta Ya,Salto,40,JAE,Departamental,131,1,Mi Tío
Basta Ya,Salto,53,JAE,Departamental,131,1,Mi Tío
Basta Ya,Salto,54,JBA,Departamental,131,2,Baltasar Brúm Oeste
Basta Ya,Salto,55,JBA,Departamental,131,1,Baltasar Brúm Oeste
Basta Ya,Salto,57,JBA,Departamental,131,1,Baltasar Brúm Oeste
Basta Ya,Salto,60,JBA,Departamental,131,2,Baltasar Brúm Oeste
Basta Ya,Salto,64,JBB,Departamental,131,1,Baltasar Brúm Este
Basta Ya,Salto,67,JBB,Departamental,131,2,Baltasar Brúm Este
Basta Ya,Salto,68,JBB,Departamental,131,1,Baltasar Brúm Este
Basta Ya,Salto,69,JBB,Departamental,131,1,Baltasar Brúm Este
Basta Ya,Salto,70,JBB,Departamental,131,1,Baltasar Brúm Este
Basta Ya,Salto,71,JBB,Departamental,131,1,Baltasar Brúm Este
Basta Ya,Salto,72,JBB,Departamental,131,1,Baltasar Brúm Este
Basta Ya,Salto,73,JBB,Departamental,131,1,Baltasar Brúm Este
Basta Ya,Salto,76,JBC,Departamental,131,1,Palomar - Villa Española
Basta Ya,Salto,77,JBC,Departamental,131,1,Palomar - Villa Española
Basta Ya,Salto,78,JBC,Departamental,131,1,Palomar - Villa Española
Basta Ya,Salto,79,JBC,Departamental,131,2,Palomar - Villa Española
Basta Ya,Salto,80,JBC,Departamental,131,2,Palomar - Villa Española
