PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,PRECANDIDATO,HOJA,CNT_VOTOS,ZONA
Asamblea Popular,Treinta y Tres,6,FAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1,Treinta y Tres Centro
Asamblea Popular,Treinta y Tres,7,FAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1,Treinta y Tres Centro
Asamblea Popular,Treinta y Tres,10,FAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1,Treinta y Tres Centro
Asamblea Popular,Treinta y Tres,16,FAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1,Treinta y Tres Centro
Asamblea Popular,Treinta y Tres,22,FAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1,Treinta y Tres Centro
Asamblea Popular,Treinta y Tres,30,FAA,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1,Treinta y Tres Centro
Asamblea Popular,Treinta y Tres,122,FEF,Departamental,"MARTÍNEZ MARUCA, Walter Gonzalo",326,1,25 de agosto
Avanzar Republicano,Treinta y Tres,4,FAA,Departamental,"PEREZ BANCHERO, Felipe Martin",937,1,Treinta y Tres Centro
Avanzar Republicano,Treinta y Tres,21,FAA,Departamental,"PEREZ BANCHERO, Felipe Martin",937,1,Treinta y Tres Centro
Avanzar Republicano,Treinta y Tres,25,FAA,Departamental,"PEREZ BANCHERO, Felipe Martin",937,1,Treinta y Tres Centro
Avanzar Republicano,Treinta y Tres,46,FAA,Departamental,"PEREZ BANCHERO, Felipe Martin",937,1,Treinta y Tres Centro
Basta Ya,Treinta y Tres,12,FAA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1,Treinta y Tres Centro
Basta Ya,Treinta y Tres,21,FAA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1,Treinta y Tres Centro
Basta Ya,Treinta y Tres,22,FAA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1,Treinta y Tres Centro
Basta Ya,Treinta y Tres,23,FAA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1,Treinta y Tres Centro
Basta Ya,Treinta y Tres,25,FAA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1,Treinta y Tres Centro
Basta Ya,Treinta y Tres,30,FAA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1,Treinta y Tres Centro
Basta Ya,Treinta y Tres,60,FAF,Departamental,"BONICA SIERRA, Jorge Enrique",39,1,La Agraria
Basta Ya,Treinta y Tres,109,FEA,Departamental,"BONICA SIERRA, Jorge Enrique",39,1,Villa Sara
Basta Ya,Treinta y Tres,117,FEF,Departamental,"BONICA SIERRA, Jorge Enrique",39,1,25 de agosto
Basta Ya,Treinta y Tres,122,FEF,Departamental,"BONICA SIERRA, Jorge Enrique",39,1,25 de agosto
Cabildo Abierto,Treinta y Tres,1,FAA,Departamental,"MANINI STRATTA, Guido",456,5,Treinta y Tres Centro
Cabildo Abierto,Treinta y Tres,2,FAA,Departamental,"MANINI STRATTA, Guido",456,3,Treinta y Tres Centro
Cabildo Abierto,Treinta y Tres,3,FAA,Departamental,"MANINI STRATTA, Guido",456,2,Treinta y Tres Centro
Cabildo Abierto,Treinta y Tres,4,FAA,Departamental,"MANINI STRATTA, Guido",456,2,Treinta y Tres Centro
